domain,keyword,title,url,source_domain,seendate,language,country,date_parsed,dup_count
soil carbon requestration,soil carbon storage,Carbon sequestration a positive aspect of beef cattle grazing grasslands,http://www.hpj.com/livestock/carbon-sequestration-a-positive-aspect-of-beef-cattle-grazing-grasslands/article_679483e5-3737-58e3-95f1-d68ac9d1d0fb.html,hpj.com,20170105T171500Z,English,United States,2017-01-05 17:15:00,1
soil carbon requestration,soil carbon storage,Researcher uncovers influence of microorganisms on soil carbon storage,https://www.sciencedaily.com/releases/2017/01/170117102154.htm,sciencedaily.com,20170117T184500Z,English,United States,2017-01-17 18:45:00,1
soil carbon requestration,soil carbon storage,Grazing boosts carbon sequestration,http://www.enidnews.com/news/ag_energy/grazing-boosts-carbon-sequestration/article_87ed5a02-529b-5bd8-bfdf-e766d7370caa.html,enidnews.com,20170122T113000Z,English,United States,2017-01-22 11:30:00,2
soil carbon requestration,soil carbon storage,WVU researcher finds impact of microorganisms on soil carbon storage,http://www.thedaonline.com/news/article_c366c08c-e182-11e6-9942-976d3555bef3.html,thedaonline.com,20170123T181500Z,English,United States,2017-01-23 18:15:00,1
soil carbon requestration,soil carbon storage,Grazing = carbon sequestration,http://www.agriview.com/news/livestock/grazing-carbon-sequestration/article_74029d7c-0052-5ebd-bc84-a7f37f8f5ff4.html,agriview.com,20170201T103000Z,English,United States,2017-02-01 10:30:00,1
soil carbon requestration,carbon farming,Climate Ecoforestry,http://peakoil.com/enviroment/climate-ecoforestry,peakoil.com,20170306T193000Z,English,United States,2017-03-06 19:30:00,3
soil carbon requestration,soil carbon storage,Conservation Adviser,http://www.ecosystemmarketplace.com/jobs/conservation-adviser-ecosystem-services/,ecosystemmarketplace.com,20170308T074500Z,English,United States,2017-03-08 07:45:00,1
soil carbon requestration,carbon farming,"Dr . Bronner Stands Up for Climate Action , Publishes CSR Report , and More at Natural Products Expo West 2017",http://www.marketwatch.com/story/dr-bronners-stands-up-for-climate-action-publishes-csr-report-and-more-at-natural-products-expo-west-2017-2017-03-08,marketwatch.com,20170308T161500Z,English,United States,2017-03-08 16:15:00,2
soil carbon requestration,carbon farming,"Dr . Bronner Stands Up for Climate Action , Publishes CSR Report , and More at Natural Products Expo",http://www.prnewswire.com/news-releases/dr-bronners-stands-up-for-climate-action-publishes-csr-report-and-more-at-natural-products-expo-west-2017-300420336.html,prnewswire.com,20170308T161500Z,English,United States,2017-03-08 16:15:00,1
soil carbon requestration,carbon farming,Marin Voice : California Coastal Commission is a ‘ weak link ’ in collaborative efforts,http://www.marinij.com/opinion/20170309/marin-voice-california-coastal-commission-is-a-weak-link-in-collaborative-efforts,marinij.com,20170310T000000Z,English,United States,2017-03-10 00:00:00,1
