domain,keyword,title,url,source_domain,seendate,language,country
BECCS,BECCS,"Robust , high",http://biotechnologyforbiofuels.biomedcentral.com/articles/10.1186/s13068-017-0769-1,biotechnologyforbiofuels.biomedcentral.com,20170329T201500Z,English,United States
BECCS,BECCS,Advanced BioFuels united states » Opportunities and Risks of Seaweed Biofuels in Aviation,http://advancedbiofuelsusa.info/opportunities-and-risks-of-seaweed-biofuels-in-aviation-2/,advancedbiofuelsusa.info,20170324T153000Z,English,United States
BECCS,BECCS,Global Warming : Climate Scientists Propose  Carbon Law  To Achieve Zero Emissions By 2050,http://www.ibtimes.com/global-warming-climate-scientists-propose-carbon-law-achieve-zero-emissions-2050-2514447,ibtimes.com,20170324T074500Z,English,United States
BECCS,BECCS,"Emerging threats , global warming , climate change , carbon emissions",http://www.homelandsecuritynewswire.com/dr20170324-carbon-law-modeled-after-moore-s-law-a-pathway-to-halve-emissions-every-decade,homelandsecuritynewswire.com,20170324T004500Z,English,United States
BECCS,BECCS,Washington Square News,http://www.nyunews.com/2017/03/20/concentus-music-marks-two-year-anniversary/,nyunews.com,20170320T123000Z,English,United States
BECCS,BECCS,Life,http://biotechnologyforbiofuels.biomedcentral.com/articles/10.1186/s13068-017-0739-7,biotechnologyforbiofuels.biomedcentral.com,20170314T050000Z,English,United States
BECCS,BECCS,"Ecosocialism is more than a strategy , it a project for civilization",http://climateandcapitalism.com/2017/03/13/ecosocialism-is-more-than-a-strategy-its-a-project-for-civilization/,climateandcapitalism.com,20170313T144500Z,English,United States
BECCS,BECCS,"Geoengineering : What is it , how does it work and is it good or bad ?",https://uk.news.yahoo.com/geoengineering-does-good-bad-104431965.html,uk.news.yahoo.com,20170313T143000Z,English,United States
BECCS,BECCS,"Ecosocialism is more than a strategy , it a project for Civilization",http://internationalviewpoint.org/spip.php?article4895,internationalviewpoint.org,20170313T101500Z,English,United States
BECCS,BECCS,A Deus ex Machina for the Climate Change Problem,http://www.theamericanconservative.com/articles/a-deus-ex-machina-for-the-climate-change-problem/,theamericanconservative.com,20170309T053000Z,English,United States
BECCS,BECCS,Advanced BioFuels united states » Opportunities and Risks of Seaweed Biofuels in Aviation,http://advancedbiofuelsusa.info/opportunities-and-risks-of-seaweed-biofuels-in-aviation/,advancedbiofuelsusa.info,20170307T194500Z,English,United States
BECCS,BECCS,Climate Ecoforestry,http://www.resilience.org/stories/2017-03-07/climate-ecoforestry/,resilience.org,20170307T181500Z,English,United States
BECCS,BECCS,Climate Ecoforestry,http://peakoil.com/enviroment/climate-ecoforestry/comment-page-1,peakoil.com,20170306T234500Z,English,United States
BECCS,BECCS,Climate Ecoforestry,http://peakoil.com/enviroment/climate-ecoforestry,peakoil.com,20170306T193000Z,English,United States
BECCS,BECCS,No country on Earth is taking the 2 degree climate target seriously,https://www.vox.com/2016/10/4/13118594/2-degrees-no-more-fossil-fuels,vox.com,20170501T114500Z,English,United States
BECCS,BECCS,A NEW BOOK ON THE CLIMATE CRISIS MAKES THE PERSUASIVE CASE THAT WE ’ RE NOT DOOMED,http://www.globalpossibilities.org/a-new-book-on-the-climate-crisis-makes-the-persuasive-case-that-were-not-doomed/,globalpossibilities.org,20170430T214500Z,English,United States
BECCS,BECCS,A New Book on the Climate Crisis Makes the Persuasive Case That Were Not Doomed,https://www.thenation.com/article/a-new-book-on-the-climate-crisis-makes-the-persuasive-case-that-were-not-doomed/,thenation.com,20170428T151500Z,English,United States
BECCS,BECCS,More Early March Than Late April,http://www.startribune.com/more-early-march-than-late-april-slushy-possibilities-spring-returns-in-1-week/420480473/,startribune.com,20170427T064500Z,English,United States
BECCS,BECCS,April Whine : Slushy Up North,http://www.startribune.com/april-whine-slushy-up-north-frost-risk-by-friday-am-snowy-lawns-on-may-1/420349933/,startribune.com,20170426T064500Z,English,United States
BECCS,BECCS,Can We Fight Climate Change with Trees and Grass ?,https://www.technologyreview.com/s/604260/can-we-fight-climate-change-with-trees-and-grass/,technologyreview.com,20170424T204500Z,English,United States
BECCS,BECCS,Uzbekistan accedes to Paris climate change agreement,http://prensariotiretail.com/2017/04/22/uzbekistan-accedes-to-paris-climate-change-agreement.html,prensariotiretail.com,20170422T114500Z,English,United States
BECCS,BECCS,A Cooler Future May Hinge on Removing CO2 From the Air,http://www.climatecentral.org/news/cooler-future-may-hinge-on-removing-co2-21368,climatecentral.org,20170420T180000Z,English,United States
