domain,keyword,title,url,source_domain,seendate,language,country
BECCS,Bioenergy with carbon capture and storage,Uncertainty and Complexity : Biomass Can Help on the Path to Deep Decarbonization,http://www.rand.org/blog/2017/02/uncertainty-and-complexity-biomass-can-help-on-the.html,rand.org,20170224T231500Z,English,United States
BECCS,Bioenergy with carbon capture and storage,"Robust , high",http://biotechnologyforbiofuels.biomedcentral.com/articles/10.1186/s13068-017-0769-1,biotechnologyforbiofuels.biomedcentral.com,20170329T201500Z,English,United States
BECCS,Bioenergy with carbon capture and storage,Life,http://biotechnologyforbiofuels.biomedcentral.com/articles/10.1186/s13068-017-0739-7,biotechnologyforbiofuels.biomedcentral.com,20170314T050000Z,English,United States
BECCS,Bioenergy with carbon capture and storage,"Climate Change This Week : CO2 Levels Zooming Faster , First Protest in Space , and More !",http://www.huffingtonpost.com/entry/climate-change-this-week-co2-levels-zooming-faster_us_58ff5934e4b0c13feaa5c843,huffingtonpost.com,20170425T183000Z,English,United States
BECCS,Bioenergy with carbon capture and storage,New Project Aims to Remove Greenhouse Gases to Counteract Global Warming,http://www.azocleantech.com/news.aspx?newsID=24026,azocleantech.com,20170424T130000Z,English,United States
BECCS,Bioenergy with carbon capture and storage,New Facility Captures Atmospheric Carbon and Stores it Underground,https://www.planetizen.com/node/92288/new-facility-captures-atmospheric-carbon-and-stores-it-underground,planetizen.com,20170417T203000Z,English,United States
BECCS,Bioenergy with carbon capture and storage,Biofuel CCS Plant Inches Us Closer to Negative Carbon Emissions — NOVA Next,http://www.pbs.org/wgbh/nova/next/tech/biofuel-ccs-plant-inches-us-closer-to-negative-carbon-emissions/,pbs.org,20170416T060000Z,English,United States
BECCS,Bioenergy with carbon capture and storage,Advanced BioFuels united states » The Quest to Capture and Store Carbon,http://advancedbiofuelsusa.info/the-quest-to-capture-and-store-carbon-and-slow-climate-change-just-reached-a-new-milestone/,advancedbiofuelsusa.info,20170412T010000Z,English,United States
BECCS,Bioenergy with carbon capture and storage,The quest to capture and store carbon,https://www.washingtonpost.com/news/energy-environment/wp/2017/04/10/the-quest-to-capture-and-store-carbon-and-slow-climate-change-just-reached-a-new-milestone/,washingtonpost.com,20170410T210000Z,English,United States
BECCS,Bioenergy with carbon capture and storage,Stop hoping we can fix global warming by pulling carbon out of the air – Scientists warn of  dire consequences for food production or the biosphere,http://www.desdemonadespair.net/2017/05/stop-hoping-we-can-fix-global-warming.html,desdemonadespair.net,20170531T000000Z,English,United States
BECCS,Bioenergy with carbon capture and storage,"In climate fight , carbon removal is still a risky path – The Exception Magazine",http://exceptionmag.com/107671/in-climate-fight-carbon-removal-is-still-a-risky-path/,exceptionmag.com,20170524T184500Z,English,United States
BECCS,Bioenergy with carbon capture and storage,"In climate fight , carbon removal is still a risky path",http://www.futurity.org/carbon-removal-risk-1439682/,futurity.org,20170524T153000Z,English,United States
BECCS,Bioenergy with carbon capture and storage,Assuming easy carbon removal from the atmosphere is a high,https://phys.org/news/2017-05-assuming-easy-carbon-atmosphere-high-stakes.html,phys.org,20170519T104500Z,English,United States
BECCS,Bioenergy with carbon capture and storage,The World at 1℃ — April  17,http://www.resilience.org/stories/2017-05-11/the-world-at-1%E2%84%83%E2%80%8A-%E2%80%8Aapril-17/,resilience.org,20170511T123000Z,English,United States
BECCS,Bioenergy with carbon capture and storage,Cellulosic biofuel contributions to a sustainable energy future : Choices and outcomes,http://science.sciencemag.org/content/356/6345/eaal2324,science.sciencemag.org,20170629T184500Z,English,United States
BECCS,Bioenergy with carbon capture and storage,Bitter scientific debate erupts over the future of America power grid,http://www.chicagotribune.com/business/ct-power-grid-debate-20170620-story.html,chicagotribune.com,20170620T173000Z,English,United States
BECCS,Bioenergy with carbon capture and storage,-- > Bitter scientific debate erupts over the future of America power grid,http://www.thegazette.com/subject/news/nation-and-world/bitter-scientific-debate-erupts-over-the-future-of-americas-power-grid-20170619,thegazette.com,20170620T001500Z,English,United States
BECCS,Bioenergy with carbon capture and storage,Charleston Gazette,http://www.wvgazettemail.com/news/20170619/scientists-are-arguing-about-how-much-power-us-can-get-from-renewables,wvgazettemail.com,20170619T221500Z,English,United States
BECCS,Bioenergy with carbon capture and storage,Bitter scientific debate erupts over the future of America power grid,http://www.lmtonline.com/news/article/Bitter-scientific-debate-erupts-over-the-future-11230870.php,lmtonline.com,20170619T211500Z,English,United States
