domain,keyword,title,url,source_domain,seendate,language,country
OAE,ocean-based climate solutions,Elevating Ocean - Based Climate Solutions - Center for American Progress,https://www.americanprogress.org/issues/green/reports/2018/08/16/454850/elevating-ocean-based-climate-solutions/,americanprogress.org,20180816T160000Z,English,United States
OAE,ocean-based climate solutions,How negative can carbontech entrepreneurs go ?,https://impactalpha.com/how-negative-can-carbontech-entrepreneurs-go/,impactalpha.com,20190403T111500Z,English,United States
OAE,ocean-based climate solutions,Start - Ups Hoping to Fight Climate Change Struggle as Other Tech Firms Cash In,https://www.nytimes.com/2019/05/07/business/carbon-removal-technology-start-ups.html,nytimes.com,20190507T080000Z,English,United States
OAE,ocean-based climate solutions,RELEASE : Ocean - Based Climate Action Could Deliver a Fifth of Emissions Cuts Needed to Limit Temperature Rise to 1 . 5C,https://www.pressreleasepoint.com/release-ocean-based-climate-action-could-deliver-fifth-emissions-cuts-needed-limit-temperature-rise,pressreleasepoint.com,20190924T224500Z,English,United States
OAE,ocean-based climate solutions,RELEASE : Ocean - Based Climate Action Could Deliver a Fifth of Emissions Cuts Needed to Limit Temperature Rise to 1 . 5°C,https://www.wri.org/news/2019/09/release-ocean-based-climate-action-could-deliver-fifth-emissions-cuts-needed,wri.org,20190924T143000Z,English,United States
OAE,ocean-based climate solutions,Look to the ocean for climate change solutions,https://www.cnn.com/2019/09/23/opinions/un-ocean-climate-change-solutions-solberg-remengesau/,cnn.com,20190923T130000Z,English,United States
OAE,ocean-based climate solutions,Turning the Tide : Ocean - Based Solutions Could Close Emission Gap by 21 %,https://www.wri.org/blog/2019/09/turning-tide-ocean-based-solutions-could-close-emission-gap-21-percent,wri.org,20190923T050000Z,English,United States
OAE,ocean-based climate solutions,Our Ocean and Climate Change - Ocean Conservancy,https://oceanconservancy.org/blog/2020/09/23/ocean-climate-change-2/,oceanconservancy.org,20200923T124500Z,English,United States
OAE,ocean-based climate solutions,Coastal News Today | united states - Creating a More Just Climate Future for Those on the Front Lines,https://www.coastalnewstoday.com/post/usa-creating-a-more-just-climate-future-for-those-on-the-front-lines,coastalnewstoday.com,20201223T000000Z,English,United States
OAE,ocean-based climate solutions,The ocean heroic potential could be realized under Biden,https://www.bostonglobe.com/2020/12/21/opinion/oceans-heroic-potential-could-be-realized-under-biden/,bostonglobe.com,20201221T083000Z,English,United States
OAE,ocean-based climate solutions,The ocean under Biden,http://www.msn.com/en-us/news/politics/the-ocean-under-biden/ar-BB1c0WZm,msn.com,20201217T170000Z,English,United States
OAE,ocean-based climate solutions,6 Things Environmentally - Minded American Voters Can Focus On Post - Election,https://www.theinertia.com/environment/6-things-environmentally-minded-american-voters-can-focus-on-post-election/,theinertia.com,20201215T051500Z,English,United States
OAE,ocean-based climate solutions,Creating Safe Havens for Seabirds,https://www.audubon.org/news/creating-safe-havens-seabirds,audubon.org,20201214T204500Z,English,United States
OAE,ocean-based climate solutions,Ocean Climate Action : Looking to the Ocean for Climate Solutions - Center for American Progress,https://www.americanprogress.org/events/2020/12/09/493633/ocean-climate-action-ocean-can-fight-climate-change/,americanprogress.org,20201210T181500Z,English,United States
