domain,keyword,title,url,source_domain,seendate,language,country
OAE,ocean carbon removal,6 Ways to Remove Carbon Pollution from the Sky,https://www.wri.org/blog/2020/06/6-ways-remove-carbon-pollution-sky,wri.org,20200609T210000Z,English,United States
OAE,ocean carbon removal,Why a net ‑ zero future depends on the ocean ability to absorb carbon,https://phys.org/news/2021-02-netzero-future-ocean-ability-absorb.html,phys.org,20210225T134500Z,English,United States
OAE,ocean carbon removal,A Net - Zero Future Depends On The Ocean Ability To,https://www.marinetechnologynews.com/news/future-depends-ocean-ability-608601,marinetechnologynews.com,20210224T164500Z,English,United States
OAE,ocean carbon removal,Why a net - zero future depends on the ocean ability to absorb carbon,https://www.bignewsnetwork.com/news/267911453/why-a-net-zero-future-depends-on-the-oceans-ability-to-absorb-carbon,bignewsnetwork.com,20210223T193000Z,English,United States
OAE,ocean carbon removal,ASPN | Upending Global Hydrogen with Dr . Greg Rau,https://www.coastalnewstoday.com/podcasts/upending-global-hydrogen-with-dr-greg-rau-changing-waters,coastalnewstoday.com,20210219T060000Z,English,United States
OAE,ocean carbon removal,UPDATED :  International Scientists Signal Significant Gap,https://www.globenewswire.com/news-release/2021/10/01/2307326/0/en/UPDATED-International-Scientists-Signal-Significant-Gap-In-Global-Climate-Target-Calculations.html,globenewswire.com,20211001T223000Z,English,United States
OAE,ocean carbon removal,The House Ways and Means Build Back Better Bill is a First Step Toward a Fairer Tax Code,https://www.americanprogress.org/issues/economy/,americanprogress.org,20210921T170000Z,English,United States
OAE,ocean carbon removal,"To Harness the Power of the Ocean To Fight Climate Change , the Biden Administration Needs a Plan",https://www.americanprogress.org/issues/green/news/2021/09/10/503566/harness-power-ocean-fight-climate-change-biden-administration-needs-plan/,americanprogress.org,20210910T150000Z,English,United States
OAE,ocean carbon removal,"2021 , the year of carbon software",https://www.greenbiz.com/article/2021-year-carbon-software,greenbiz.com,20211215T154500Z,English,United States
OAE,ocean carbon removal,Geoengineering First It Was About Messing With The Atmosphere . Now It About Hacking The Ocean .,https://cleantechnica.com/2021/12/12/geoengineering-first-it-was-about-messing-with-the-atmosphere-now-its-about-hacking-the-ocean/,cleantechnica.com,20211213T044500Z,English,United States
OAE,ocean carbon removal,"Coastal News Today | World - Oceans Could Be Harnessed to Remove Carbon From Air , Say US Science Leaders",https://www.coastalnewstoday.com/post/world-oceans-could-be-harnessed-to-remove-carbon-from-air-say-us-science-leaders,coastalnewstoday.com,20211213T031500Z,English,United States
OAE,ocean carbon removal,"Oceans could be harnessed to remove carbon from air , say US science leaders",https://phys.org/news/2021-12-oceans-harnessed-carbon-air-science.html,phys.org,20211210T134500Z,English,United States
OAE,ocean carbon removal,"Democrat climate provisions meet the  Byrd bath , as Manchin targets the methane fee",https://www.msn.com/en-us/news/politics/democrats-climate-provisions-meet-the-byrd-bath-as-manchin-battles-the-methane-fee/ar-AAREcbZ,msn.com,20211209T140000Z,English,United States
OAE,ocean carbon removal,"Democrat climate provisions meet the  Byrd bath , as Manchin targets the methane fee",https://www.washingtonpost.com/politics/2021/12/09/democrats-climate-provisions-meet-byrd-bath-manchin-battles-methane-fee/,washingtonpost.com,20211209T134500Z,English,United States
OAE,ocean carbon removal,"As climate change escalates , U . S . experts endorse research on storing carbon in the ocean",https://www.washingtonpost.com/climate-solutions/2021/12/08/climate-change-ocean-carbon-storage/,washingtonpost.com,20211208T164500Z,English,United States
OAE,ocean carbon removal,"Oceans Could Be Harnessed to Remove Carbon From Air , Say U . S . Science Leaders",https://news.climate.columbia.edu/2021/12/09/oceans-could-be-harnessed-to-remove-carbon-from-air-say-u-s-science-leaders/,news.climate.columbia.edu,20220104T223000Z,English,United States
OAE,ocean carbon removal,It Time We Admit That Carbon Offsetting Isnt Working,https://www.newsweek.com/its-time-we-admit-that-carbon-offsetting-isnt-working-opinion-1700647,newsweek.com,20220428T130000Z,English,United States
OAE,ocean carbon removal,Coastal News Today | united states - The IPCC Sixth Assessment Report and power future,https://www.coastalnewstoday.com/post/usa-the-ipcc-sixth-assessment-report-and-powers-future,coastalnewstoday.com,20220427T221500Z,English,United States
OAE,ocean carbon removal,"Startup  antacid  enhances ocean carbon removal | A Green Living Blog - Go Green , Green Home , Green Energy",http://agreenliving.org/startups-antacid-enhances-ocean-carbon-removal/,agreenliving.org,20220427T120000Z,English,United States
OAE,ocean carbon removal,Coastal News Today | World - Robot revolution : A new real - time accounting system for ocean carbon,https://www.coastalnewstoday.com/post/world-robot-revolution-a-new-real-time-accounting-system-for-ocean-carbon,coastalnewstoday.com,20220419T020000Z,English,United States
OAE,ocean carbon removal,Cultivating seaweed for carbon removal in California : Barriers and recommendations,https://phys.org/news/2022-06-cultivating-seaweed-carbon-california-barriers.html,phys.org,20220630T140000Z,English,United States
