domain,keyword,title,url,source_domain,seendate,language,country
Ocean fertilization,iron seeding,Iron Seeding of the Pacific Ocean May Have Played a Role in Global Climate Change,https://wattsupwiththat.com/2017/09/27/iron-seeding-of-the-pacific-ocean-may-have-played-a-role-in-global-climate-change/comment-page-1/,wattsupwiththat.com,20170927T214500Z,English,United States
Ocean fertilization,iron seeding,Iron Seeding of the Pacific Ocean May Have Played a Role in Global Climate Change,https://wattsupwiththat.com/2017/09/27/iron-seeding-of-the-pacific-ocean-may-have-played-a-role-in-global-climate-change/,wattsupwiththat.com,20170927T214500Z,English,United States
Ocean fertilization,iron seeding,Iron Seeding Of The Pacific Ocean May Have Played A Role In Global Climate Change,http://today.tamu.edu/2017/09/25/iron-seeding-of-the-pacific-ocean-may-have-played-a-role-in-global-climate-change/,today.tamu.edu,20170925T204500Z,English,United States
Ocean fertilization,iron seeding,Weekly Climate and Energy News Roundup # 286,https://wattsupwiththat.com/2017/10/08/weekly-climate-and-energy-news-roundup-286/comment-page-1/,wattsupwiththat.com,20171009T083000Z,English,United States
Ocean fertilization,iron seeding,Weekly Climate and Energy News Roundup # 286,https://wattsupwiththat.com/2017/10/08/weekly-climate-and-energy-news-roundup-286/,wattsupwiththat.com,20171009T083000Z,English,United States
Ocean fertilization,iron seeding,Heavy metal in the high seas,http://www.thebatt.com/science-technology/heavy-metal-in-the-high-seas/article_129593aa-aca2-11e7-a3bc-cfb3008e0f4c.html,thebatt.com,20171009T063000Z,English,United States
Ocean fertilization,iron seeding,Johan Rockstrm predicts climate doom again but is not advocating nuclear or ocean solutions,https://peakoil.com/enviroment/johan-rockstrom-predicts-climate-doom-again-but-is-not-advocating-nuclear-or-ocean-solutions/comment-page-1,peakoil.com,20180809T010000Z,English,United States
Ocean fertilization,iron seeding,Johan Rockstrm predicts climate doom again but is not advocating nuclear or ocean solutions,https://peakoil.com/enviroment/johan-rockstrom-predicts-climate-doom-again-but-is-not-advocating-nuclear-or-ocean-solutions,peakoil.com,20180808T151500Z,English,United States
Ocean fertilization,iron seeding,How to encourage policies and R & D for carbon - reducing technologies,https://www.greenbiz.com/article/how-encourage-policies-and-rd-carbon-reducing-technologies,greenbiz.com,20181110T094500Z,English,United States
Ocean fertilization,iron seeding,Will These Massive Geoengineering Projects Fix the Earth or Break It ?,http://www.awaken.com/2019/02/will-these-massive-geoengineering-projects-fix-the-earth-or-break-it/,awaken.com,20190206T181500Z,English,United States
Ocean fertilization,iron seeding,Will These Massive Geoengineering Projects Fix the Earth Or Break It ?,https://singularityhub.com/2019/02/03/will-these-massive-geoengineering-projects-fix-the-earth-or-break-it-more/,singularityhub.com,20190203T160000Z,English,United States
Ocean fertilization,iron seeding,How slime will save the world - The Boston Globe,https://www.bostonglobe.com/ideas/2019/07/26/how-slime-will-save-world/uzI69VnHJyim28c30TU7CJ/story.html,bostonglobe.com,20190726T144500Z,English,United States
Ocean fertilization,iron seeding,Turf Paradise Pauses Use of Grass Course,https://www.bloodhorse.com/horse-racing/articles/245522/turf-paradise-pauses-use-of-grass-course,bloodhorse.com,20210106T164500Z,English,United States
Ocean fertilization,iron seeding,The debate over geoengineering is intensifying,https://www.greenbiz.com/article/debate-over-geoengineering-intensifying,greenbiz.com,20230315T094500Z,English,United States
