domain,keyword,title,url,source_domain,seendate,language,country
Ocean fertilization,ocean fertilization,There A New Manned Submersible On The Market,http://www.marinetechnologynews.com/news/there-manned-submersible-market-544375,marinetechnologynews.com,20170127T200000Z,English,United States
Ocean fertilization,ocean fertilization,Moonshots ? Earth is the Most in Need of a Shot,http://www.theenergycollective.com/jim-baird/2396597/moonshots-earth-is-in-the-most-in-need-of-a-shot,theenergycollective.com,20170119T180000Z,English,United States
Ocean fertilization,ocean fertilization,U . S . Government Officially Calls For Research Into Geoengineering The Earth,http://truthisscary.com/2017/01/u-s-government-officially-calls-for-research-into-geoengineering-the-earth/,truthisscary.com,20170115T194500Z,English,United States
Ocean fertilization,ocean fertilization,U . S . government officially calls for research into geoengineering the Earth,http://www.nationofchange.org/2017/01/15/u-s-government-officially-calls-research-geoengineering-earth/,nationofchange.org,20170115T180000Z,English,United States
Ocean fertilization,ocean fertilization,"Next Big Future : US Intelligence looks out to 2035 at shifting national power and economic stress for overall global growth , China and impact on jobs from AI and robots",http://www.nextbigfuture.com/2017/01/us-intelligence-looks-out-to-2035-at.html,nextbigfuture.com,20170112T000000Z,English,United States
Ocean fertilization,ocean fertilization,Carbon Dioxide Removal and Negative Emissions Technology Workshop,http://www.environmentguru.com/pages/elements/element.aspx?id=4374760,environmentguru.com,20170103T060000Z,English,United States
Ocean fertilization,ocean fertilization,Man,https://article.wn.com/view/2017/04/26/Manmade_clouds_could_save_Barrier_Reef/,article.wn.com,20170426T081500Z,English,United States
Ocean fertilization,ocean fertilization,Ocean seeding company to kick off new round of fundraising,https://www.undercurrentnews.com/2017/04/17/ocean-seeding-company-to-kick-off-new-round-of-fundraising/,undercurrentnews.com,20170417T174500Z,English,United States
Ocean fertilization,ocean fertilization,Co2 Removal,https://wn.com/CO2_Removal,wn.com,20170413T074500Z,English,United States
Ocean fertilization,ocean fertilization,Scientists seek holy grail of climate change in Oman hills,https://article.wn.com/view/2017/04/13/Scientists_seek_holy_grail_of_climate_change_in_Omans_hills/,article.wn.com,20170413T074500Z,English,United States
Ocean fertilization,ocean fertilization,Hope for ocean seeding breakthrough,http://www.thefishsite.com/fishnews/29015/hope-for-ocean-seeding-breakthrough/,thefishsite.com,20170407T080000Z,English,United States
Ocean fertilization,ocean fertilization,Permit sought for iron fertilization off coast of Chile to boost fish,https://www.nextbigfuture.com/2017/06/permit-sought-for-iron-fertilization-off-coast-of-chile-to-boost-fish.html,nextbigfuture.com,20170606T004500Z,English,United States
Ocean fertilization,ocean fertilization,3 huge geoengineering projects are under way to save the planet,https://news.vice.com/story/3-huge-experiments-are-under-way-to-save-the-planet-with-science,news.vice.com,20170726T213000Z,English,United States
Ocean fertilization,ocean fertilization,Can Seeding the Ocean With Iron Help Prevent Climate Change ?,http://www.science20.com/megan_nichols/can_seeding_the_ocean_with_iron_help_prevent_climate_change-225204,science20.com,20170723T004500Z,English,United States
Ocean fertilization,ocean fertilization,Can Seeding the Ocean With Iron Help Stave off Climate Change ?,http://www.science20.com/megan_nichols/can_seeding_the_ocean_with_iron_help_stave_off_climate_change-225204,science20.com,20170721T194500Z,English,United States
