domain,keyword,title,url,source_domain,seendate,language,country
Peatland restoration,paludiculture,Transforming business as usual in Indonesia : an interview with Aida Greenbury,https://news.mongabay.com/2017/07/transforming-business-as-usual-in-indonesia-an-interview-with-aida-greenbury/,news.mongabay.com,20170717T200000Z,English,United States
Peatland restoration,paludiculture,Rewetting the Swamp : Indonesia Bold Plan,https://www.scientificamerican.com/article/rewetting-the-swamp-indonesia-rsquo-s-bold-plan/,scientificamerican.com,20180131T124500Z,English,United States
Peatland restoration,paludiculture,More research needed for responsible peatland management in Indonesia,https://phys.org/news/2018-01-responsible-peatland-indonesia.html,phys.org,20180115T163000Z,English,United States
Peatland restoration,paludiculture,wildsingapore news : Indonesia s Bold Plan : Rewetting the Swamp,http://wildsingaporenews.blogspot.com/2018/02/indonesias-bold-plan-rewetting-swamp.html,wildsingaporenews.blogspot.com,20180202T021500Z,English,United States
Peatland restoration,paludiculture,"The Christian Science Monitor Daily for March 20 , 2019",https://www.csmonitor.com/Daily/2019/20190320,csmonitor.com,20190321T000000Z,English,United States
Peatland restoration,paludiculture,Restoring Indonesia peatlands to their natural soggy glory,https://www.csmonitor.com/Environment/2019/0320/Restoring-Indonesia-s-peatlands-to-their-natural-soggy-glory,csmonitor.com,20190320T204500Z,English,United States
Peatland restoration,paludiculture,"To fight climate change , science must be mobilized like it was in World War II",https://phys.org/news/2019-10-climate-science-mobilized-world-war.html,phys.org,20191021T150000Z,English,United States
Peatland restoration,paludiculture,4 steps the Indonesian government can take to ensure locals help put out forest fires,http://www.econotimes.com/4-steps-the-Indonesian-government-can-take-to-ensure-locals-help-put-out-forest-fires-1568932,econotimes.com,20191201T063000Z,English,United States
Peatland restoration,paludiculture,More Research Needed for Responsible Peatland Management in Indonesia,https://goodmenproject.com/culture/more-research-needed-for-responsible-peatland-management-in-indonesia/,goodmenproject.com,20200519T053000Z,English,United States
Peatland restoration,paludiculture,Dry run : the wet farming experiment that could sow seeds for future crops,https://www.msn.com/en-us/news/world/dry-run-the-wet-farming-experiment-that-could-sow-seeds-for-future-crops/ar-BB1aW835,msn.com,20201112T084500Z,English,United States
Peatland restoration,paludiculture,Dry run : the wet farming experiment that could sow seeds for future crops,http://www.msn.com/en-us/news/world/dry-run-the-wet-farming-experiment-that-could-sow-seeds-for-future-crops/ar-BB1aW835,msn.com,20201112T081500Z,English,United States
Peatland restoration,paludiculture,Plans to phase out use of peat in amateur horticulture sector,https://www.miragenews.com/plans-to-phase-out-use-of-peat-in-amateur-697215/,miragenews.com,20211218T023000Z,English,United States
Peatland restoration,paludiculture,Regenerating the poor soils of the southern EU countries and the Mediterranean,https://phys.org/news/2022-07-regenerating-poor-soils-southern-eu.html,phys.org,20220729T114500Z,English,United States
Peatland restoration,paludiculture,Sale of horticultural peat to be banned in move to protect England precious peatlands,https://www.miragenews.com/sale-of-horticultural-peat-to-be-banned-in-move-844190/,miragenews.com,20220827T001500Z,English,United States
Peatland restoration,paludiculture,Rewetting peatland is good for the climate . Here why Europe is very slow at it,https://www.euronews.com/my-europe/2023/08/25/rewetting-peatland-is-good-for-the-climate-heres-why-europe-is-very-slow-at-it,euronews.com,20230825T070000Z,English,United States
Peatland restoration,paludiculture,Rewetting peatland is good for the climate . Here why Europe is very slow at it,https://uk.finance.yahoo.com/news/rewetting-peatland-good-climate-heres-050041723.html,uk.finance.yahoo.com,20230825T054500Z,English,United States
Peatland restoration,paludiculture,Are wetlands really flood risk ? Experts debunk most common myths around these precious ecosystems,https://www.euronews.com/green/2023/11/19/are-wetlands-really-flood-risk-experts-debunk-most-common-myths-around-these-precious-ecos,euronews.com,20231119T100000Z,English,United States
Peatland restoration,paludiculture,Are wetlands really a flood risk ? Experts debunk most common myths around these precious ecosystems,https://phys.org/news/2023-12-wetlands-experts-debunk-common-myths.html,phys.org,20231208T190000Z,English,United States
Peatland restoration,paludiculture,Request for Applications : Paludiculture Large - Scale Demonstrations,https://www2.fundsforngos.org/latest-funds-for-ngos/request-for-applications-paludiculture-large-scale-demonstrations/,fundsforngos.org,20240122T091500Z,English,United States
Peatland restoration,paludiculture,Skeptical Science New Research for Week # 27 2024,https://skepticalscience.com/new_research_2024_27.html,skepticalscience.com,20240704T101500Z,English,United States
Peatland restoration,paludiculture,Scientists Predict What Will Be Top Of The Crops In united kingdom By 2080 Due To Climate Change,https://www.eurasiareview.com/26012025-scientists-predict-what-will-be-top-of-the-crops-in-uk-by-2080-due-to-climate-change/,eurasiareview.com,20250126T024500Z,English,United States
Peatland restoration,paludiculture,UK 2080 Top Crops Forecast Amid Climate Change,https://www.miragenews.com/uks-2080-top-crops-forecast-amid-climate-change-1396278/,miragenews.com,20250124T003000Z,English,United States
