domain,keyword,title,url,source_domain,seendate,language,country
Peatland restoration,wetland restoration,Chesapeake Bay watershed health improving,http://www.progress-index.com/news/20170201/chesapeake-bay-watershed-health-improving,progress-index.com,20170202T000000Z,English,United States
Peatland restoration,wetland restoration,"In the Ozarks , state parks trump public health",http://www.thesalemnewsonline.com/article_a3a0aac2-e7ba-11e6-84cc-837daea7a656.html,thesalemnewsonline.com,20170131T211500Z,English,United States
Peatland restoration,wetland restoration,New opportunities to enroll in conservation program,http://pilotonline.com/inside-business/news/agriculture/new-opportunities-to-enroll-in-conservation-program/article_baeaa580-784d-573c-b505-f86b2787bf45.html,pilotonline.com,20170130T181500Z,English,United States
Peatland restoration,wetland restoration,"Community Foundation of NEIA awards $429 , 104 in grants",http://wcfcourier.com/news/local/community-foundation-of-neia-awards-in-grants/article_ad9a21aa-6d7e-5780-bd9e-dfa4e43865be.html,wcfcourier.com,20170130T093000Z,English,United States
Peatland restoration,wetland restoration,TARDEC Technical and Engineering Services ( TES ),http://www.environmentguru.com/pages/bids/opportunity.aspx?id=4034597,environmentguru.com,20170129T221500Z,English,United States
Peatland restoration,wetland restoration,CATM Range Maintenance and Repair,http://www.environmentguru.com/pages/bids/opportunity.aspx?id=3305531,environmentguru.com,20170129T204500Z,English,United States
Peatland restoration,wetland restoration,Firing Range Removals at Lake Mead Natl . Rec . Area,http://www.environmentguru.com/pages/bids/opportunity.aspx?id=3549386,environmentguru.com,20170129T204500Z,English,United States
Peatland restoration,wetland restoration,Characterization of Improvised Explosives,http://www.environmentguru.com/pages/bids/opportunity.aspx?id=3501040,environmentguru.com,20170129T204500Z,English,United States
Peatland restoration,wetland restoration,"R -- EOD support services to assist with the design , fabrication , and construction of IED training aids and training , supply support services , and range safety / first aid services",http://www.environmentguru.com/pages/bids/opportunity.aspx?id=3693305,environmentguru.com,20170129T204500Z,English,United States
Peatland restoration,wetland restoration,PRESOLICITATION,http://www.environmentguru.com/pages/bids/opportunity.aspx?id=2845903,environmentguru.com,20170129T164500Z,English,United States
Peatland restoration,wetland restoration,PRESOLICITATION,http://www.environmentguru.com/pages/bids/opportunity.aspx?id=1584122,environmentguru.com,20170129T164500Z,English,United States
Peatland restoration,wetland restoration,"15 -- CELL , FUEL , AIRCRAFT",http://www.environmentguru.com/pages/bids/opportunity.aspx?id=3884382,environmentguru.com,20170129T164500Z,English,United States
Peatland restoration,wetland restoration,Untitled,http://www.environmentguru.com/pages/bids/opportunity.aspx?id=354275,environmentguru.com,20170129T164500Z,English,United States
Peatland restoration,wetland restoration,Washington NDC Hydrogen Generation System Pilot,http://www.environmentguru.com/pages/bids/opportunity.aspx?id=3716990,environmentguru.com,20170129T164500Z,English,United States
Peatland restoration,wetland restoration,"Sealed bid for Buckman Wastewater Treatment Plant Class AA Pellet Removal Program , Florida .",http://www.environmentguru.com/pages/bids/opportunity.aspx?id=4473809,environmentguru.com,20170129T153000Z,English,United States
Peatland restoration,wetland restoration,"Sealed bid for Sanitary Sewer Project , Pennsylvania .",http://www.environmentguru.com/pages/bids/opportunity.aspx?id=4473808,environmentguru.com,20170129T153000Z,English,United States
Peatland restoration,wetland restoration,"Sealed bid for Wastewater Lagoon Troubleshooting and Optimization Training , Idaho .",http://www.environmentguru.com/pages/bids/opportunity.aspx?id=4473811,environmentguru.com,20170129T153000Z,English,United States
Peatland restoration,wetland restoration,"Sealed bid for Project Number 4729206 , Drainage Improvements , Indiana .",http://www.environmentguru.com/pages/bids/opportunity.aspx?id=4473810,environmentguru.com,20170129T153000Z,English,United States
Peatland restoration,wetland restoration,61 -- Sources Sought Notice,http://www.environmentguru.com/pages/bids/opportunity.aspx?id=4408877,environmentguru.com,20170129T123000Z,English,United States
Peatland restoration,wetland restoration,Great Dismal Swamp National Wildlife Refuge,http://www.environmentguru.com/pages/bids/opportunity.aspx?id=4034502,environmentguru.com,20170129T120000Z,English,United States
Peatland restoration,wetland restoration,"ADMINSTRATIVE SUPPORT ASSISTANTS FOR PACIFIC ISLANDS FISHERIES SCIENCE CENTER ? S , OPERATIONS , MANAGEMENT AND INFORMATION DIVISION",http://www.environmentguru.com/pages/bids/opportunity.aspx?id=4345433,environmentguru.com,20170129T120000Z,English,United States
Peatland restoration,wetland restoration,"Sealed bid for Fort Bayard Lift Station Upgrade , New Mexico .",http://www.environmentguru.com/pages/bids/opportunity.aspx?id=4473329,environmentguru.com,20170129T120000Z,English,United States
Peatland restoration,wetland restoration,"FY17 Dredge Entrance Channel STA Eatons Neck , NY",http://www.environmentguru.com/pages/bids/opportunity.aspx?id=4127613,environmentguru.com,20170129T120000Z,English,United States
Peatland restoration,wetland restoration,"Sealed bid for Water Treatment Plants Ozone System Improvements , California .",http://www.environmentguru.com/pages/bids/opportunity.aspx?id=4473327,environmentguru.com,20170129T120000Z,English,United States
Peatland restoration,wetland restoration,Emergency Watershed Protection ( EWP ),http://www.environmentguru.com/pages/bids/opportunity.aspx?id=4332169,environmentguru.com,20170129T120000Z,English,United States
Peatland restoration,wetland restoration,Guest view : Let leave a lasting legacy,http://qctimes.com/news/opinion/editorial/columnists/guest/guest-view-let-s-leave-a-lasting-legacy/article_dac5543b-a6b9-57bf-8ea2-41f44f256b49.html,qctimes.com,20170129T081500Z,English,United States
Peatland restoration,wetland restoration,Local News : Eighth annual Marsh Madness Sandhill Crane Festival ( 1 / 27 / 17 ),http://www.gcdailyworld.com/story/2381007.html,gcdailyworld.com,20170128T041500Z,English,United States
Peatland restoration,wetland restoration,Mercer Island Center for the Arts takes step toward lease approval,http://www.mi-reporter.com/news/mercer-island-center-for-the-arts-takes-step-toward-lease-approval/,mi-reporter.com,20170126T213000Z,English,United States
Peatland restoration,wetland restoration,NEWS,http://www.rigzone.com/news/oil_gas/a/148260/Louisiana_Group_Expedite_Coastal_Restoration_Too,rigzone.com,20170126T200000Z,English,United States
Peatland restoration,wetland restoration,Central Valley Business Times,http://www.centralvalleybusinesstimes.com/stories/001/?ID=31983,centralvalleybusinesstimes.com,20170125T171500Z,English,United States
Peatland restoration,wetland restoration,-- > Leave a lasting legacy in Iowa,http://www.thegazette.com/subject/opinion/guest-columnists/leave-a-lasting-legacy-in-iowa-20170125,thegazette.com,20170125T161500Z,English,United States
Peatland restoration,wetland restoration,2017 Knauss Fellows,https://www.udel.edu/udaily/2017/january/knauss-fellows-2017/,udel.edu,20170125T040000Z,English,United States
Peatland restoration,wetland restoration,DNREC accepting water project grant proposals,http://www.hockessincommunitynews.com/news/20170124/dnrec-accepting-water-project-grant-proposals,hockessincommunitynews.com,20170125T020000Z,English,United States
Peatland restoration,wetland restoration,DNREC accepting water project grant proposals,http://www.middletowntranscript.com/news/20170124/dnrec-accepting-water-project-grant-proposals,middletowntranscript.com,20170125T013000Z,English,United States
Peatland restoration,wetland restoration,DNREC accepting water project grant proposals,http://www.milfordbeacon.com/news/20170124/dnrec-accepting-water-project-grant-proposals,milfordbeacon.com,20170125T004500Z,English,United States
Peatland restoration,wetland restoration,DNREC accepting water project grant proposals,http://www.scsuntimes.com/news/20170124/dnrec-accepting-water-project-grant-proposals,scsuntimes.com,20170125T000000Z,English,United States
Peatland restoration,wetland restoration,DNREC accepting water project grant proposals,http://www.doverpost.com/news/20170124/dnrec-accepting-water-project-grant-proposals,doverpost.com,20170124T233000Z,English,United States
Peatland restoration,wetland restoration,"DNREC , DHSS now accepting grant proposals for wastewater , surface water , and drinking water project planning",http://news.delaware.gov/2017/01/24/dnrec-dhss-now-accepting-grant-proposals-for-wastewater-surface-water-and-drinking-water-project-planning/,news.delaware.gov,20170124T230000Z,English,United States
Peatland restoration,wetland restoration,DNREC accepting water project grant proposals,http://www.sussexcountian.com/news/20170124/dnrec-accepting-water-project-grant-proposals,sussexcountian.com,20170124T214500Z,English,United States
Peatland restoration,wetland restoration,2017 Knauss Fellows,http://www.udel.edu/udaily/2017/january/knauss-fellows-2017/,udel.edu,20170124T154500Z,English,United States
Peatland restoration,wetland restoration,A lasting legacy,http://www.thehawkeye.com/opinion/letters/a-lasting-legacy/article_3dca97f3-b0be-5e57-9ba5-a11dbc4d8388.html,thehawkeye.com,20170124T093000Z,English,United States
Peatland restoration,wetland restoration,Minnesota to get first CREP funds since  05,http://www.agrinews.com/news/minnesota_news/minnesota-to-get-first-crep-funds-since/article_b669cc66-e18d-11e6-a6de-577a8d023ce8.html,agrinews.com,20170123T174500Z,English,United States
Peatland restoration,wetland restoration,Friends of McCarthy Park cancels  Snow Day,http://www.hngnews.com/sun_prairie_star/news/article_a25e4668-df79-11e6-b805-e7fad12ecbb6.html,hngnews.com,20170121T141500Z,English,United States
Peatland restoration,wetland restoration,County agrees to work with USFS on forest projects,http://www.alamogordonews.com/story/news/local/community/2017/01/20/county-agrees-work-usfs-forest-projects/96861654/,alamogordonews.com,20170121T064500Z,English,United States
Peatland restoration,wetland restoration,Obituary for Jonathan Stauffer,http://www.steamboattoday.com/obituaries/2017/jan/20/jonathan-stauffer/,steamboattoday.com,20170121T061500Z,English,United States
Peatland restoration,wetland restoration,Clean Water Act Nationwide Permits Reissued : Permit Streamlining Remains Intact,http://www.jdsupra.com/legalnews/clean-water-act-nationwide-permits-41463/,jdsupra.com,20170119T211500Z,English,United States
Peatland restoration,wetland restoration,"West metro suburbs sees increase in hotels , with the latest coming to Plymouth in  urban",http://www.startribune.com/west-metro-suburbs-sees-increase-in-hotels-with-the-latest-coming-to-plymouth-in-urban-type-village/411229415/,startribune.com,20170119T191500Z,English,United States
Peatland restoration,wetland restoration,Community grants awarded in North Iowa,http://kimt.com/2017/01/19/community-grants-awarded-in-north-iowa/,kimt.com,20170119T163000Z,English,United States
Peatland restoration,wetland restoration,Getting it wrong about CREP funding : fact checking the Strib Morning Hot Dish,http://www.bluestemprairie.com/bluestemprairie/2017/01/getting-it-wrong-about-crep-funding-fact-checking-the-stribs-morning-hot-dish.html,bluestemprairie.com,20170119T064500Z,English,United States
Peatland restoration,wetland restoration,Avoiding wetlands could speed Alta lift project,http://www.sltrib.com/home/4817059-155/avoiding-wetlands-could-speed-alta-lift,sltrib.com,20170117T173000Z,English,United States
Peatland restoration,wetland restoration,Avoiding wetlands could speed Alta lift project,http://www.sltrib.com/news/4817059-155/avoiding-wetlands-could-speed-alta-lift,sltrib.com,20170117T151500Z,English,United States
Peatland restoration,wetland restoration,Circle B Bar Reserve,https://wn.com/Circle_B_Bar_Reserve,wn.com,20170117T024500Z,English,United States
Peatland restoration,wetland restoration,Fargo Diversion Inlet Structure,http://www.environmentguru.com/pages/bids/opportunity.aspx?id=4232304,environmentguru.com,20170116T083000Z,English,United States
Peatland restoration,wetland restoration,Wetland Reserve Hydrology Restoration,http://www.environmentguru.com/pages/bids/opportunity.aspx?id=3902046,environmentguru.com,20170116T083000Z,English,United States
Peatland restoration,wetland restoration,Site Improvements,http://www.environmentguru.com/pages/bids/opportunity.aspx?id=3916823,environmentguru.com,20170116T083000Z,English,United States
Peatland restoration,wetland restoration,BOEM – Announces Historic Agreement on Mississippi Barrier Island Restoration,http://coastalnewstoday.com/boem-announces-historic-agreement-on-mississippi-barrier-island-restoration/,coastalnewstoday.com,20170115T194500Z,English,United States
Peatland restoration,wetland restoration,State aid for Long Island projects,http://projects.newsday.com/databases/long-island/state-aid-projects/,projects.newsday.com,20170115T180000Z,English,United States
Peatland restoration,wetland restoration,"Wetland Restoration Specialist in Little Rock , Arkansas",http://www.environmentguru.com/pages/elements/element.aspx?id=4416204,environmentguru.com,20170115T043000Z,English,United States
Peatland restoration,wetland restoration,Ducks Unlimited helps to restore Fix Unit,http://www.monroenews.com/news/20170114/ducks-unlimited-helps-to-restore-fix-unit,monroenews.com,20170114T173000Z,English,United States
Peatland restoration,wetland restoration,Reissued NWPs from Army Corps Leave Out WOTUS,http://ehsdailyadvisor.blr.com/2017/01/reissued-nwps-army-corps-leave-wotus/,ehsdailyadvisor.blr.com,20170113T110000Z,English,United States
Peatland restoration,wetland restoration,"Get Out : Friday , Jan . 13",http://www.mailtribune.com/entertainmentlife/20170113/get-out-friday-jan-13,mailtribune.com,20170113T083000Z,English,United States
Peatland restoration,wetland restoration,"The Bulletin , from San Francisco Bay Joint Venture",http://bayplanningcoalition.org/2017/01/the-bulletin-from-san-francisco-bay-joint-venture/,bayplanningcoalition.org,20170112T214500Z,English,United States
Peatland restoration,wetland restoration,Martin Slough moves forward with multiple grants,http://www.times-standard.com/general-news/20170111/martin-slough-moves-forward-with-multiple-grants,times-standard.com,20170112T101500Z,English,United States
Peatland restoration,wetland restoration,Martin Slough moves forward with multiple grants,http://www.times-standard.com/article/NJ/20170111/NEWS/170119940,times-standard.com,20170112T073000Z,English,United States
Peatland restoration,wetland restoration,Menlo Park sparks interest in zero,https://www.greenbiz.com/article/menlo-park-sparks-interest-zero-carbon-cities,greenbiz.com,20170112T024500Z,English,United States
Peatland restoration,wetland restoration,County conducts first meeting of the year with new board,http://www.alamogordonews.com/story/news/local/community/2017/01/10/county-conducts-first-meeting-year-new-board/96410444/,alamogordonews.com,20170111T111500Z,English,United States
Peatland restoration,wetland restoration,Experts offer river quality update,http://www.journalgazette.net/news/local/Experts-offer-river-quality-update-17202325,journalgazette.net,20170110T093000Z,English,United States
Peatland restoration,wetland restoration,Panel discusses Fort Wayne river quality,http://www.journalgazette.net/news/local/Panel-discusses-Fort-Wayne-river-quality-17202325,journalgazette.net,20170110T043000Z,English,United States
Peatland restoration,wetland restoration,"Down to the Wire , U . S . Army Corps of Engineers Reissues Nationwide Permits",http://www.natlawreview.com/article/down-to-wire-us-army-corps-engineers-reissues-nationwide-permits,natlawreview.com,20170109T214500Z,English,United States
Peatland restoration,wetland restoration,Council approves bids for Blaine Wetland Sanctuary,http://abcnewspapers.com/2017/01/07/council-approves-bids-for-blaine-wetland-sanctuary/,abcnewspapers.com,20170107T234500Z,English,United States
