domain,keyword,title,url,source_domain,seendate,language,country
reforestation,forest carbon management,"Coast Lines , Jan . 29 , 2017 : Open Show Santa Cruz set for Wednesday",http://www.santacruzsentinel.com/events/20170128/coast-lines-jan-29-2017-open-show-santa-cruz-set-for-wednesday,santacruzsentinel.com,20170129T024500Z,English,United States
reforestation,forest carbon management,Climate Change News : Tackling climate change : New options for BC forest sector,http://www.enn.com/climate/article/51375,enn.com,20170529T174500Z,English,United States
reforestation,forest carbon management,Public feels a  sense of urgency  to restore B . C . foraged forests : study,https://www.msn.com/en-ca/news/canada/public-feels-a-e2-80-98sense-of-urgency-e2-80-99-to-restore-bc-e2-80-99s-foraged-forests-study/ar-AAxrKOg,msn.com,20180518T020000Z,English,United States
reforestation,forest carbon management,Global land change from 1982 to 2016,http://www.nature.com/articles/s41586-018-0411-9,nature.com,20180809T101500Z,English,United States
reforestation,forest carbon management,Global land change from 1982 to 2016,https://www.nature.com/articles/s41586-018-0411-9,nature.com,20180808T183000Z,English,United States
reforestation,forest carbon management,Opinion : Oregon carbon - absorbing secret that sells the Clean Energy Jobs bill,https://www.oregonlive.com/opinion/2019/02/opinion-oregons-carbon-absorbing-secret-that-sells-the-clean-energy-jobs-bill.html,oregonlive.com,20190217T174500Z,English,United States
reforestation,forest carbon management,Scientists make case for stabilizing forest carbon to help mitigate climate change,https://phys.org/news/2019-06-scientists-case-stabilizing-forest-carbon.html,phys.org,20190610T170000Z,English,United States
reforestation,forest carbon management,Scientist makes case for stabilizing forest carbon to help mitigate climate change,https://www.sciencedaily.com/releases/2019/06/190610100634.htm,sciencedaily.com,20190610T161500Z,English,United States
reforestation,forest carbon management,UNM scientist makes case for stabilizing forest carbon to help mitigate climate change,https://www.eurekalert.org/pub_releases/2019-06/uonm-usm060719.php,eurekalert.org,20190610T160000Z,English,United States
reforestation,forest carbon management,Dickenson supervisors have questions about big Nature Conservancy land deal,http://www.thecoalfieldprogress.com/dickenson_star/dickenson-supervisors-have-questions-about-big-nature-conservancy-land-deal/article_141893f8-ae3f-11e9-9b8a-4f29de116e9f.html,thecoalfieldprogress.com,20190724T184500Z,English,United States
reforestation,forest carbon management,"Nature Conservancy obtains 153 , 000 acres of local forest",http://www.thecoalfieldprogress.com/coalfield_progress/nature-conservancy-obtains-acres-of-local-forest/article_006feb32-a744-11e9-b181-473bc2393d9a.html,thecoalfieldprogress.com,20190716T050000Z,English,United States
reforestation,forest carbon management,How Effective Is Land At Removing Carbon Pollution ? The IPCC Weighs In,https://www.wri.org/blog/2019/08/how-effective-land-removing-carbon-pollution-ipcc-weighs,wri.org,20190808T143000Z,English,United States
reforestation,forest carbon management,"BP to invest in Finite Resources , voluntary carbon offsets » Kallanish Energy News",http://www.kallanishenergy.com/2019/10/29/bp-to-invest-in-finite-resources-voluntary-carbon-offsets/,kallanishenergy.com,20191126T101500Z,English,United States
reforestation,forest carbon management,Direct measurement forest carbon protocol : a commercial system - of - systems to incentivize forest restoration and management,https://peerj.com/articles/8891/,peerj.com,20200427T110000Z,English,United States
reforestation,forest carbon management,Trees To Capture Carbon ( And Cash ) In Nation First Project On State Forest Land,https://www.forbes.com/sites/jeffkart/2021/09/12/trees-to-capture-carbon-and-cash-in-nations-first-project-on-state-forest-land/,forbes.com,20210925T194500Z,English,United States
reforestation,forest carbon management,Trees To Capture Carbon ( And Cash ) In Nation First Project On State Forest Land,https://www.forbes.com/sites/jeffkart/2021/09/12/trees-to-capture-carbon-and-cash-in-nations-first-project-on-state-forest-land/,forbes.com,20210912T194500Z,English,United States
reforestation,forest carbon management,Online event to launch the new Understanding Forest Carbon Management Course - International,https://www.canr.msu.edu/news/online-event-to-launch-the-new-understanding-forest-carbon-management-course-international,canr.msu.edu,20211020T210000Z,English,United States
reforestation,forest carbon management,MSU named charter member of Northern Institute of Applied Climate Science,https://www.canr.msu.edu/news/msu-named-charter-member-of-northern-institute-of-applied-climate-science,canr.msu.edu,20220613T181500Z,English,United States
reforestation,forest carbon management,USFS funds FCCP project aiming to fill forest carbon data and modeling knowledge gaps,https://www.canr.msu.edu/news/usfs-funds-fccp-project-aiming-to-fill-forest-carbon-data-and-modeling-knowledge-gaps,canr.msu.edu,20220823T161500Z,English,United States
reforestation,forest carbon management,How will the Inflation Reduction Act impact forest and carbon management ?,https://www.canr.msu.edu/news/how-will-the-inflation-reduction-act-impact-forest-and-carbon-management,canr.msu.edu,20220822T204500Z,English,United States
reforestation,forest carbon management,FCCP Spanish mini - course incorporated into Peru SERFOR education platform - Forest Carbon and Climate Program,https://www.canr.msu.edu/news/fccp-spanish-mini-course-incorporated-into-peru-s-serfor-education-platform,canr.msu.edu,20221017T191500Z,English,United States
reforestation,forest carbon management,Caution urged as mining companies eye critical minerals below Quebec boreal forest,https://www.chroniclejournal.com/news/national/caution-urged-as-mining-companies-eye-critical-minerals-below-quebec-boreal-forest/article_fbd14bfe-c6ae-53de-8188-0ca3970666ba.html,chroniclejournal.com,20230208T130000Z,English,United States
reforestation,forest carbon management,High uncertainty in climate impact of global forests : Experts call for more complete estimation,https://phys.org/news/2023-09-high-uncertainty-climate-impact-global.html,phys.org,20230928T173000Z,English,United States
reforestation,forest carbon management,Brooke Eastman helms AAAS Local Science Engagement Network in West Virginia,https://www.aaas.org/membership/member-spotlight/brooke-eastman-helms-aaas-local-science-engagement-network-west,aaas.org,20231129T221500Z,English,United States
reforestation,forest carbon management,"Frequent large - scale wildfires are turning forests from carbon sinks into super ‑ emitters , warn scientists",https://phys.org/news/2025-05-frequent-large-scale-wildfires-forests.html,phys.org,20250522T181500Z,English,United States
