domain,keyword,title,url,source_domain,seendate,language,country
reforestation,improved forest management,Indigenous leaders present plan to gov ’ t for Suriname ’ s largest official protected area –,https://news.mongabay.com/2015/03/indigenous-leaders-present-plan-to-govt-for-surinames-largest-official-protected-area/,news.mongabay.com,20170223T163000Z,English,United States
reforestation,improved forest management,How Carbon Finance Helped Two Tribes and a Town Share One Forest,http://www.ecosystemmarketplace.com/articles/how-two-first-nations-and-a-small-canadian-town-tapped-carbon-finance-to-better-manage-their-shared-forest/,ecosystemmarketplace.com,20170216T204500Z,English,United States
reforestation,improved forest management,Changing Sustainability Norms in the World Forests,http://www.justmeans.com/blog/changing-sustainability-norms-in-the-worlds-forests,justmeans.com,20170215T204500Z,English,United States
reforestation,improved forest management,What is at stake for the three main channels for US climate finance ?,https://www.devex.com/news/what-is-at-stake-for-the-three-main-channels-for-us-climate-finance-89566,devex.com,20170206T134500Z,English,United States
reforestation,improved forest management,Managed forests are a powerful tool for coping with climate change,http://www.treehugger.com/corporate-responsibility/managed-forests-are-powerful-tool-coping-climate-change.html,treehugger.com,20170419T163000Z,English,United States
reforestation,improved forest management,The Case for Climate Optimism,http://www.triplepundit.com/2017/06/case-climate-optimism/,triplepundit.com,20170601T110000Z,English,United States
reforestation,improved forest management,"Report : Carbon Markets Contribute to Global Climate Action Efforts , But Need a Boost",http://www.triplepundit.com/2017/05/report-carbon-markets-contributing-global-climate-action-efforts-need-boost/,triplepundit.com,20170530T114500Z,English,United States
reforestation,improved forest management,Passamaquoddy Tribe generates revenue through carbon credits,http://www.mainebiz.biz/article/20170516/NEWS0101/170519954,mainebiz.biz,20170516T180000Z,English,United States
reforestation,improved forest management,"Tribal forest project helps slow climate change , generates revenue",http://quoddytides.com/tribal-forest-projec-helps-slow-climate-change-generates-revenue5-12-2017.html,quoddytides.com,20170515T224500Z,English,United States
reforestation,improved forest management,Portugal ’ s ‘ killer forest ’ – POLITICO,http://www.politico.eu/article/portugal-fire-eucalyptus-killer-forest/,politico.eu,20170619T211500Z,English,United States
reforestation,improved forest management,Northwest Leadership Questions Proposed Cuts To Federal Wildfire Budget,http://ijpr.org/post/northwest-leadership-questions-proposed-cuts-federal-wildfire-budget,ijpr.org,20170617T021500Z,English,United States
reforestation,improved forest management,Northwest Leadership Questions Proposed Cuts To Federal Wildfire Budget,http://nwpr.org/post/northwest-leadership-questions-proposed-cuts-federal-wildfire-budget,nwpr.org,20170616T011500Z,English,United States
reforestation,improved forest management,Northwest Leadership Questions Proposed Cuts To Federal Wildfire Budget,http://klcc.org/post/northwest-leadership-questions-proposed-cuts-federal-wildfire-budget,klcc.org,20170615T233000Z,English,United States
reforestation,improved forest management,Northwest Leadership Questions Proposed Cuts To Federal Wildfire Budget,http://nwnewsnetwork.org/post/northwest-leadership-questions-proposed-cuts-federal-wildfire-budget,nwnewsnetwork.org,20170615T231500Z,English,United States
reforestation,improved forest management,Passamaquoddy Tribe generates revenue through carbon credits,http://www.mainebiz.biz/article/20170516/NEWS0101/170519954/passamaquoddy-tribe-generates-revenue-through-carbon-credits,mainebiz.biz,20170615T223000Z,English,United States
reforestation,improved forest management,KEN PERROTTE : Stafford High grad to spend summer learning about conservation,http://www.fredericksburg.com/fls/ken-perrotte-stafford-high-grad-to-spend-summer-learning-about/article_c167b8d5-1c42-58ea-a5d3-94c8cea5b983.html,fredericksburg.com,20170615T171500Z,English,United States
reforestation,improved forest management,KEN PERROTTE : George to grow as conservationist with summer internship,http://www.fredericksburg.com/fls/ken-perrotte-george-to-grow-as-conservationist-with-summer-internship/article_c167b8d5-1c42-58ea-a5d3-94c8cea5b983.html,fredericksburg.com,20170615T040000Z,English,United States
reforestation,improved forest management,The Case for Climate Optimism,http://www.triplepundit.com/2017/06/case-climate-optimism/,triplepundit.com,20170601T110000Z,English,United States
reforestation,improved forest management,Is Norwegian money funding Congo deforestation ?,https://news.mongabay.com/2017/07/is-norwegian-money-funding-congo-deforestation/,news.mongabay.com,20170728T220000Z,English,United States
reforestation,improved forest management,Investment by Innovative Carbon Fund Protects Large Northeast Forest and Supports Forest Education,https://www.benzinga.com/pressreleases/17/07/p9792608/investment-by-innovative-carbon-fund-protects-large-northeast-forest-an,benzinga.com,20170719T103000Z,English,United States
reforestation,improved forest management,Investment by Innovative Carbon Fund Protects Large Northeast Forest and Supports Forest Education,http://www.pressreleaserocket.net/investment-by-innovative-carbon-fund-protects-large-northeast-forest-and-supports-forest-education/575513/,pressreleaserocket.net,20170719T094500Z,English,United States
reforestation,improved forest management,Investment by Innovative Carbon Fund Protects Large Northeast Forest and Supports Forest Education,http://www.pressreleaserocket.net/investment-by-innovative-carbon-fund-protects-large-northeast-forest-and-supports-forest-education/,pressreleaserocket.net,20170719T094500Z,English,United States
reforestation,improved forest management,Investment by Innovative Carbon Fund Protects Large Northeast Forest and Supports Forest Education,http://www.prweb.com/releases/2017/forestcarboninvestment/prweb14509420.htm,prweb.com,20170719T094500Z,English,United States
reforestation,improved forest management,"In wake of the Brian Head Fire , commissioner pushes state to talk to U . S . Ag secretary about forest management",http://www.sltrib.com/home/5507090-155/in-wake-of-the-brian-head,sltrib.com,20170714T024500Z,English,United States
reforestation,improved forest management,"In wake of the Brian Head Fire , commissioner pushes state to talk to U . S . Ag secretary about forest management",http://www.sltrib.com/news/5507090-155/in-wake-of-the-brian-head,sltrib.com,20170714T014500Z,English,United States
