domain,keyword,title,url,source_domain,seendate,language,country
reforestation,silviculture,Cuban Business Delegation Holds Meetings in Washington,http://plenglish.com/index.php?o=rn&id=8713&SEO=cuban-business-delegation-holds-meetings-in-washington,plenglish.com,20170201T080000Z,English,United States
reforestation,silviculture,Assistant Professor Forestry / Silviculture,http://www.sustainablebusiness.com/job/4-10/,sustainablebusiness.com,20170201T074500Z,English,United States
reforestation,silviculture,Assistant Director for the Adirondack Semester,http://www.sustainablebusiness.com/job/4-9/,sustainablebusiness.com,20170201T074500Z,English,United States
reforestation,silviculture,Cuban Business Delegation Holds Meetings in Washington,http://www.plenglish.com/index.php?o=rn&id=8713&SEO=cuban-business-delegation-holds-meetings-in-washington,plenglish.com,20170201T061500Z,English,United States
reforestation,silviculture,Maple Leaf Green World,http://investingnews.com/company-profiles/maple-leaf-green-world-organic-cannabis-oil/,investingnews.com,20170126T203000Z,English,United States
reforestation,silviculture,Looking for alternatives to Woodlands Assistance Program,http://www.nrtoday.com/news/government/douglas_county/looking-for-alternatives-to-woodlands-assistance-program/article_4139b0f8-7128-549c-b915-bcef2401a4c6.html,nrtoday.com,20170126T181500Z,English,United States
reforestation,silviculture,2017 Ohio Forestry and Wildlife Conservation Camp Scholarship,http://www.geaugamapleleaf.com/community/2017-ohio-forestry-and-wildlife-conservation-camp-scholarship/,geaugamapleleaf.com,20170126T140000Z,English,United States
reforestation,silviculture,Why Maine needs to train the next generation of loggers,https://bangordailynews.com/2017/01/25/mainefocus/why-maine-needs-to-train-the-next-generation-of-loggers/,bangordailynews.com,20170125T151500Z,English,United States
reforestation,silviculture,Why Maine needs to train the next generation of loggers,http://bangordailynews.com/2017/01/25/mainefocus/why-maine-needs-to-train-the-next-generation-of-loggers/,bangordailynews.com,20170125T120000Z,English,United States
reforestation,silviculture,Echo : Global Warming Hits Great Lakes Forests » Urban Milwaukee,http://urbanmilwaukee.com/2017/01/22/echo-global-warming-hits-great-lakes-forests/,urbanmilwaukee.com,20170122T190000Z,English,United States
reforestation,silviculture,"ASHBY : House , Senate submit budget plans",http://lufkindailynews.com/news/community/article_242c7f34-e024-11e6-bcf6-e733a5ebdcea.html,lufkindailynews.com,20170122T073000Z,English,United States
reforestation,silviculture,Dominion Resources : 200,http://www.4-traders.com/DOMINION-RESOURCES-INC-12255/news/Dominion-Resources-200-acre-solar-farm-proposed-in-Gloucester-County-23730301/,4-traders.com,20170122T041500Z,English,United States
reforestation,silviculture,200,http://www.dailypress.com/business/dp-nws-mid-strata-solar-facility-20170120-story.html,dailypress.com,20170122T020000Z,English,United States
reforestation,silviculture,Researchers look to brace Great Lakes forests for climate change,http://greatlakesecho.org/2017/01/12/researchers-look-to-brace-great-lakes-forests-for-climate-change/,greatlakesecho.org,20170112T101500Z,English,United States
reforestation,silviculture,Forestry Technician ( Timber / Silviculture ),http://www.environmentguru.com/pages/elements/element.aspx?id=4406022,environmentguru.com,20170111T101500Z,English,United States
reforestation,silviculture,"Sussex Co . Plans Project to Convert Wastewater Disposal , Restore",http://www.wboc.com/story/34226923/sussex-co-plans-project-to-convert-wastewater-disposal-restore-woodlands,wboc.com,20170110T191500Z,English,United States
reforestation,silviculture,Forestry Technician ( Timber / Silviculture ),http://www.environmentguru.com/pages/elements/element.aspx?id=4389165,environmentguru.com,20170106T091500Z,English,United States
reforestation,silviculture,A Reading Life,http://www.heraldnet.com/tag/a-reading-life/,heraldnet.com,20170105T224500Z,English,United States
reforestation,silviculture,Forestry Technician ( Timber / Silviculture ),http://www.environmentguru.com/pages/elements/element.aspx?id=4381061,environmentguru.com,20170104T220000Z,English,United States
reforestation,silviculture,Forestry Aid ( General ),http://www.environmentguru.com/pages/elements/element.aspx?id=4379146,environmentguru.com,20170104T083000Z,English,United States
reforestation,silviculture,Ranger Districts senior employee Lupe Wilson retiring,http://sweethomenews.com/ranger-districts-senior-employee-lupe-wilson-retiring-p7294-1.htm,sweethomenews.com,20170104T011500Z,English,United States
reforestation,silviculture,STEVEN MARK CLARK,http://www.duluthnewstribune.com/obituaries/4191434-steven-mark-clark,duluthnewstribune.com,20170103T210000Z,English,United States
reforestation,silviculture,Untitled,http://www.indrastra.com/2017/01/NEWS-Deforestation-Decreased-More-than-2-5-Percent-in-Brazil-003-01-2017-0004.html,indrastra.com,20170102T150000Z,English,United States
