domain,keyword,title,url,source_domain,seendate,language,country
soil carbon requestration,carbon farming,EcoWatch,http://www.ecowatch.com/tag/ocean-acidification,ecowatch.com,20170330T190000Z,English,United States
soil carbon requestration,carbon farming,A Climate Solution,http://www.bohemian.com/northbay/a-climate-solution/Content?oid=3379254,bohemian.com,20170329T121500Z,English,United States
soil carbon requestration,carbon farming,Artificial soils could be key in rehabilitation of Latrobe Valley coal mines,https://phys.org/news/2017-03-artificial-soils-key-latrobe-valley.html,phys.org,20170327T121500Z,English,United States
soil carbon requestration,carbon farming,NYS Assembly Budget Includes Funding For Carbon Farming Tax Credit Study,http://wamc.org/post/nys-assembly-budget-includes-funding-carbon-farming-tax-credit-study,wamc.org,20170319T164500Z,English,United States
soil carbon requestration,carbon farming,Soil Feedback : Environment,http://peakoil.com/forums/viewtopic.php?p=1352426,peakoil.com,20170316T070000Z,English,United States
soil carbon requestration,carbon farming,Soil Feedback : Environment,http://peakoil.com/forums/viewtopic.php?p=1352424,peakoil.com,20170316T021500Z,English,United States
soil carbon requestration,carbon farming,Soil Feedback : Environment,http://peakoil.com/forums/viewtopic.php?p=1352387,peakoil.com,20170315T214500Z,English,United States
soil carbon requestration,carbon farming,Marin Voice : California Coastal Commission is a ‘ weak link ’ in collaborative efforts,http://www.marinij.com/opinion/20170309/marin-voice-california-coastal-commission-is-a-weak-link-in-collaborative-efforts,marinij.com,20170310T000000Z,English,United States
soil carbon requestration,carbon farming,"Dr . Bronner Stands Up for Climate Action , Publishes CSR Report , and More at Natural Products Expo West 2017",https://www.yahoo.com/news/dr-bronners-stands-climate-action-publishes-csr-report-155600577.html,yahoo.com,20170308T163000Z,English,United States
soil carbon requestration,carbon farming,"Dr . Bronner Stands Up for Climate Action , Publishes CSR Report , and More at Natural Products Expo West 2017",http://www.marketwatch.com/story/dr-bronners-stands-up-for-climate-action-publishes-csr-report-and-more-at-natural-products-expo-west-2017-2017-03-08,marketwatch.com,20170308T161500Z,English,United States
soil carbon requestration,carbon farming,"Dr . Bronner Stands Up for Climate Action , Publishes CSR Report , and More at Natural Products Expo",http://www.prnewswire.com/news-releases/dr-bronners-stands-up-for-climate-action-publishes-csr-report-and-more-at-natural-products-expo-west-2017-300420336.html,prnewswire.com,20170308T161500Z,English,United States
soil carbon requestration,carbon farming,Climate Ecoforestry,http://www.resilience.org/stories/2017-03-07/climate-ecoforestry/,resilience.org,20170307T181500Z,English,United States
soil carbon requestration,carbon farming,Climate Ecoforestry,http://peakoil.com/enviroment/climate-ecoforestry/comment-page-1,peakoil.com,20170306T234500Z,English,United States
soil carbon requestration,carbon farming,Climate Ecoforestry,http://peakoil.com/enviroment/climate-ecoforestry,peakoil.com,20170306T193000Z,English,United States
soil carbon requestration,carbon farming,ILC Indigenous Land,http://www.4-traders.com/news/ILC-Indigenous-Land-34m-Indigenous-savanna-fire-management-program--24502191/,4-traders.com,20170529T051500Z,English,United States
soil carbon requestration,carbon farming,Let Skip the War Part — and Go Right to Reparations,http://axisoflogic.com/artman/publish/Article_76627.shtml,axisoflogic.com,20170523T143000Z,English,United States
