domain,keyword,title,url,source_domain,seendate,language,country
Ocean fertilization,iron fertilization,Moonshots ? Earth is the Most in Need of a Shot,http://www.theenergycollective.com/jim-baird/2396597/moonshots-earth-is-in-the-most-in-need-of-a-shot,theenergycollective.com,20170119T180000Z,English,United States
Ocean fertilization,iron fertilization,"Next Big Future : US Intelligence looks out to 2035 at shifting national power and economic stress for overall global growth , China and impact on jobs from AI and robots",http://www.nextbigfuture.com/2017/01/us-intelligence-looks-out-to-2035-at.html,nextbigfuture.com,20170112T000000Z,English,United States
Ocean fertilization,iron fertilization,Carbon Dioxide Removal and Negative Emissions Technology Workshop,http://www.environmentguru.com/pages/elements/element.aspx?id=4374760,environmentguru.com,20170103T060000Z,English,United States
Ocean fertilization,iron fertilization,US scientists launch world biggest solar geoengineering study,https://article.wn.com/view/2017/03/24/US_scientists_launch_worlds_biggest_solar_geoengineering_stu/,article.wn.com,20170324T151500Z,English,United States
Ocean fertilization,iron fertilization,Climate Geoengineering,https://wn.com/Climate_Geoengineering,wn.com,20170324T151500Z,English,United States
Ocean fertilization,iron fertilization,Earth Hackers  Adopt Radical Methods to Stop Climate Change,http://countingpips.com/2017/03/earth-hackers-adopt-radical-methods-to-stop-climate-change/,countingpips.com,20170322T183000Z,English,United States
Ocean fertilization,iron fertilization,Earth Hackers  Adopt Radical Methods to Stop Climate Change,https://www.wallstreetdaily.com/2017/03/22/earth-hackers-radical-climate-change/,wallstreetdaily.com,20170322T141500Z,English,United States
Ocean fertilization,iron fertilization,The Geoengineering Thread Pt . 2 : Environment,http://peakoil.com/forums/viewtopic.php?p=1351444,peakoil.com,20170309T023000Z,English,United States
Ocean fertilization,iron fertilization,The Geoengineering Thread Pt . 2 : Environment,http://peakoil.com/forums/viewtopic.php?p=1351407,peakoil.com,20170308T173000Z,English,United States
Ocean fertilization,iron fertilization,The Geoengineering Thread Pt . 2 : Environment,http://peakoil.com/forums/viewtopic.php?p=1351397,peakoil.com,20170308T131500Z,English,United States
Ocean fertilization,iron fertilization,The Geoengineering Thread Pt . 2 : Environment,http://peakoil.com/forums/viewtopic.php?p=1350852,peakoil.com,20170304T204500Z,English,United States
Ocean fertilization,iron fertilization,"Air Pollution Particles May Fertilize Oceans , Study Finds",http://www.voanews.com/a/pollution-particles-fertilize-oceans/3745610.html,voanews.com,20170302T003000Z,English,United States
Ocean fertilization,iron fertilization,Man,https://article.wn.com/view/2017/04/26/Manmade_clouds_could_save_Barrier_Reef/,article.wn.com,20170426T081500Z,English,United States
Ocean fertilization,iron fertilization,These Technologies Are The Future Of Fighting For The Environment,http://uproxx.com/technology/future-of-green-technology/,uproxx.com,20170414T173000Z,English,United States
Ocean fertilization,iron fertilization,Startup hopes to revive fish stocks by mimicking iron fertilization,https://www.undercurrentnews.com/2017/04/07/startup-hopes-to-revive-fish-stocks-by-mimicking-iron-fertilization/,undercurrentnews.com,20170407T100000Z,English,United States
Ocean fertilization,iron fertilization,A Company Plan To Fix Fisheries Has Scientists Feeling Skeptical,http://www.abc2news.com/newsy/a-companys-plan-to-fix-fisheries-has-scientists-feeling-skeptical,abc2news.com,20170525T014500Z,English,United States
