domain,keyword,title,url,source_domain,seendate,language,country,date_parsed,dup_count
OAE,ocean alkalinity,Solar Dams and Their Ancillary Benefits,http://www.theenergycollective.com/jim-baird/2395511/solar-dams-and-their-ancillary-benefits,theenergycollective.com,20170103T163000Z,English,United States,2017-01-03 16:30:00,1
OAE,ocean alkalinity,Peter Smith : Of Hot Goblins and Hobgoblins,http://www.ruthfullyyours.com/2017/01/16/peter-smith-of-hot-goblins-and-hobgoblins/,ruthfullyyours.com,20170116T154500Z,English,United States,2017-01-16 15:45:00,1
OAE,ocean alkalinity,16,http://www.ruthfullyyours.com/2017/01/16/,ruthfullyyours.com,20170116T154500Z,English,United States,2017-01-16 15:45:00,1
OAE,ocean alkalinization,Moonshots ? Earth is the Most in Need of a Shot,http://www.theenergycollective.com/jim-baird/2396597/moonshots-earth-is-in-the-most-in-need-of-a-shot,theenergycollective.com,20170119T180000Z,English,United States,2017-01-19 18:00:00,1
OAE,marine CDR,Innovation and Determination Ashore,https://www.usni.org/magazines/navalhistory/2007-08/innovation-and-determination-ashore-0,usni.org,20170531T174500Z,English,United States,2017-05-31 17:45:00,1
OAE,ocean alkalinity,Climate Science Is Changing from Alarmism to Realism,https://townhall.com/columnists/vijayjayaraj/2017/10/27/climate-science-is-changing-from-alarmism-to-realism-n2400969,townhall.com,20171027T230000Z,English,United States,2017-10-27 23:00:00,1
OAE,ocean alkalinity,Greenhouse gases must be scrubbed from the air,https://www.economist.com/news/briefing/21731386-cutting-emissions-will-not-be-enough-keep-global-warming-check-greenhouse-gases-must-be,economist.com,20171116T181500Z,English,United States,2017-11-16 18:15:00,2
OAE,ocean alkalinity,The far,http://www.cnn.com/2017/11/29/world/climate-change-geoengineering/,cnn.com,20171129T184500Z,English,United States,2017-11-29 18:45:00,3
OAE,ocean alkalinity,Far,http://livenewscentral.com/2017/11/30/far-fetched-fixes-for-climate-change/,livenewscentral.com,20171130T154500Z,English,United States,2017-11-30 15:45:00,3
OAE,ocean alkalinity,Deflating the Fossil Bubble,https://www.environmentguru.com/pages/elements/element.aspx?id=6635348,environmentguru.com,20180606T001500Z,English,United States,2018-06-06 00:15:00,1
OAE,ocean-based climate solutions,Elevating Ocean - Based Climate Solutions - Center for American Progress,https://www.americanprogress.org/issues/green/reports/2018/08/16/454850/elevating-ocean-based-climate-solutions/,americanprogress.org,20180816T160000Z,English,United States,2018-08-16 16:00:00,1
OAE,ocean alkalinity enhancement,COLUMN : The US should stop derailing global climate change mitigation efforts,http://www.idsnews.com/article/2018/09/columnclimate091618,idsnews.com,20180916T220000Z,English,United States,2018-09-16 22:00:00,6
OAE,ocean alkalinity,Letters : Our climate,https://tdn.com/opinion/letters/letters-our-climate/article_a84e32ab-a517-5855-bcc8-e9d347d36a15.html,tdn.com,20181013T073000Z,English,United States,2018-10-13 07:30:00,1
OAE,ocean alkalinity,"New research , November 26 - December 2 , 2018",https://skepticalscience.com/new_research_20181126.html,skepticalscience.com,20181207T174500Z,English,United States,2018-12-07 17:45:00,1
OAE,marine carbon dioxide removal,Can we tweak marine chemistry to help stave off climate change ?,https://www.sfchronicle.com/news/article/Can-we-tweak-marine-chemistry-to-help-stave-off-13681419.php,sfchronicle.com,20190312T113000Z,English,United States,2019-03-12 11:30:00,16
