domain,keyword,title,url,source_domain,seendate,language,country
OAE,alkalinity enhancement,Far,http://livenewscentral.com/2017/11/30/far-fetched-fixes-for-climate-change/,livenewscentral.com,20171130T154500Z,English,United States
OAE,alkalinity enhancement,The far,http://www.cnn.com/2017/11/29/world/climate-change-geoengineering/,cnn.com,20171129T184500Z,English,United States
OAE,alkalinity enhancement,COLUMN : The US should stop derailing global climate change mitigation efforts,https://www.idsnews.com/article/2018/09/columnclimate091618,idsnews.com,20180917T181500Z,English,United States
OAE,alkalinity enhancement,COLUMN : The US should stop derailing global climate change mitigation efforts,http://www.idsnews.com/article/2018/09/columnclimate091618,idsnews.com,20180916T220000Z,English,United States
OAE,alkalinity enhancement,"Climate engineering needs to look at the big picture , says researcher",https://phys.org/news/2019-04-climate-big-picture.html,phys.org,20190416T220000Z,English,United States
OAE,alkalinity enhancement,Potential effects of large - scale projects designed to offset Earth changing climate,https://www.sciencedaily.com/releases/2019/04/190416145219.htm,sciencedaily.com,20190416T203000Z,English,United States
OAE,alkalinity enhancement,"Climate engineering needs to look at the big picture , says researcher",https://www.eurekalert.org/pub_releases/2019-04/cu-cen041619.php,eurekalert.org,20190416T191500Z,English,United States
OAE,alkalinity enhancement,Benefits and risks for marine life from carbon dioxide removal approaches,https://phys.org/news/2019-12-benefits-marine-life-carbon-dioxide.html,phys.org,20191210T154500Z,English,United States
OAE,alkalinity enhancement,Silicon Valley billionaires want to geoengineer the world oceans,https://www.newscientist.com/article/mg24732980-500-silicon-valley-billionaires-want-to-geoengineer-the-worlds-oceans/,newscientist.com,20200901T161500Z,English,United States
OAE,alkalinity enhancement,We Have Just One Decade to Turn Back the Worst of Climate Change : Here How Philanthropy Can Lead ( Opinion ),https://www.philanthropy.com/article/We-Have-Just-One-Decade-to/249258,philanthropy.com,20200806T144500Z,English,United States
OAE,alkalinity enhancement,Silicon Valley billionaires want to geoengineer the world oceans,https://www.newscientist.com/article/mg24732980-500-silicon-valley-billionaires-want-to-geoengineer-the-worlds-oceans/,newscientist.com,20200901T161500Z,English,United States
OAE,alkalinity enhancement,How the Ocean Can Help Absorb CO2 | World Resources Institute,https://www.wri.org/blog/2020/10/ocean-carbon-dioxide-sequestration,wri.org,20201008T221500Z,English,United States
OAE,alkalinity enhancement,Why We Shouldnt Buy Into the Idea of Engineering Our Way Out of the Climate Crisis,https://www.onegreenplanet.org/environment/why-we-shouldnt-buy-into-the-idea-of-engineering-our-way-out-of-the-climate-crisis/,onegreenplanet.org,20210610T170000Z,English,United States
OAE,alkalinity enhancement,Climate Vault Launches Request for Proposal ( RFP ) to Support Carbon Dioxide Removal Technologies,https://www.wsiltv.com/news/illinois/climate-vault-launches-request-for-proposal-rfp-to-support-carbon-dioxide-removal-technologies/article_77dda86a-9c13-5051-8f78-053d92cc738c.html,wsiltv.com,20211201T183000Z,English,United States
OAE,alkalinity enhancement,Climate Vault Launches Request for Proposal ( RFP ) to Support Carbon Dioxide Removal Technologies,https://www.valdostadailytimes.com/news/business/climate-vault-launches-request-for-proposal-rfp-to-support-carbon-dioxide-removal-technologies/article_0597cd14-fc69-5fb5-a1ba-632d7ae01837.html,valdostadailytimes.com,20211201T170000Z,English,United States
OAE,alkalinity enhancement,Coastal News Today | World - Could crushed rocks absorb enough carbon to curb global warming ?,https://www.coastalnewstoday.com/post/world-could-crushed-rocks-absorb-enough-carbon-to-curb-global-warming,coastalnewstoday.com,20220113T024500Z,English,United States
OAE,alkalinity enhancement,Could crushed rocks absorb enough carbon to curb global warming ?,https://www.msn.com/en-us/news/spotlight/could-crushed-rocks-absorb-enough-carbon-to-curb-global-warming/ar-AAS1QPJ,msn.com,20220106T144500Z,English,United States
OAE,alkalinity enhancement,"Oceans Could Be Harnessed to Remove Carbon From Air , Say U . S . Science Leaders",https://news.climate.columbia.edu/2021/12/09/oceans-could-be-harnessed-to-remove-carbon-from-air-say-u-s-science-leaders/,news.climate.columbia.edu,20220104T223000Z,English,United States
OAE,alkalinity enhancement,Coastal News Today | World - The birth of the carbon removal market,https://www.coastalnewstoday.com/post/world-the-birth-of-the-carbon-removal-market,coastalnewstoday.com,20220511T020000Z,English,United States
OAE,alkalinity enhancement,Inside the secretive Silicon Valley startup trying to save the oceans with tech – TechCrunch,https://techcrunch.com/2022/05/02/inside-the-secretive-silicon-valley-startup-trying-to-save-the-oceans-with-tech/,techcrunch.com,20220502T180000Z,English,United States
OAE,alkalinity enhancement,Frontiers | A Code of Conduct Is Imperative for Ocean Carbon Dioxide Removal Research,https://www.frontiersin.org/articles/10.3389/fmars.2022.872800/full,frontiersin.org,20220502T120000Z,English,United States
OAE,alkalinity enhancement,Policy Director - Sustainable Business,https://www.sustainablebusiness.com/job/policy-director-3/,sustainablebusiness.com,20220721T221500Z,English,United States
OAE,alkalinity enhancement,How to Reverse the Ocean - Climate Crisis,https://www.pewtrusts.org/en/trend/archive/winter-2022/how-to-reverse-the-ocean-climate-crisis,pewtrusts.org,20220825T151500Z,English,United States
OAE,alkalinity enhancement,From industry to ocean – deep impact from waste up,https://www.miragenews.com/from-industry-to-ocean-deep-impact-from-waste-up-834494/,miragenews.com,20220810T073000Z,English,United States
OAE,alkalinity enhancement,Can adding minerals to ocean curb climate change ? Elon Musk backs UM grad research – Sun Sentinel,http://www.sun-sentinel.com/news/environment/fl-ne-um-grad-student-grant-carbon-removal-project-20221125-3v6tuatombdjbdesvysbjwsphq-story.html,sun-sentinel.com,20221125T174500Z,English,United States
OAE,alkalinity enhancement,Can adding minerals to ocean curb climate change ? Elon Musk backs UM grad research – Orlando Sentinel,http://www.orlandosentinel.com/news/environment/fl-ne-um-grad-student-grant-carbon-removal-project-20221125-3v6tuatombdjbdesvysbjwsphq-story.html,orlandosentinel.com,20221125T143000Z,English,United States
OAE,alkalinity enhancement,Can adding minerals to ocean curb climate change ? Elon Musk backs UM grad research,https://www.wlrn.org/environment/2022-11-21/can-adding-minerals-to-ocean-curb-climate-change-elon-musk-backs-um-grads-research,wlrn.org,20221121T194500Z,English,United States
OAE,alkalinity enhancement,Nicolas Rivero,https://www.wlrn.org/nicolas-rivero,wlrn.org,20221121T194500Z,English,United States
OAE,alkalinity enhancement,Can adding minerals to ocean curb climate change ? Elon Musk backs UM grad research,https://wusfnews.wusf.usf.edu/environment/2022-11-19/can-adding-minerals-to-ocean-curb-climate-change-elon-musk-backs-um-grad-research,wusfnews.wusf.usf.edu,20221119T133000Z,English,United States
OAE,alkalinity enhancement,How COP27 reached a deal that supports better monitoring of oceans to curb climate crisis,https://phys.org/news/2022-11-cop27-oceans-curb-climate-crisis.html,phys.org,20221117T181500Z,English,United States
OAE,alkalinity enhancement,Can adding minerals to ocean curb climate change ?,https://www.mankatofreepress.com/can-adding-minerals-to-ocean-curb-climate-change/article_ac1e3ce2-65c6-11ed-b528-53e76ac29971.html,mankatofreepress.com,20221116T180000Z,English,United States
OAE,alkalinity enhancement,"Carbon Removal from the Ocean , Explained | World Resources Institute",https://www.wri.org/insights/ocean-based-carbon-dioxide-removal,wri.org,20221116T071500Z,English,United States
OAE,alkalinity enhancement,Towards Responsible and Informed Ocean - Based Carbon Dioxide Removal : Research and Governance Priorities,https://www.wri.org/research/responsible-informed-ocean-based-carbon-dioxide-removal,wri.org,20221116T071500Z,English,United States
OAE,alkalinity enhancement,Can adding minerals to ocean curb climate change ? Elon Musk backs UM grad research,https://www.pressdemocrat.com/article/news/can-adding-minerals-to-ocean-curb-climate-change-elon-musk-backs-um-grads/,pressdemocrat.com,20221114T171500Z,English,United States
OAE,alkalinity enhancement,"The oceans hold enormous carbon dioxide sequestration potential , making them an ally in the climate change fight",https://phys.org/news/2022-12-oceans-enormous-carbon-dioxide-sequestration.html,phys.org,20221221T164500Z,English,United States
OAE,alkalinity enhancement,How Much Carbon Could The Ocean Store ?,https://gcaptain.com/how-much-carbon-could-the-ocean-store/,gcaptain.com,20230201T223000Z,English,United States
OAE,alkalinity enhancement,A sea change for carbon capture,https://www.greenbiz.com/article/sea-change-carbon-capture,greenbiz.com,20230201T183000Z,English,United States
OAE,alkalinity enhancement,The ocean twilight zone could store vast amounts of carbon captured from the atmosphere – but first we need to build a 4D system to track what going on down there,https://www.caledonianrecord.com/opinion/conversation/the-ocean-twilight-zone-could-store-vast-amounts-of-carbon-captured-from-the-atmosphere-but/article_3fe9c634-8135-58bf-94ec-41a48af1e9b6.html,caledonianrecord.com,20230201T151500Z,English,United States
OAE,alkalinity enhancement,What is blue carbon and how can it help fight climate change ?,https://phys.org/news/2023-01-blue-carbon-climate.html,phys.org,20230126T174500Z,English,United States
OAE,alkalinity enhancement,What Is Blue Carbon and How Can It Help Fight Climate Change ?,https://news.climate.columbia.edu/2023/01/25/what-is-blue-carbon-and-how-can-it-help-fight-climate-change/,news.climate.columbia.edu,20230125T154500Z,English,United States
OAE,alkalinity enhancement,"Malformed seashells , ancient sediment provide clues about Earth past",https://www.newswise.com/articles/malformed-seashells-ancient-sediment-provide-clues-about-earth-s-past,newswise.com,20230120T030000Z,English,United States
OAE,alkalinity enhancement,"Malformed seashells , ancient sediment provide clues about Earth past",https://phys.org/news/2023-01-malformed-seashells-ancient-sediment-clues.html,phys.org,20230119T163000Z,English,United States
OAE,alkalinity enhancement,Making waves : Tech firm debuts ocean - based carbon removal protocol,https://www.greenbiz.com/article/making-waves-tech-firm-debuts-ocean-based-carbon-removal-protocol,greenbiz.com,20230228T164500Z,English,United States
OAE,alkalinity enhancement,How Seawater Might Soak Up More Carbon,https://nautil.us/how-seawater-might-soak-up-more-carbon-261446/,nautil.us,20230211T231500Z,English,United States
OAE,alkalinity enhancement,Can giving the ocean an antacid help curb climate change ?,https://news.yahoo.com/giving-ocean-antacid-help-curb-130000608.html,news.yahoo.com,20230211T133000Z,English,United States
OAE,alkalinity enhancement,The Ocean Could Store Vast Amounts Of Captured Carbon –,https://www.marinetechnologynews.com/news/ocean-could-store-amounts-625707,marinetechnologynews.com,20230202T233000Z,English,United States
OAE,alkalinity enhancement,The ocean twilight zone could eventually store vast amounts of carbon captured from the atmosphere,https://phys.org/news/2023-02-ocean-twilight-zone-eventually-vast.html,phys.org,20230202T183000Z,English,United States
OAE,alkalinity enhancement,How Much Carbon Could The Ocean Store ?,https://gcaptain.com/how-much-carbon-could-the-ocean-store/,gcaptain.com,20230201T223000Z,English,United States
OAE,alkalinity enhancement,A sea change for carbon capture,https://www.greenbiz.com/article/sea-change-carbon-capture,greenbiz.com,20230201T183000Z,English,United States
OAE,alkalinity enhancement,The ocean twilight zone could store vast amounts of carbon captured from the atmosphere – but first we need to build a 4D system to track what going on down there,https://www.caledonianrecord.com/opinion/conversation/the-ocean-twilight-zone-could-store-vast-amounts-of-carbon-captured-from-the-atmosphere-but/article_3fe9c634-8135-58bf-94ec-41a48af1e9b6.html,caledonianrecord.com,20230201T151500Z,English,United States
OAE,alkalinity enhancement,How the Ocean Twilight Zone Could Store Vast Amounts of Carbon,https://www.maritime-executive.com/editorials/how-the-ocean-twilight-zone-could-store-vast-amounts-of-carbon,maritime-executive.com,20230320T010000Z,English,United States
OAE,alkalinity enhancement,"Microsoft Taps Ocean Algae to Tackle Carbon Pollution , How ?",https://www.techtimes.com/articles/288843/20230311/microsoft-taps-ocean-algae-tackle-carbon-pollution.htm,techtimes.com,20230311T193000Z,English,United States
OAE,alkalinity enhancement,Microsoft bets on algae to mitigate its growing carbon footprint,https://news.yahoo.com/microsoft-bets-algae-mitigate-growing-011547307.html,news.yahoo.com,20230311T020000Z,English,United States
OAE,alkalinity enhancement,Microsoft bets on algae to mitigate its growing carbon footprint,https://techcrunch.com/2023/03/10/microsoft-bets-on-algae-to-mitigate-its-growing-carbon-footprint/,techcrunch.com,20230311T020000Z,English,United States
OAE,alkalinity enhancement,RUNNING TIDE BECOMES MICROSOFT FIRST OPEN OCEAN - BASED CARBON REMOVAL SUPPLIER,https://www.tmcnet.com/usubmit/-running-tide-becomes-microsofts-first-open-ocean-based-/2023/03/10/9774975.htm,tmcnet.com,20230310T144500Z,English,United States
OAE,alkalinity enhancement,RUNNING TIDE BECOMES MICROSOFT FIRST OPEN OCEAN - BASED CARBON REMOVAL SUPPLIER,https://www.tmcnet.com/usubmit/2023/03/10/9774975.htm,tmcnet.com,20230310T140000Z,English,United States
OAE,alkalinity enhancement,RUNNING TIDE BECOMES MICROSOFT FIRST OPEN OCEAN - BASED CARBON REMOVAL SUPPLIER,https://www.prnewswire.com/news-releases/running-tide-becomes-microsofts-first-open-ocean-based-carbon-removal-supplier-301768338.html,prnewswire.com,20230310T133000Z,English,United States
OAE,alkalinity enhancement,New faculty hit the ground running with carbon capture research,https://news.yale.edu/2023/04/19/new-faculty-hit-ground-running-carbon-capture-research,news.yale.edu,20230419T221500Z,English,United States
OAE,alkalinity enhancement,"Scientists envision an  internet of the ocean , with sensors and autonomous vehicles that can explore the deep sea and monitor its vital signs",https://www.sfgate.com/news/article/the-ocean-could-store-vast-amounts-of-carbon-17853774.php,sfgate.com,20230411T063000Z,English,United States
OAE,alkalinity enhancement,"Scientists envision an  internet of the ocean , with sensors and autonomous vehicles that can explore the deep sea and monitor its vital signs",https://www.chron.com/news/article/the-ocean-could-store-vast-amounts-of-carbon-17853774.php,chron.com,20230411T054500Z,English,United States
OAE,alkalinity enhancement,Mitigating climate change through restoration of coastal ecosystems,https://www.sciencedaily.com/releases/2023/05/230530174257.htm,sciencedaily.com,20230531T051500Z,English,United States
OAE,alkalinity enhancement,Mitigating climate change through restoration,https://www.eurekalert.org/news-releases/990876,eurekalert.org,20230530T214500Z,English,United States
OAE,alkalinity enhancement,Coastal News Today | World - Re - carbonizing the sea : Scientists to start testing a big ocean carbon idea,https://www.coastalnewstoday.com/post/world-re-carbonizing-the-sea-scientists-to-start-testing-a-big-ocean-carbon-idea,coastalnewstoday.com,20230519T054500Z,English,United States
OAE,alkalinity enhancement,The impact of ocean alkalinity enhancement on marine biota offers hope for carbon dioxide removal,https://phys.org/news/2023-06-impact-ocean-alkalinity-marine-biota.html,phys.org,20230627T161500Z,English,United States
OAE,alkalinity enhancement,Ocean - based techniques and their carbon capture potential,https://www.bignewsnetwork.com/news/273865780/ocean-based-techniques-and-their-carbon-capture-potential,bignewsnetwork.com,20230614T234500Z,English,United States
OAE,alkalinity enhancement,Coastal News Today | united states - NOAA Carbon Dioxide Removal Strategy Released : A path forward to meet NOAA climate goals,https://www.coastalnewstoday.com/post/usa-noaa-carbon-dioxide-removal-strategy-released-a-path-forward-to-meet-noaas-climate-goals,coastalnewstoday.com,20230612T073000Z,English,United States
OAE,alkalinity enhancement,Inside CUR8 mission to scale carbon removals and help save the planet,https://thenextweb.com/news/inside-cur8s-mission-scale-carbon-removals-save-the-planet,thenextweb.com,20230607T120000Z,English,United States
OAE,alkalinity enhancement,"Progressive Charlestown : Save the shore , save the planet",https://www.progressive-charlestown.com/2023/06/save-shore-save-planet.html,progressive-charlestown.com,20230602T223000Z,English,United States
OAE,alkalinity enhancement,OSU Grants : Researching marine carbon dioxide removal solutions,https://www.northcoastcitizen.com/news/osu-grants-researching-marine-carbon-dioxide-removal-solutions/article_0b903c66-b016-5e1b-a46c-2126d07150c7.html,northcoastcitizen.com,20230924T080000Z,English,United States
OAE,alkalinity enhancement,Coastal News Today | OR - Oregon State University Scores Federal Carbon Removal Research Grants,https://www.coastalnewstoday.com/post/or-osu-scores-federal-carbon-removal-research-grants,coastalnewstoday.com,20230922T144500Z,English,United States
OAE,alkalinity enhancement,OSU researchers receive federal grants to study marine carbon dioxide removal solutions,https://ktvz.com/news/oregon-northwest/2023/09/18/osu-researchers-receive-federal-grants-to-study-marine-carbon-dioxide-removal-solutions/,ktvz.com,20230919T023000Z,English,United States
OAE,alkalinity enhancement,"EDAC Labs Selected by Frontier for $500 , 000 of Carbon Removal Purchases Carbon Removal via Acid - Base Electrochemistry","https://www.streetinsider.com/PRNewswire/EDAC+Labs+Selected+by+Frontier+for+$500,000+of+Carbon+Removal+Purchases+Carbon+Removal+via+Acid-Base+Electrochemistry/22161062.html",streetinsider.com,20230914T130000Z,English,United States
OAE,alkalinity enhancement,"EDAC Labs Selected by Frontier for $500 , 000 of Carbon Removal Purchases Carbon Removal via Acid - Base Electrochemistry",https://www.prnewswire.com/news-releases/edac-labs-selected-by-frontier-for-500-000-of-carbon-removal-purchases-carbon-removal-via-acid-base-electrochemistry-301927495.html,prnewswire.com,20230914T130000Z,English,United States
OAE,alkalinity enhancement,$4M for UH - led marine carbon removal projects | University of Hawaiʻi System News,https://www.hawaii.edu/news/2023/09/08/4m-marine-carbon-removal/,hawaii.edu,20230909T004500Z,English,United States
OAE,alkalinity enhancement,MIT startup has big plans to pull carbon from air,https://www.miragenews.com/mit-startup-has-big-plans-to-pull-carbon-from-1115502/,miragenews.com,20231101T210000Z,English,United States
OAE,alkalinity enhancement,ICONIQ Impact Announces Up to $50M Collaborative Philanthropy Fund to Help Protect Our Ocean,https://www.streetinsider.com/PRNewswire/ICONIQ+Impact+Announces+Up+to+%2450M+Collaborative+Philanthropy+Fund+to+Help+Protect+Our+Ocean/22517916.html,streetinsider.com,20231212T163000Z,English,United States
OAE,alkalinity enhancement,ICONIQ Impact Announces Up to $50M Collaborative Philanthropy Fund to Help Protect Our Ocean,https://www.streetinsider.com/PRNewswire/ICONIQ+Impact+Announces+Up+to+$50M+Collaborative+Philanthropy+Fund+to+Help+Protect+Our+Ocean/22517916.html,streetinsider.com,20231212T163000Z,English,United States
OAE,alkalinity enhancement,ICONIQ Impact Announces Up to $50M Collaborative Philanthropy Fund to Help Protect Our Ocean,https://www.prnewswire.com/news-releases/iconiq-impact-announces-up-to-50m-collaborative-philanthropy-fund-to-help-protect-our-ocean-302012913.html,prnewswire.com,20231212T163000Z,English,United States
OAE,alkalinity enhancement,Carbon Capture Is Confusing . Here Are 14 Terms to Help Understand It - Governor Wind Energy Coalition,https://governorswindenergycoalition.org/carbon-capture-is-confusing-here-are-14-terms-to-help-understand-it/,governorswindenergycoalition.org,20231208T023000Z,English,United States
OAE,alkalinity enhancement,An Electrifying Approach to Carbon Capture,https://eos.org/articles/an-electrifying-approach-to-carbon-capture,eos.org,20231207T151500Z,English,United States
OAE,alkalinity enhancement,The ocean – a climate champion ? How to boost marine carbon dioxide uptake,https://www.prleap.com/pr/294747/the-ocean-a-climate-champion-how-to-boost-marine-carbon-dioxide-uptake,prleap.com,20240124T084500Z,English,United States
OAE,alkalinity enhancement,"Global Biochar Market Analysis & Outlook 2024 - 2034 , with Profiles of 100+ Biochar Manufacturers and Developers Globally Including Production Capacities and Latest Expansions",https://www.tmcnet.com/usubmit/2024/02/28/9970057.htm,tmcnet.com,20240228T174500Z,English,United States
OAE,alkalinity enhancement,Clean Energy and Climate Solutions Federal Funding Database - February 2024 | Wilson Sonsini Goodrich & Rosati,https://www.jdsupra.com/legalnews/clean-energy-and-climate-solutions-3019128/,jdsupra.com,20240221T204500Z,English,United States
OAE,alkalinity enhancement,Why oceans are the key to saving our planet from climate change,http://www.sfchronicle.com/opinion/openforum/article/oceans-climate-change-18672100.php,sfchronicle.com,20240221T164500Z,English,United States
OAE,alkalinity enhancement,Blazing a trail for blue carbon,https://thefishsite.com/articles/blazing-a-trail-for-blue-carbon-running-tide,thefishsite.com,20240207T113000Z,English,United States
OAE,alkalinity enhancement,"Electrochemical Innovation to Combat Ocean Acidification , CO2 Emissions",https://www.techtimes.com/articles/303109/20240401/electrochemical-innovation-combat-ocean-acidification-co2-emissions.htm,techtimes.com,20240401T060000Z,English,United States
