domain,keyword,title,url,source_domain,seendate,language,country
OAE,marine carbon dioxide removal,Can we tweak marine chemistry to help stave off climate change ?,https://www.greenbiz.com/article/can-we-tweak-marine-chemistry-help-stave-climate-change,greenbiz.com,20190327T100000Z,English,United States
OAE,marine carbon dioxide removal,Can we tweak marine chemistry to help stave off climate change ?,https://www.theintelligencer.com/news/article/Can-we-tweak-marine-chemistry-to-help-stave-off-13681419.php,theintelligencer.com,20190319T053000Z,English,United States
OAE,marine carbon dioxide removal,GUEST COMMENTARY : Can we tweak ocean to hold back climate change ?,https://www.columbiamissourian.com/opinion/guest_commentaries/guest-commentary-can-we-tweak-ocean-to-hold-back-climate/article_7c183d3e-450b-11e9-a295-63edf616d1ce.html,columbiamissourian.com,20190313T143000Z,English,United States
OAE,marine carbon dioxide removal,Can we tweak marine chemistry to help stave off climate change ?,http://www.terradaily.com/reports/Can_we_tweak_marine_chemistry_to_help_stave_off_climate_change_999.html,terradaily.com,20190313T090000Z,English,United States
OAE,marine carbon dioxide removal,Can we tweak marine chemistry to help stave off climate change ?,https://phys.org/news/2019-03-tweak-marine-chemistry-stave-climate.html,phys.org,20190312T140000Z,English,United States
OAE,marine carbon dioxide removal,Can we tweak marine chemistry to help stave off climate change ?,https://wtop.com/national/2019/03/can-we-tweak-marine-chemistry-to-help-stave-off-climate-change/,wtop.com,20190312T123000Z,English,United States
OAE,marine carbon dioxide removal,Can we tweak marine chemistry to help stave off climate change ?,https://www.sfgate.com/news/article/Can-we-tweak-marine-chemistry-to-help-stave-off-13681419.php,sfgate.com,20190312T121500Z,English,United States
OAE,marine carbon dioxide removal,Can we tweak marine chemistry to help stave off climate change ?,https://www.chron.com/news/article/Can-we-tweak-marine-chemistry-to-help-stave-off-13681419.php,chron.com,20190312T120000Z,English,United States
OAE,marine carbon dioxide removal,Can we tweak marine chemistry to help stave off climate change ?,https://www.sfchronicle.com/news/article/Can-we-tweak-marine-chemistry-to-help-stave-off-13681419.php,sfchronicle.com,20190312T113000Z,English,United States
OAE,marine carbon dioxide removal,Coastal News Today | WORLD - The Biggest Carbon Sink of All,https://www.coastalnewstoday.com/post/world-the-biggest-carbon-sink-of-all,coastalnewstoday.com,20220523T094500Z,English,United States
OAE,marine carbon dioxide removal,Clearyst° Signs Carbon Removal Agreement with Lillianah Technologies,https://www.prnewswire.com/news-releases/clearyst-signs-carbon-removal-agreement-with-lillianah-technologies-301864609.html,prnewswire.com,20230627T150000Z,English,United States
OAE,marine carbon dioxide removal,Clearyst° Signs Carbon Removal Agreement with Lillianah Technologies,https://www.streetinsider.com/PRNewswire/Clearyst%C2%B0+Signs+Carbon+Removal+Agreement+with+Lillianah+Technologies/21845311.html,streetinsider.com,20230627T150000Z,English,United States
OAE,marine carbon dioxide removal,Coastal News Today | united states - NOAA Carbon Dioxide Removal Strategy Released : A path forward to meet NOAA climate goals,https://www.coastalnewstoday.com/post/usa-noaa-carbon-dioxide-removal-strategy-released-a-path-forward-to-meet-noaas-climate-goals,coastalnewstoday.com,20230612T073000Z,English,United States
OAE,marine carbon dioxide removal,"Coastal News Today | World - New research uncovers potential benefits , consequences of ocean iron fertilization",https://www.coastalnewstoday.com/post/world-new-research-uncovers-potential-benefits-consequences-of-ocean-iron-fertilization,coastalnewstoday.com,20230712T053000Z,English,United States
OAE,marine carbon dioxide removal,OSU Grants : Researching marine carbon dioxide removal solutions,https://www.northcoastcitizen.com/news/osu-grants-researching-marine-carbon-dioxide-removal-solutions/article_0b903c66-b016-5e1b-a46c-2126d07150c7.html,northcoastcitizen.com,20230924T080000Z,English,United States
OAE,marine carbon dioxide removal,Coastal News Today | OR - Oregon State University Scores Federal Carbon Removal Research Grants,https://www.coastalnewstoday.com/post/or-osu-scores-federal-carbon-removal-research-grants,coastalnewstoday.com,20230922T144500Z,English,United States
OAE,marine carbon dioxide removal,OSU researchers receive federal grants to study marine carbon dioxide removal solutions,https://ktvz.com/news/oregon-northwest/2023/09/18/osu-researchers-receive-federal-grants-to-study-marine-carbon-dioxide-removal-solutions/,ktvz.com,20230919T023000Z,English,United States
OAE,marine carbon dioxide removal,Our Evolving Understanding of Biological Carbon Export,https://eos.org/science-updates/our-evolving-understanding-of-biological-carbon-export,eos.org,20230912T153000Z,English,United States
OAE,marine carbon dioxide removal,ONC Deep Sea Observatory Supporting Ocean - Based CO2,https://www.marinetechnologynews.com/news/observatory-supporting-ocean-based-630994,marinetechnologynews.com,20230911T183000Z,English,United States
OAE,marine carbon dioxide removal,Coastal News Today | WA - New system uses seawater to capture and store CO2,https://www.coastalnewstoday.com/post/wa-new-system-uses-seawater-to-capture-and-store-co2,coastalnewstoday.com,20230911T070000Z,English,United States
OAE,marine carbon dioxide removal,Targeted News Service,https://targetednews.com/pr_disp.php?pr_id=8260486,targetednews.com,20230909T171500Z,English,United States
OAE,marine carbon dioxide removal,$4M for UH - led marine carbon removal projects | University of Hawaiʻi System News,https://www.hawaii.edu/news/2023/09/08/4m-marine-carbon-removal/,hawaii.edu,20230909T004500Z,English,United States
OAE,marine carbon dioxide removal,Top Government Contracts Won by Advanced Research Projects Agency – Energy ( ARPA – E ) in 2023,https://executivebiz.com/articles/top-government-contracts-won-by-advanced-research-projects-agency-energy-arpa-e/,executivebiz.com,20230901T030000Z,English,United States
OAE,marine carbon dioxide removal,The Ocean Is Our Best Chance To Survive Climate Change,https://time.com/6341040/ocean-climate-change-cop-28/,time.com,20231130T191500Z,English,United States
OAE,marine carbon dioxide removal,Deploying Sensor Nets To Measure Ocean CO2 And pH From The Surface To The Depths,https://www.eurasiareview.com/07112023-deploying-sensor-nets-to-measure-ocean-co2-and-ph-from-the-surface-to-the-depths/,eurasiareview.com,20231107T001500Z,English,United States
OAE,marine carbon dioxide removal,Can Ocean Carbon Removal Help the Climate ? Federal Scientists Want to Find Out,https://www.scientificamerican.com/article/can-ocean-carbon-removal-help-the-climate-federal-scientists-want-to-find/,scientificamerican.com,20240228T184500Z,English,United States
OAE,marine carbon dioxide removal,Gulf of Mexico seagrass is retreating as sea levels rise,https://www.futurity.org/gulf-of-mexico-seagrass-sea-level-rise-3185592/,futurity.org,20240227T213000Z,English,United States
OAE,marine carbon dioxide removal,Why oceans are the key to saving our planet from climate change,http://www.sfchronicle.com/opinion/openforum/article/oceans-climate-change-18672100.php,sfchronicle.com,20240221T164500Z,English,United States
OAE,marine carbon dioxide removal,Can ocean energy power carbon removal ?,https://techxplore.com/news/2024-02-ocean-energy-power-carbon.html,techxplore.com,20240202T200000Z,English,United States
OAE,marine carbon dioxide removal,Can Ocean Energy Power Carbon Removal ?,https://cleantechnica.com/2024/02/01/can-ocean-energy-power-carbon-removal/,cleantechnica.com,20240202T010000Z,English,United States
OAE,marine carbon dioxide removal,Tenure - Track / Tenured Faculty Positions job with School of Sustainable Energy and Resources at Nanjing University,https://www.nature.com/naturecareers/job/12817420/tenure-track-tenured-faculty-positions/,nature.com,20240429T081500Z,English,United States
OAE,marine carbon dioxide removal,Apply To Join the Ocean Reporting Network ( ORN ),https://pulitzercenter.org/grants-fellowships/opportunities-journalists/apply-join-ocean-reporting-network-orn,pulitzercenter.org,20240424T224500Z,English,United States
OAE,marine carbon dioxide removal,Skeptical Science New Research for Week # 16 2024,https://skepticalscience.com/new_research_2024_16.html,skepticalscience.com,20240418T104500Z,English,United States
OAE,marine carbon dioxide removal,Company eyes Port Angeles for carbon capture pilot project,https://www.sequimgazette.com/business/company-eyes-port-angeles-for-carbon-capture-pilot-project/,sequimgazette.com,20240411T110000Z,English,United States
OAE,marine carbon dioxide removal,"NOAA taps into $2 . 7M federal funding to help track ocean , climate changes",https://www.upi.com/Top_News/US/2024/04/10/NOAA-27-million-funding-Argo-ocean-measurements/7141712773139/,upi.com,20240410T191500Z,English,United States
OAE,marine carbon dioxide removal,Best Methods for Ocean - Based Carbon Removal Monitoring ?,https://www.miragenews.com/best-methods-for-ocean-based-carbon-removal-1209590/,miragenews.com,20240405T111500Z,English,United States
OAE,marine carbon dioxide removal,Skeptical Science New Research for Week # 31 2024,https://skepticalscience.com/new_research_2024_31.html,skepticalscience.com,20240801T111500Z,English,United States
OAE,marine carbon dioxide removal,Ocean Science Missions And Projects,https://www.miragenews.com/ocean-science-missions-and-projects-1318593/,miragenews.com,20240917T194500Z,English,United States
OAE,marine carbon dioxide removal,The case for adding iron to the ocean for carbon dioxide removal,https://phys.org/news/2024-09-case-adding-iron-ocean-carbon.html,phys.org,20240909T193000Z,English,United States
OAE,marine carbon dioxide removal,Research Vessel Resilience Charts Course to the Fu,https://www.newswise.com/articles/research-vessel-resilience-charts-course-to-the-future-of-marine-research/?ad2f=1&aid=816545,newswise.com,20240906T004500Z,English,United States
OAE,marine carbon dioxide removal,Research Vessel Resilience Charts Course to the Future of Marine Research,https://www.newswise.com/doescience/research-vessel-resilience-charts-course-to-the-future-of-marine-research/?article_id=816545,newswise.com,20240906T004500Z,English,United States
OAE,marine carbon dioxide removal,Could adding iron to the ocean solve some climate change problems ? | University of Hawaiʻi System News,https://www.hawaii.edu/news/2024/10/08/adding-iron-to-ocean/,hawaii.edu,20241009T033000Z,English,United States
OAE,marine carbon dioxide removal,Skeptical Science New Research for Week # 40 2024,https://skepticalscience.com/new_research_2024_40.html,skepticalscience.com,20241003T091500Z,English,United States
OAE,marine carbon dioxide removal,Tenure - Track / Tenured Faculty Positions job with School of Sustainable Energy and Resources at Nanjing University,https://www.nature.com/naturecareers/job/12831870/tenure-track-tenured-faculty-positions/,nature.com,20241106T090000Z,English,United States
OAE,marine carbon dioxide removal,Human activity disrupting ocean CO2 absorption : study,https://www.terradaily.com/afp/250328232547.ofuo4zt9.html,terradaily.com,20250329T033000Z,English,United States
OAE,marine carbon dioxide removal,Skeptical Science New Research for Week # 13 2025,https://skepticalscience.com/new_research_2025_13.html,skepticalscience.com,20250327T081500Z,English,United States
OAE,marine carbon dioxide removal,A leg up for STEM majors,https://news.mit.edu/2025/leg-stem-majors-political-science-0306,news.mit.edu,20250306T203000Z,English,United States
