domain,keyword,title,url,source_domain,seendate,language,country
OAE,marine carbon removal,Can we tweak marine chemistry to help stave off climate change ?,https://www.greenbiz.com/article/can-we-tweak-marine-chemistry-help-stave-climate-change,greenbiz.com,20190327T100000Z,English,United States
OAE,marine carbon removal,Can we tweak marine chemistry to help stave off climate change ?,https://www.theintelligencer.com/news/article/Can-we-tweak-marine-chemistry-to-help-stave-off-13681419.php,theintelligencer.com,20190319T053000Z,English,United States
OAE,marine carbon removal,GUEST COMMENTARY : Can we tweak ocean to hold back climate change ?,https://www.columbiamissourian.com/opinion/guest_commentaries/guest-commentary-can-we-tweak-ocean-to-hold-back-climate/article_7c183d3e-450b-11e9-a295-63edf616d1ce.html,columbiamissourian.com,20190313T143000Z,English,United States
OAE,marine carbon removal,Can we tweak marine chemistry to help stave off climate change ?,http://www.terradaily.com/reports/Can_we_tweak_marine_chemistry_to_help_stave_off_climate_change_999.html,terradaily.com,20190313T090000Z,English,United States
OAE,marine carbon removal,Can we tweak marine chemistry to help stave off climate change ?,https://phys.org/news/2019-03-tweak-marine-chemistry-stave-climate.html,phys.org,20190312T140000Z,English,United States
OAE,marine carbon removal,Can we tweak marine chemistry to help stave off climate change ?,https://wtop.com/national/2019/03/can-we-tweak-marine-chemistry-to-help-stave-off-climate-change/,wtop.com,20190312T123000Z,English,United States
OAE,marine carbon removal,Can we tweak marine chemistry to help stave off climate change ?,https://www.sfgate.com/news/article/Can-we-tweak-marine-chemistry-to-help-stave-off-13681419.php,sfgate.com,20190312T121500Z,English,United States
OAE,marine carbon removal,Can we tweak marine chemistry to help stave off climate change ?,https://www.chron.com/news/article/Can-we-tweak-marine-chemistry-to-help-stave-off-13681419.php,chron.com,20190312T120000Z,English,United States
OAE,marine carbon removal,Can we tweak marine chemistry to help stave off climate change ?,https://www.sfchronicle.com/news/article/Can-we-tweak-marine-chemistry-to-help-stave-off-13681419.php,sfchronicle.com,20190312T113000Z,English,United States
OAE,marine carbon removal,Carbon180 Unveils Carbon Removal Policy Roadmap for 2021,https://www.globenewswire.com/en/news-release/2021/05/13/2228898/0/en/Carbon180-Unveils-Carbon-Removal-Policy-Roadmap-for-2021-and-Beyond.html,globenewswire.com,20210517T023000Z,English,United States
OAE,marine carbon removal,"Forget  net zero  emissions target U . S . must get to  net negative  ASAP , nonprofit argues",https://news.yahoo.com/forget-net-zero-emissions-target-110737422.html,news.yahoo.com,20210514T113000Z,English,United States
