domain,keyword,title,url,source_domain,seendate,language,country
OAE,ocean-based carbon removal,Ocean Visions Product Aims to Accelerate Development and Testing of Macroalgae - Based Carbon Sequestration,https://brazilbusiness.einnews.com/pr_news/541359475/ocean-visions-product-aims-to-accelerate-development-and-testing-of-macroalgae-based-carbon-sequestration,brazilbusiness.einnews.com,20210518T083000Z,English,United States
OAE,ocean-based carbon removal,UW oceanographer will study how glacial particles remove CO2 from atmosphere,https://www.pressreleasepoint.com/uw-oceanographer-will-study-how-glacial-particles-remove-co2-atmosphere,pressreleasepoint.com,20211030T233000Z,English,United States
OAE,ocean-based carbon removal,UW oceanographer will study how glacial particles remove CO2 from atmosphere,https://www.miragenews.com/uw-oceanographer-will-study-how-glacial-663030/,miragenews.com,20211029T210000Z,English,United States
OAE,ocean-based carbon removal,UW oceanographer will study how glacial particles remove CO2 from atmosphere,https://www.washington.edu/news/2021/10/29/glacial_particles_co2/,washington.edu,20211029T204500Z,English,United States
OAE,ocean-based carbon removal,"Oceans could be harnessed to remove carbon from air , say US science leaders",https://phys.org/news/2021-12-oceans-harnessed-carbon-air-science.html,phys.org,20211210T134500Z,English,United States
OAE,ocean-based carbon removal,Scientists say humans can move CO2 from air to oceans - Governor Wind Energy Coalition,https://governorswindenergycoalition.org/scientists-say-humans-can-move-co2-from-air-to-oceans/,governorswindenergycoalition.org,20211210T093000Z,English,United States
OAE,ocean-based carbon removal,Moving CO2 from Air to Oceans May Be Necessary to Slow Warming,https://www.scientificamerican.com/article/moving-co2-from-air-to-oceans-may-be-necessary-to-slow-warming/,scientificamerican.com,20211209T203000Z,English,United States
OAE,ocean-based carbon removal,Scientists say humans can move CO2 from air to oceans,https://www.eenews.net/articles/scientists-say-humans-can-move-co2-from-air-to-oceans/,eenews.net,20211209T143000Z,English,United States
OAE,ocean-based carbon removal,"Democrat climate provisions meet the  Byrd bath , as Manchin targets the methane fee",https://www.msn.com/en-us/news/politics/democrats-climate-provisions-meet-the-byrd-bath-as-manchin-battles-the-methane-fee/ar-AAREcbZ,msn.com,20211209T140000Z,English,United States
OAE,ocean-based carbon removal,"Democrat climate provisions meet the  Byrd bath , as Manchin targets the methane fee",https://www.washingtonpost.com/politics/2021/12/09/democrats-climate-provisions-meet-byrd-bath-manchin-battles-methane-fee/,washingtonpost.com,20211209T134500Z,English,United States
OAE,ocean-based carbon removal,"Skeptical Science New Research for Week # 49 , 2021",https://skepticalscience.com/new_research_2021_49.html,skepticalscience.com,20211209T060000Z,English,United States
OAE,ocean-based carbon removal,"As climate change escalates , U . S . experts endorse research on storing carbon in the ocean",https://www.washingtonpost.com/climate-solutions/2021/12/08/climate-change-ocean-carbon-storage/,washingtonpost.com,20211208T164500Z,English,United States
OAE,ocean-based carbon removal,Guidance for Ocean - Based Carbon Dioxide Removal Project Report,https://www.aspeninstitute.org/publications/ocean-carbon-dioxide-removal/,aspeninstitute.org,20211208T044500Z,English,United States
OAE,ocean-based carbon removal,Coastal News Today | World -  You Need a Yes on All of Those Level Experts Discuss the Future of Ocean - Based Carbon Removal Research,https://www.coastalnewstoday.com/post/world-you-need-a-yes-on-all-of-those-levels-experts-discuss-the-future-of-ocean-based-carbon-removal-research,coastalnewstoday.com,20220215T054500Z,English,United States
OAE,ocean-based carbon removal,Economically and environmentally things wont look up until we start looking down !,https://energycentral.com/c/ec/economically-and-environmentally-things-won%E2%80%99t-look-until-we-start-looking-down,energycentral.com,20220209T193000Z,English,United States
OAE,ocean-based carbon removal,US Carbon Removal Technology & Initiatives | World Resources Institute,https://www.wri.org/insights/us-carbon-removal,wri.org,20220208T190000Z,English,United States
OAE,ocean-based carbon removal,What to know about 5 big plans for U . S . carbon removal,https://www.greenbiz.com/article/what-know-about-5-big-plans-us-carbon-removal,greenbiz.com,20220326T193000Z,English,United States
OAE,ocean-based carbon removal,Carbon Removal & Climate Goals | World Resources Institute,https://www.wri.org/insights/carbon-removal-countries-climate-goals,wri.org,20220317T204500Z,English,United States
OAE,ocean-based carbon removal,IPCC words matter and so does the ocean,https://thehill.com/opinion/energy-environment/596407-ipccs-words-matter-and-so-does-the-ocean,thehill.com,20220302T163000Z,English,United States
OAE,ocean-based carbon removal,Department of Energy Announces Significant Investment in Direct Air Capture | Brownstein Hyatt Farber Schreck,https://www.jdsupra.com/legalnews/department-of-energy-announces-3583842/,jdsupra.com,20220526T181500Z,English,United States
OAE,ocean-based carbon removal,Department Of Energy Announces Significant Investment In Direct Air Capture - Climate Change,https://www.mondaq.com/unitedstates/climate-change/1195942/department-of-energy-announces-significant-investment-in-direct-air-capture,mondaq.com,20220525T110000Z,English,United States
OAE,ocean-based carbon removal,Coastal News Today | World - The availability of limestone and other raw materials for ocean alkalinity enhancement,https://www.coastalnewstoday.com/post/world-the-availability-of-limestone-and-other-raw-materials-for-ocean-alkalinity-enhancement,coastalnewstoday.com,20220518T153000Z,English,United States
OAE,ocean-based carbon removal,Microbial Responses to Climate Change in Three Major Ecosystems,https://www.azocleantech.com/article.aspx?ArticleID=1533,azocleantech.com,20220511T110000Z,English,United States
OAE,ocean-based carbon removal,The climate solution that can also restore our seas,https://www.msn.com/en-us/news/us/the-climate-solution-that-can-also-restore-our-seas/ar-AAX7Aqg,msn.com,20220510T201500Z,English,United States
OAE,ocean-based carbon removal,Frontiers | A Code of Conduct Is Imperative for Ocean Carbon Dioxide Removal Research,https://www.frontiersin.org/articles/10.3389/fmars.2022.872800/full,frontiersin.org,20220502T120000Z,English,United States
OAE,ocean-based carbon removal,Cultivating seaweed for carbon removal in California : Barriers and recommendations,https://phys.org/news/2022-06-cultivating-seaweed-carbon-california-barriers.html,phys.org,20220630T140000Z,English,United States
OAE,ocean-based carbon removal,"The ocean is a critical solution to climate change , groups tell Biden",https://www.washingtonpost.com/politics/2022/06/16/exclusive-ocean-is-critical-solution-climate-change-groups-tell-biden/,washingtonpost.com,20220616T131500Z,English,United States
OAE,ocean-based carbon removal,Integrating the Ocean Into Climate Action - The Aspen Institute,https://www.aspeninstitute.org/blog-posts/integrating-ocean-climate-action/,aspeninstitute.org,20220608T160000Z,English,United States
OAE,ocean-based carbon removal,Meet Canada most investable cleantech ventures - the 2022 Foresight 50,https://www.streetinsider.com/Globe+Newswire/Meet+Canada%E2%80%99s+most+investable+cleantech+ventures+-+the+2022+Foresight+50/20922097.html,streetinsider.com,20221201T203000Z,English,United States
OAE,ocean-based carbon removal,"To Prevent the Collapse of Biodiversity , the World Needs a New Planetary Politics",https://carnegieendowment.org/2022/11/28/to-prevent-collapse-of-biodiversity-world-needs-new-planetary-politics-pub-88473,carnegieendowment.org,20221128T204500Z,English,United States
OAE,ocean-based carbon removal,How COP27 reached a deal that supports better monitoring of oceans to curb climate crisis,https://phys.org/news/2022-11-cop27-oceans-curb-climate-crisis.html,phys.org,20221117T181500Z,English,United States
OAE,ocean-based carbon removal,"Carbon Removal from the Ocean , Explained | World Resources Institute",https://www.wri.org/insights/ocean-based-carbon-dioxide-removal,wri.org,20221116T071500Z,English,United States
