domain,keyword,title,url,source_domain,seendate,language,country
OAE,ocean alkalinity,16,http://www.ruthfullyyours.com/2017/01/16/,ruthfullyyours.com,20170116T154500Z,English,United States
OAE,ocean alkalinity,Peter Smith : Of Hot Goblins and Hobgoblins,http://www.ruthfullyyours.com/2017/01/16/peter-smith-of-hot-goblins-and-hobgoblins/,ruthfullyyours.com,20170116T154500Z,English,United States
OAE,ocean alkalinity,Solar Dams and Their Ancillary Benefits,http://www.theenergycollective.com/jim-baird/2395511/solar-dams-and-their-ancillary-benefits,theenergycollective.com,20170103T163000Z,English,United States
OAE,ocean alkalinity,Climate Science Is Changing from Alarmism to Realism,https://townhall.com/columnists/vijayjayaraj/2017/10/27/climate-science-is-changing-from-alarmism-to-realism-n2400969,townhall.com,20171027T230000Z,English,United States
OAE,ocean alkalinity,Far,http://livenewscentral.com/2017/11/30/far-fetched-fixes-for-climate-change/,livenewscentral.com,20171130T154500Z,English,United States
OAE,ocean alkalinity,The far,http://www.cnn.com/2017/11/29/world/climate-change-geoengineering/,cnn.com,20171129T184500Z,English,United States
OAE,ocean alkalinity,Greenhouse gases must be scrubbed from the air,https://www.economist.com/news/briefing/21731386-cutting-emissions-will-not-be-enough-keep-global-warming-check-greenhouse-gases-must-be,economist.com,20171116T181500Z,English,United States
OAE,ocean alkalinity,Deflating the Fossil Bubble,https://www.environmentguru.com/pages/elements/element.aspx?id=6635348,environmentguru.com,20180606T001500Z,English,United States
OAE,ocean alkalinity,Greenhouse gases must be scrubbed from the air,https://www.economist.com/briefing/2017/11/16/greenhouse-gases-must-be-scrubbed-from-the-air,economist.com,20180603T070000Z,English,United States
OAE,ocean alkalinity,Letters : Our climate,https://tdn.com/opinion/letters/letters-our-climate/article_a84e32ab-a517-5855-bcc8-e9d347d36a15.html,tdn.com,20181013T073000Z,English,United States
OAE,ocean alkalinity,"New research , November 26 - December 2 , 2018",https://skepticalscience.com/new_research_20181126.html,skepticalscience.com,20181207T174500Z,English,United States
OAE,ocean alkalinity,"Climate engineering needs to look at the big picture , says researcher",https://phys.org/news/2019-04-climate-big-picture.html,phys.org,20190416T220000Z,English,United States
OAE,ocean alkalinity,Potential effects of large - scale projects designed to offset Earth changing climate,https://www.sciencedaily.com/releases/2019/04/190416145219.htm,sciencedaily.com,20190416T203000Z,English,United States
OAE,ocean alkalinity,"Climate engineering needs to look at the big picture , says researcher",https://www.eurekalert.org/pub_releases/2019-04/cu-cen041619.php,eurekalert.org,20190416T191500Z,English,United States
OAE,ocean alkalinity,Ocean temperature study may solve low atmospheric CO2 mystery,https://www.thenewsguard.com/news/ocean-temperature-study-may-solve-low-atmospheric-co-mystery/article_9d9ab80c-9384-11e9-893b-e7cc382ef4b7.html,thenewsguard.com,20190622T074500Z,English,United States
OAE,ocean alkalinity,Study may solve long - standing mystery of why atmospheric CO2 was lower during ice ages,https://theworldlink.com/lifestyles/go/study-may-solve-long-standing-mystery-of-why-atmospheric-co/article_fc07aba6-5b09-5990-af7b-3ec73ddd0192.html,theworldlink.com,20190616T200000Z,English,United States
OAE,ocean alkalinity,Solving the mystery of why atmospheric carbon dioxide was lower during ice ages,https://phys.org/news/2019-06-mystery-atmospheric-carbon-dioxide-ice.html,phys.org,20190613T123000Z,English,United States
OAE,ocean alkalinity,OSU study may solve mystery of low CO2 during ice ages,https://www.ktvz.com/news/osu-study-may-solve-mystery-of-low-co2-during-ice-ages/1085711308,ktvz.com,20190612T191500Z,English,United States
OAE,ocean alkalinity,Air - sea disequilibrium enhances ocean carbon storage during glacial periods,https://advances.sciencemag.org/content/5/6/eaaw4981.full,advances.sciencemag.org,20190612T190000Z,English,United States
OAE,ocean alkalinity,The story behind these ubiquitous round worms,https://www.juneauempire.com/news/the-story-behind-these-ubiquitous-round-worms/,juneauempire.com,20191016T153000Z,English,United States
OAE,ocean alkalinity,Potential for large - scale CO 2 removal via enhanced rock weathering with croplands,https://www.nature.com/articles/s41586-020-2448-9,nature.com,20200708T191500Z,English,United States
OAE,ocean alkalinity,Public perceptions of carbon dioxide removal in the United States and the United Kingdom,https://www.nature.com/articles/s41558-020-0823-z,nature.com,20200706T154500Z,English,United States
OAE,ocean alkalinity,Silicon Valley billionaires want to geoengineer the world oceans,https://www.newscientist.com/article/mg24732980-500-silicon-valley-billionaires-want-to-geoengineer-the-worlds-oceans/,newscientist.com,20200901T161500Z,English,United States
OAE,ocean alkalinity,We Have Just One Decade to Turn Back the Worst of Climate Change : Here How Philanthropy Can Lead ( Opinion ),https://www.philanthropy.com/article/We-Have-Just-One-Decade-to/249258,philanthropy.com,20200806T144500Z,English,United States
OAE,ocean alkalinity,Silicon Valley billionaires want to geoengineer the world oceans,https://www.newscientist.com/article/mg24732980-500-silicon-valley-billionaires-want-to-geoengineer-the-worlds-oceans/,newscientist.com,20200901T161500Z,English,United States
OAE,ocean alkalinity,Capturing and Storing CO2 while Producing Hydrogen,https://www.azocleantech.com/article.aspx?ArticleID=1263,azocleantech.com,20210628T110000Z,English,United States
OAE,ocean alkalinity,"The Lowdown on CCS : Part 1 , Carbon Capture",https://energycentral.com/c/ec/lowdown-ccs-part-1-carbon-capture,energycentral.com,20210628T004500Z,English,United States
OAE,ocean alkalinity,Why We Shouldnt Buy Into the Idea of Engineering Our Way Out of the Climate Crisis,https://www.onegreenplanet.org/environment/why-we-shouldnt-buy-into-the-idea-of-engineering-our-way-out-of-the-climate-crisis/,onegreenplanet.org,20210610T170000Z,English,United States
OAE,ocean alkalinity,"Monthly Review | Notes from the Editors , October 2021",https://monthlyreview.org/2021/10/01/mr-073-05-2021-09_0/,monthlyreview.org,20211001T044500Z,English,United States
OAE,ocean alkalinity,"Climate Change Impacts Require Action Not Only at a National Level but also at a Regional and Global Level , ECLAC Stresses | News | Economic Commission for Latin America and the Caribbean",https://www.cepal.org/en/news/climate-change-impacts-require-action-not-only-national-level-also-regional-and-global-level,cepal.org,20210925T050000Z,English,United States
OAE,ocean alkalinity,"To Harness the Power of the Ocean To Fight Climate Change , the Biden Administration Needs a Plan",https://www.americanprogress.org/issues/green/news/2021/09/10/503566/harness-power-ocean-fight-climate-change-biden-administration-needs-plan/,americanprogress.org,20210910T150000Z,English,United States
OAE,ocean alkalinity,"Monthly Review | Advance Release ! The Leaked IPCC Reports : Notes from the Editors , October 2021",https://monthlyreview.org/2021/09/08/mr-073-05-2021-09_0/,monthlyreview.org,20210908T144500Z,English,United States
OAE,ocean alkalinity,2 : 00PM Water Cooler 12 / 23 / 2021 | naked capitalism,https://www.nakedcapitalism.com/2021/12/200pm-water-cooler-12-23-2021.html,nakedcapitalism.com,20211223T194500Z,English,United States
OAE,ocean alkalinity,Could crushed rocks absorb enough carbon to curb global warming ?,https://www.nationalgeographic.com/environment/article/could-crushed-rocks-absorb-enough-carbon-to-curb-global-warming,nationalgeographic.com,20211221T173000Z,English,United States
OAE,ocean alkalinity,"Skeptical Science New Research for Week # 50 , 2021",https://skepticalscience.com/new_research_2021_50.html,skepticalscience.com,20211216T083000Z,English,United States
OAE,ocean alkalinity,Geoengineering First It Was About Messing With The Atmosphere . Now It About Hacking The Ocean .,https://cleantechnica.com/2021/12/12/geoengineering-first-it-was-about-messing-with-the-atmosphere-now-its-about-hacking-the-ocean/,cleantechnica.com,20211213T044500Z,English,United States
OAE,ocean alkalinity,"Coastal News Today | World - Oceans Could Be Harnessed to Remove Carbon From Air , Say US Science Leaders",https://www.coastalnewstoday.com/post/world-oceans-could-be-harnessed-to-remove-carbon-from-air-say-us-science-leaders,coastalnewstoday.com,20211213T031500Z,English,United States
OAE,ocean alkalinity,"Oceans could be harnessed to remove carbon from air , say US science leaders",https://phys.org/news/2021-12-oceans-harnessed-carbon-air-science.html,phys.org,20211210T134500Z,English,United States
