domain,keyword,title,url,source_domain,seendate,language,country
OAE,ocean alkalinization,Moonshots ? Earth is the Most in Need of a Shot,http://www.theenergycollective.com/jim-baird/2396597/moonshots-earth-is-in-the-most-in-need-of-a-shot,theenergycollective.com,20170119T180000Z,English,United States
OAE,ocean alkalinization,Bruce Melton : Tree planting : A diminishing part of the climate solution,http://www.theragblog.com/bruce-melton-tree-planting-a-diminishing-part-of-the-climate-solution/,theragblog.com,20190821T020000Z,English,United States
OAE,ocean alkalinization,Artificial Ocean Alkalinization Could Offset the Acidification of the Great Barrier Reef,https://www.azocleantech.com/news.aspx?newsID=29585,azocleantech.com,20210609T173000Z,English,United States
OAE,ocean alkalinization,Environmental News Network - Projected Acidification of the Great Barrier Reef Could Be Offset by Ten Years,https://www.enn.com/articles/68003-projected-acidification-of-the-great-barrier-reef-could-be-offset-by-ten-years,enn.com,20210609T164500Z,English,United States
OAE,ocean alkalinization,Ships releasing alkalinizing agents could buy time for Great Barrier Reef,https://newatlas.com/environment/acidification-great-barrier-reef-shipping/,newatlas.com,20210609T034500Z,English,United States
OAE,ocean alkalinization,Projected acidification of the Great Barrier Reef could be offset by ten years,https://phys.org/news/2021-06-acidification-great-barrier-reef-offset.html,phys.org,20210608T110000Z,English,United States
OAE,ocean alkalinization,Projected acidification of Great Barrier Reef could be offset by ten years,https://www.miragenews.com/projected-acidification-of-great-barrier-reef-573640/,miragenews.com,20210608T094500Z,English,United States
OAE,ocean alkalinization,Projected acidification of the Great Barrier Reef could be offset by ten years,https://www.eurekalert.org/pub_releases/2021-06/ip-pao060421.php,eurekalert.org,20210608T091500Z,English,United States
OAE,ocean alkalinization,The impact of ocean alkalinity enhancement on marine biota offers hope for carbon dioxide removal,https://phys.org/news/2023-06-impact-ocean-alkalinity-marine-biota.html,phys.org,20230627T161500Z,English,United States
OAE,ocean alkalinization,Carbon Dioxide Removal Market | Latest Trends and Future Opportunities Analysis to 2031,https://www.sandiegosun.com/news/273924512/carbon-dioxide-removal-market--latest-trends-and-future-opportunities-analysis-to-2031,sandiegosun.com,20230808T003000Z,English,United States
OAE,ocean alkalinization,OSU Grants : Researching marine carbon dioxide removal solutions,https://www.northcoastcitizen.com/news/osu-grants-researching-marine-carbon-dioxide-removal-solutions/article_0b903c66-b016-5e1b-a46c-2126d07150c7.html,northcoastcitizen.com,20230924T080000Z,English,United States
OAE,ocean alkalinization,Coastal News Today | OR - Oregon State University Scores Federal Carbon Removal Research Grants,https://www.coastalnewstoday.com/post/or-osu-scores-federal-carbon-removal-research-grants,coastalnewstoday.com,20230922T144500Z,English,United States
OAE,ocean alkalinization,OSU researchers receive federal grants to study marine carbon dioxide removal solutions,https://ktvz.com/news/oregon-northwest/2023/09/18/osu-researchers-receive-federal-grants-to-study-marine-carbon-dioxide-removal-solutions/,ktvz.com,20230919T023000Z,English,United States
OAE,ocean alkalinization,"Global Carbon Dioxide Removals ( CDR ) Industry Report 2024 : Historical Revenue Data for 2022 , Estimates for 2023 , and CAGR Forecasts through 2028",https://www.prnewswire.com/news-releases/global-carbon-dioxide-removals-cdr-industry-report-2024-historical-revenue-data-for-2022-estimates-for-2023-and-cagr-forecasts-through-2028-302038716.html,prnewswire.com,20240119T033000Z,English,United States
