domain,keyword,title,url,source_domain,seendate,language,country
reforestation,forestation,Pennsylvania Wild Pheasant Youth Hunt Announced,https://www.ammoland.com/2017/08/pennsylvania-wild-pheasant-youth-hunt-announced/,ammoland.com,20170801T203000Z,English,United States
reforestation,forestation,"In Pennsylvania , a pheasant habitat success story",http://www.outdoornews.com/2017/07/31/pennsylvania-pheasant-habitat-success-story/,outdoornews.com,20170731T210000Z,English,United States
reforestation,forestation,Golden Moon Gallery : Downtown San Mateo Wonderland of Art & Expression,https://www.smdailyjournal.com/sponsored/golden-moon-gallery-downtown-san-mateo-s-wonderland-of-art/article_cd14f8b2-72e4-11e7-b24f-fb752b103f05.html,smdailyjournal.com,20170727T200000Z,English,United States
reforestation,forestation,Climate Change News : Climate change to push Ethiopian coffee farming uphill,http://www.enn.com/climate/article/51978,enn.com,20170727T194500Z,English,United States
reforestation,forestation,Corporate Responsibility and Sustainability News : Climate change to push Ethiopian coffee farming uphill,http://www.enn.com/business/article/51978,enn.com,20170727T164500Z,English,United States
reforestation,forestation,Climate change to push Ethiopian coffee farming uphill,http://www.scidev.net/global/climate-change/news/climate-moving-coffee-farming-uphill.html,scidev.net,20170727T141500Z,English,United States
reforestation,forestation,"After a life for others , Japanese refugee advocate dies at 96",http://www.heraldmalaysia.com/news/after-a-life-for-others-japanese-refugee-advocate-dies-at-96/37482/2,heraldmalaysia.com,20170727T111500Z,English,United States
reforestation,forestation,"After a life for others , Japanese refugee advocate dies at 96",http://www.heraldmalaysia.com/news/after-a-life-for-others-japanese-refugee-advocate-dies-at-96/37482/1,heraldmalaysia.com,20170727T111500Z,English,United States
reforestation,forestation,Climate change to push Ethiopian coffee growing uphill,http://www.scidev.net/sub-saharan-africa/climate-change/news/climate-change-ethiopian-coffee.html,scidev.net,20170726T174500Z,English,United States
reforestation,forestation,Houston MPC to Expand,http://www.builderonline.com/land/development/houston-mpc-to-expand_o,builderonline.com,20170724T190000Z,English,United States
reforestation,forestation,FIS,http://fis.com/fis/worldnews/worldnews.asp?monthyear=&day=22&id=92955&l=e&country=0&special=&ndb=1&df=0,fis.com,20170724T173000Z,English,United States
reforestation,forestation,CPEC to open new vistas of progress and prosperity : Masood Khan,http://www.4-traders.com/news/CPEC-to-open-new-vistas-of-progress-and-prosperity-Masood-Khan-Press-Note-issued-by-Azad-Kashmir--24808923/,4-traders.com,20170724T154500Z,English,United States
reforestation,forestation,Utrecht Green Building,https://therealdeal.com/2017/07/22/a-stunning-new-smog-eating-vertical-forest-tower-will-feature-luxury-apartments-and-300-species-of-plants/,therealdeal.com,20170722T154500Z,English,United States
reforestation,forestation,A stunning new smog,http://www.stamfordadvocate.com/technology/businessinsider/article/A-stunning-new-smog-eating-vertical-forest-11306045.php,stamfordadvocate.com,20170722T090000Z,English,United States
reforestation,forestation,A stunning new smog,http://www.greenwichtime.com/technology/businessinsider/article/A-stunning-new-smog-eating-vertical-forest-11306045.php,greenwichtime.com,20170722T074500Z,English,United States
reforestation,forestation,A stunning new smog,http://www.newstimes.com/technology/businessinsider/article/A-stunning-new-smog-eating-vertical-forest-11306045.php,newstimes.com,20170722T073000Z,English,United States
reforestation,forestation,FIS,http://fis.com/fis/worldnews/worldnews.asp?monthyear=&day=22&id=92955&l=e&special=&ndb=1%20target=,fis.com,20170721T194500Z,English,United States
reforestation,forestation,A stunning new smog,http://www.businessinsider.com/holland-forest-tower-utrecht-2017-7,businessinsider.com,20170721T184500Z,English,United States
