domain,keyword,title,url,source_domain,seendate,language,country
reforestation,tree planting,A tree of hope planted,http://www.hometownlife.com/story/news/local/south-lyon/2017/05/01/tree-hope-planted/101138468/,hometownlife.com,20170501T231500Z,English,United States
reforestation,tree planting,CadillacNews . com,http://www.cadillacnews.com/ap_story/michigan/20170501_ap_a5942ec0f2ee4b6a976d350f10b91bbc.html,cadillacnews.com,20170501T230000Z,English,United States
reforestation,tree planting,CadillacNews . com,http://www.cadillacnews.com/ap_story/michigan/20170501_ap_1d5f70adefde4236b973b1275561204c.html,cadillacnews.com,20170501T230000Z,English,United States
reforestation,tree planting,CadillacNews . com,http://www.cadillacnews.com/ap_story/michigan/20170501_ap_bf202ededad64437b429730cbed4ac7a.html,cadillacnews.com,20170501T230000Z,English,United States
reforestation,tree planting,CadillacNews . com,http://www.cadillacnews.com/ap_story/michigan/20170501_ap_8b231ae8bd814994b61d1b43dcc772e9.html,cadillacnews.com,20170501T230000Z,English,United States
reforestation,tree planting,CadillacNews . com,http://www.cadillacnews.com/ap_story/michigan/20170501_ap_288fe435720f43048847819e3be605bd.html,cadillacnews.com,20170501T230000Z,English,United States
reforestation,tree planting,CadillacNews . com,http://www.cadillacnews.com/ap_story/michigan/20170501_ap_ffd83f9f84534cefbeb9b1beea484c4d.html,cadillacnews.com,20170501T230000Z,English,United States
reforestation,tree planting,CadillacNews . com,http://www.cadillacnews.com/ap_story/michigan/20170501_ap_fb783e91106e44608b765177b9aab131.html,cadillacnews.com,20170501T230000Z,English,United States
reforestation,tree planting,CadillacNews . com,http://www.cadillacnews.com/ap_story/michigan/20170501_ap_bc62b78bc10441a2b767efa9746916e4.html,cadillacnews.com,20170501T230000Z,English,United States
reforestation,tree planting,The Evolved Traveler Launches New Carbon Offset Program and Earth Day Trip Sweepstakes in Partnership with CarbonFund . org,https://robbreport.com/LuxuryNewswire/luxury-travel/evolved-traveler-launches-new-carbon-offset-program-and-earth-day-trip,robbreport.com,20170501T224500Z,English,United States
reforestation,tree planting,"Committed to Planting One Million Trees , Boxed Water Launches Its 2017 ReTree Project",http://www.ssuchronicle.com/2017/05/01/committed-to-planting-one-million-trees-boxed-water-launches-its-2017-retree-project/,ssuchronicle.com,20170501T224500Z,English,United States
reforestation,tree planting,California Proposes Ambitious New Cap,https://www.technologyreview.com/s/604306/california-proposes-ambitious-new-cap-and-trade-program/,technologyreview.com,20170501T223000Z,English,United States
reforestation,tree planting,"Committed to Planting One Million Trees , Boxed Water Launches Its 2017 ReTree Project",http://www.csrwire.com/press_releases/39950-Committed-to-Planting-One-Million-Trees-Boxed-Water-Launches-Its-2017-ReTree-Project-,csrwire.com,20170501T221500Z,English,United States
reforestation,tree planting,"Lincolnshire residents , officials plant donated trees for Arbor Day",http://www.chicagotribune.com/suburbs/lincolnshire/news/ct-lsr-arbor-day-ceremony-tl-0504-20170501-story.html,chicagotribune.com,20170501T214500Z,English,United States
reforestation,tree planting,Special visitor enlivens River Grove Arbor Day celebration,http://www.chicagotribune.com/suburbs/elmwood-park/news/ct-elm-river-grove-arbor-day-tl-0504-20170501-story.html,chicagotribune.com,20170501T214500Z,English,United States
reforestation,tree planting,Harlan again receives Tree City united states award,http://www.harlanonline.com/news/harlan-again-receives-tree-city-usa-award,harlanonline.com,20170501T213000Z,English,United States
reforestation,tree planting,City planted trees for Arbor Day,http://www.thegleaner.com/story/news/2017/05/01/city-planted-trees-arbor-day/101160252/,thegleaner.com,20170501T211500Z,English,United States
reforestation,tree planting,Protecting the community canopy,http://www.bhpioneer.com/local_news/protecting-the-community-s-canopy/article_4ea911ce-2e70-11e7-9606-0b1b11f63e46.html,bhpioneer.com,20170501T204500Z,English,United States
reforestation,tree planting,Michigan DNR to offer annual community tree,http://www.hollandsentinel.com/news/20170501/michigan-dnr-to-offer-annual-community-tree-planting-grants,hollandsentinel.com,20170501T201500Z,English,United States
reforestation,tree planting,Mass,https://scienceblog.com/493803/mass-produced-dwellings-home-expansion-reduce-l-areas-residential-green-cover/,scienceblog.com,20170501T201500Z,English,United States
reforestation,tree planting,Town plants tree in memory of DPW employee,http://www.greecepost.com/news/20170501/town-plants-tree-in-memory-of-dpw-employee,greecepost.com,20170501T194500Z,English,United States
reforestation,tree planting,Where have the trees gone ? L . A . area green cover down dramatically in just 10 years,http://news.usc.edu/120872/mass-produced-dwellings-home-expansion-reduce-l-a-areas-residential-green-cover/,news.usc.edu,20170501T194500Z,English,United States
reforestation,tree planting,CadillacNews . com,http://www.cadillacnews.com/ap_story/michigan/20170501_ap_a3dfd2e0b50c41c098ffb4271482da5e.html,cadillacnews.com,20170501T193000Z,English,United States
reforestation,tree planting,Bluffton Police Department on what to do if you come across a pet left in a car,http://www.islandpacket.com/news/local/crime/article147842234.html,islandpacket.com,20170501T191500Z,English,United States
reforestation,tree planting,Arbor Day Is The Only Holiday That Matters . Period .,https://theawl.com/arbor-day-is-the-only-holiday-that-matters-period-ecce347f6d4c?gi=a08b184c89ea,theawl.com,20170501T190000Z,English,United States
reforestation,tree planting,CadillacNews . com,http://www.cadillacnews.com/ap_story/michigan/20170501_ap_06e1c8b098c447cc9e3adc0b8695ffd7.html,cadillacnews.com,20170501T181500Z,English,United States
reforestation,tree planting,CadillacNews . com,http://www.cadillacnews.com/ap_story/michigan/20170501_ap_30f3f3798f8a476eba1926db3c4561bc.html,cadillacnews.com,20170501T181500Z,English,United States
reforestation,tree planting,CadillacNews . com,http://www.cadillacnews.com/ap_story/michigan/20170501_ap_c3152edfb1194dd99c4b6597061f6583.html,cadillacnews.com,20170501T181500Z,English,United States
reforestation,tree planting,CadillacNews . com,http://www.cadillacnews.com/ap_story/michigan/20170501_ap_f36fb58b778a414a945145aefe3fb856.html,cadillacnews.com,20170501T181500Z,English,United States
reforestation,tree planting,Times Gazette,http://timesgazette.com/features/15045/greenfield-named-a-tree-city-usa,timesgazette.com,20170501T181500Z,English,United States
reforestation,tree planting,CadillacNews . com,http://www.cadillacnews.com/ap_story/michigan/20170501_ap_ba5301504b3f42edb950e4354b686863.html,cadillacnews.com,20170501T181500Z,English,United States
reforestation,tree planting,CadillacNews . com,http://www.cadillacnews.com/ap_story/michigan/20170501_ap_c4b5d1a837154b67bbf6f3561f8a9a2f.html,cadillacnews.com,20170501T181500Z,English,United States
reforestation,tree planting,City Parks Department Plants Trees for Arbor Day,http://www.surfky.com/index.php/henderson/news-henderson/119232-city-parks-department-plants-trees-for-arbor-day,surfky.com,20170501T174500Z,English,United States
reforestation,tree planting,Hands on Thomas County cheers for volunteers,http://www.timesenterprise.com/news/local_news/hands-on-thomas-county-cheers-for-volunteers/article_3dc1a36c-83d2-5add-aad8-759cd26e8d1d.html,timesenterprise.com,20170501T174500Z,English,United States
reforestation,tree planting,When single,https://www.eurekalert.org/pub_releases/2017-05/uosc-wsh050117.php,eurekalert.org,20170501T170000Z,English,United States
reforestation,tree planting,Caldwell planting 68 trees this spring,http://www.newjerseyhills.com/the_progress/news/caldwell-planting-trees-this-spring/article_3d2aa5ea-df52-5e91-8698-dbfb632f2ab1.html,newjerseyhills.com,20170501T164500Z,English,United States
reforestation,tree planting,When single,https://yubanet.com/california/when-single-family-homes-killed-l-a-s-urban-forest/,yubanet.com,20170501T163000Z,English,United States
reforestation,tree planting,Single,https://www.sciencedaily.com/releases/2017/05/170501112544.htm,sciencedaily.com,20170501T161500Z,English,United States
reforestation,tree planting,Noblesville named a top 2016 Tree City in the united states,http://fox59.com/2017/05/01/noblesville-named-a-top-2016-tree-city-in-the-usa/,fox59.com,20170501T161500Z,English,United States
reforestation,tree planting,Arbor Day Is The Only Holiday That Matters . Period .,https://theawl.com/arbor-day-is-the-only-holiday-that-matters-period-ecce347f6d4c?gi=908866b4cf2,theawl.com,20170501T161500Z,English,United States
reforestation,tree planting,Tell the Brazilian Government Not to Subject the Amazon Rainforest to More Deforestation for Meat !,http://www.onegreenplanet.org/news/stop-deforestation-for-meat-in-brazil/,onegreenplanet.org,20170501T154500Z,English,United States
reforestation,tree planting,When single,https://phys.org/news/2017-05-single-family-homes-la-urban-forest.html,phys.org,20170501T154500Z,English,United States
reforestation,tree planting,Family shares love of Dawes on Arbor Day,http://www.newarkadvocate.com/story/news/local/2017/05/01/family-shares-love-dawes-arbor-day/101073316/,newarkadvocate.com,20170501T151500Z,English,United States
reforestation,tree planting,Arbor Day excitement swirls as trees bloom in Midland,http://www.ourmidland.com/news/article/Arbor-Day-excitement-swirls-as-trees-bloom-in-11111214.php,ourmidland.com,20170501T150000Z,English,United States
reforestation,tree planting,Partnership offers grants for tree,http://wlns.com/2017/05/01/partnership-offers-grants-for-tree-planting-projects/,wlns.com,20170501T144500Z,English,United States
reforestation,tree planting,CadillacNews . com,http://www.cadillacnews.com/ap_story/michigan/20170501_ap_570329ea260e4d01bbc287a0971da5e0.html,cadillacnews.com,20170501T134500Z,English,United States
reforestation,tree planting,City celebrates Arbor Day,http://www.elkharttruth.com/hometown/elkhart/city-celebrates-arbor-day/article_2ca0e0aa-2bbb-5edb-bd01-6ef280ca4dbf.html,elkharttruth.com,20170501T131500Z,English,United States
reforestation,tree planting,"Bible , miners , turnpike , more",http://www.bdtonline.com/opinion/columns/bible-miners-turnpike-more/article_2634f05f-7c59-5870-8cc3-f6631d2e3bd3.html,bdtonline.com,20170501T123000Z,English,United States
reforestation,tree planting,"On Gunflint Trail , memories of  devil fire  still burn",https://www.mprnews.org/story/2017/05/01/on-gunflint-trail-memories-of-devils-fire-still-burn,mprnews.org,20170501T110000Z,English,United States
reforestation,tree planting,Veteran South Shore F . D . Division Chief Mark Pierce retires,http://journaltimes.com/news/local/veteran-south-shore-f-d-division-chief-mark-pierce-retires/article_55e7b44e-5888-55d4-bab3-2137ae044d3c.html,journaltimes.com,20170501T104500Z,English,United States
reforestation,tree planting,"On Gunflint Trail , memories of  devil fire  still burn",http://www.mprnews.org/story/2017/05/01/on-gunflint-trail-memories-of-devils-fire-still-burn,mprnews.org,20170501T100000Z,English,United States
reforestation,tree planting,CadillacNews . com,http://www.cadillacnews.com/ap_story/michigan/20170501_ap_9bef9ef74c9f4125b0e17dabb738adbe.html,cadillacnews.com,20170501T093000Z,English,United States
reforestation,tree planting,This week in government — May 1,https://www.fredericknewspost.com/news/politics_and_government/levels_of_government/county/council/this-week-in-government-may/article_49607ade-2e28-50ee-bf29-2bdcd625e974.html,fredericknewspost.com,20170501T073000Z,English,United States
reforestation,tree planting,Monessen students gather to plant a tree at the high school,http://www.heraldstandard.com/news/local_news/monessen-students-gather-to-plant-a-tree-at-the-high/article_76b15cd9-e832-5d57-8f5f-9cc097608d7a.html,heraldstandard.com,20170501T073000Z,English,United States
reforestation,tree planting,More Tree,http://www.wilx.com/content/news/More-Tree-Planting-Projects-Coming-to-Michigan-420865664.html,wilx.com,20170501T070000Z,English,United States
