domain,keyword,title,url,source_domain,seendate,language,country
restoration of vegetated coastal ecosystems,blue carbon,How small businesses are shaping the holster industry,http://www.guns.com/2017/02/27/how-small-businesses-are-shaping-the-holster-industry/,guns.com,20170227T204500Z,English,United States
restoration of vegetated coastal ecosystems,blue carbon,CL Writing Contest 2017 ( Top 10 Poetry ): The First Settlers,http://www.cltampa.com/arts-entertainment/words/article/20853266/cl-writing-contest-2017-top-10-poetry-the-first-settlers,cltampa.com,20170224T230000Z,English,United States
restoration of vegetated coastal ecosystems,blue carbon,Launch of the Ocean and Climate Initiatives Alliance,http://www.irishsun.com/index.php/sid/251977619,irishsun.com,20170224T204500Z,English,United States
restoration of vegetated coastal ecosystems,blue carbon,Launch of the Ocean and Climate Initiatives Alliance,http://www.environmentguru.com/pages/elements/element.aspx?id=4578937,environmentguru.com,20170224T163000Z,English,United States
restoration of vegetated coastal ecosystems,blue carbon,The Role of ASEAN in Addressing Global Ocean Issues,http://asiafoundation.org/2017/02/22/role-asean-addressing-global-ocean-issues/,asiafoundation.org,20170223T000000Z,English,United States
restoration of vegetated coastal ecosystems,blue carbon,These Aston Martin Vantages Dial Down The Lipstick To Look Way More Awesome,http://jalopnik.com/these-aston-martin-vantages-dial-down-the-lipstick-to-l-1792587547,jalopnik.com,20170221T223000Z,English,United States
restoration of vegetated coastal ecosystems,blue carbon,Jay Leno drives YouTuber former Pagani Huayra,http://www.motorauthority.com/news/1108970_jay-leno-drives-youtubers-former-pagani-huayra,motorauthority.com,20170221T174500Z,English,United States
restoration of vegetated coastal ecosystems,blue carbon,Making the Deep Blue Sea Green Again — Global Issues,http://www.globalissues.org/news/2017/02/20/22889,globalissues.org,20170220T124500Z,English,United States
restoration of vegetated coastal ecosystems,blue carbon,Making the Deep Blue Sea Green Again,http://www.ipsnews.net/2017/02/making-the-deep-blue-sea-green-again/,ipsnews.net,20170220T044500Z,English,United States
restoration of vegetated coastal ecosystems,blue carbon,Brabus G500 4x4 Has Red Engine and Smurf Skin Interior,https://www.autoevolution.com/news/brabus-g500-4x4-has-red-engine-and-smurf-skin-interior-115494.html,autoevolution.com,20170217T141500Z,English,United States
restoration of vegetated coastal ecosystems,blue carbon,This Is The New Pagani Huayra Roadster In All Its Open Top Glory,http://www.carscoops.com/2017/02/this-is-new-pagani-huayra-roadster-in.html,carscoops.com,20170215T223000Z,English,United States
restoration of vegetated coastal ecosystems,blue carbon,"764 HP Pagani Huayra Roadster Is Lighter than the Coupe , Obviously Sold Out",https://www.autoevolution.com/news/764-hp-pagani-huayra-roadster-is-lighter-than-the-coupe-obviously-sold-out-115427.html,autoevolution.com,20170214T214500Z,English,United States
restoration of vegetated coastal ecosystems,blue carbon,"2016 Ferrari 488 Spider For Sale $399 , 900",http://www.dupontregistry.com/autos/listing/2016/ferrari/488--spider/1588272,dupontregistry.com,20170213T190000Z,English,United States
restoration of vegetated coastal ecosystems,blue carbon,Coastal wetlands excel at storing carbon,http://environmentalresearchweb.org/cws/article/yournews/67807,environmentalresearchweb.org,20170209T154500Z,English,United States
restoration of vegetated coastal ecosystems,blue carbon,Northwest Madagascar Regional Manager,http://reliefweb.int/job/1888849/northwest-madagascar-regional-manager,reliefweb.int,20170208T143000Z,English,United States
restoration of vegetated coastal ecosystems,blue carbon,climate mitigation – Summit County Citizens Voice,https://summitcountyvoice.com/tag/climate-mitigation/,summitcountyvoice.com,20170208T004500Z,English,United States
restoration of vegetated coastal ecosystems,blue carbon,coatal wetlands – Summit County Citizens Voice,https://summitcountyvoice.com/tag/coatal-wetlands/,summitcountyvoice.com,20170208T004500Z,English,United States
restoration of vegetated coastal ecosystems,blue carbon,Coastal wetlands seen as key piece of global carbon cycle – Summit County Citizens Voice,https://summitcountyvoice.com/2017/02/07/coastal-wetlands-seen-as-key-piece-of-global-carbon-cycle/,summitcountyvoice.com,20170208T004500Z,English,United States
restoration of vegetated coastal ecosystems,blue carbon,blue carbon – Summit County Citizens Voice,https://summitcountyvoice.com/tag/blue-carbon/,summitcountyvoice.com,20170208T004500Z,English,United States
restoration of vegetated coastal ecosystems,blue carbon,Carbon Sink,https://wn.com/Carbon_Sink,wn.com,20170207T144500Z,English,United States
restoration of vegetated coastal ecosystems,blue carbon,Blue carbon science for sustainable coastal development,http://humanitariannews.org/20170207/blue-carbon-science-sustainable-coastal-development,humanitariannews.org,20170207T051500Z,English,United States
restoration of vegetated coastal ecosystems,blue carbon,A Bay in Denmark May Hold the Global Record for Carbon Storage,http://e360.yale.edu/digest/a_bay_in_denmark_may_hold_global_record_for_carbon_storage,e360.yale.edu,20170206T193000Z,English,United States
restoration of vegetated coastal ecosystems,blue carbon,Are  Blue Carbon  Projects a Win for the Climate and the People ?,http://e360.yale.edu/features/african_mangroves_blue_carbon_win_for_climate_and_for_people,e360.yale.edu,20170206T193000Z,English,United States
restoration of vegetated coastal ecosystems,blue carbon,Which Sources of Blue Carbon Measure Up to the Mitigation Challenge ? – Cool Green Science,http://blog.nature.org/science/2017/02/02/which-sources-of-blue-carbon-measure-up-to-the-mitigation-challenge/,blog.nature.org,20170202T153000Z,English,United States
restoration of vegetated coastal ecosystems,blue carbon,Mangroves and marshes key in the climate change battle,http://www.huffingtonpost.com/iucn-planet-at-the-crossroads/mangroves-and-marshes-key_b_14566424.html,huffingtonpost.com,20170202T101500Z,English,United States
restoration of vegetated coastal ecosystems,blue carbon,wildsingapore news : Coastal wetlands excel at storing carbon,http://wildsingaporenews.blogspot.com/2017/02/coastal-wetlands-excel-at-storing-carbon.html,wildsingaporenews.blogspot.com,20170202T053000Z,English,United States
restoration of vegetated coastal ecosystems,blue carbon,Study : Restoring Wetlands Could Help Fix Climate Change,http://www.mainemirror.com/index.php/sid/251391185,mainemirror.com,20170202T010000Z,English,United States
restoration of vegetated coastal ecosystems,blue carbon,Study : Restoring Wetlands Could Help Fix Climate Change,http://www.clevelandstar.com/index.php/sid/251391185,clevelandstar.com,20170202T010000Z,English,United States
restoration of vegetated coastal ecosystems,blue carbon,"Maryland – New analysis supports mangrove forests , tidal marshes and seagrass meadows as effective climate buffers",http://coastalnewstoday.com/maryland-new-analysis-supports-mangrove-forests-tidal-marshes-and-seagrass-meadows-as-effective-climate-buffers/,coastalnewstoday.com,20170201T231500Z,English,United States
restoration of vegetated coastal ecosystems,blue carbon,Study : Restoring Wetlands Could Help Fix Climate Change,http://www.tucsonpost.com/index.php/sid/251391185,tucsonpost.com,20170201T220000Z,English,United States
restoration of vegetated coastal ecosystems,blue carbon,Study : Restoring Wetlands Could Help Fix Climate Change,http://www.hawaiitelegraph.com/index.php/sid/251391185,hawaiitelegraph.com,20170201T210000Z,English,United States
restoration of vegetated coastal ecosystems,blue carbon,"Coastal Wetlands Mitigate Global Warming , Study Says",http://www.plenglish.com/index.php?o=rn&id=8737&SEO=coastal-wetlands-mitigate-global-warming-study-says,plenglish.com,20170201T203000Z,English,United States
restoration of vegetated coastal ecosystems,blue carbon,Study : Restoring Wetlands Could Help Fix Climate Change,http://www.voanews.com/a/climate-change-wetlands/3701799.html,voanews.com,20170201T201500Z,English,United States
restoration of vegetated coastal ecosystems,blue carbon,"Coastal wetlands excel at storing carbon : New analysis supports mangrove forests , tidal marshes and seagrass meadows as effective climate buffers",https://www.sciencedaily.com/releases/2017/02/170201092705.htm,sciencedaily.com,20170201T183000Z,English,United States
restoration of vegetated coastal ecosystems,blue carbon,Sustainable Ecosystems and Community News : Coastal Wetlands Excel at Storing Carbon,http://www.enn.com/ecosystems/article/50429,enn.com,20170201T174500Z,English,United States
restoration of vegetated coastal ecosystems,blue carbon,Climate Change News : Coastal Wetlands Excel at Storing Carbon,http://www.enn.com/climate/article/50429,enn.com,20170201T174500Z,English,United States
restoration of vegetated coastal ecosystems,blue carbon,"Coastal Wetlands Mitigate Global Warming , Study Says",http://plenglish.com/index.php?o=rn&id=8737&SEO=coastal-wetlands-mitigate-global-warming-study-says,plenglish.com,20170201T174500Z,English,United States
restoration of vegetated coastal ecosystems,blue carbon,"New analysis supports mangrove forests , tidal marshes and seagrass meadows as effective climate buffers",https://phys.org/news/2017-02-analysis-mangrove-forests-tidal-marshes.html,phys.org,20170201T081500Z,English,United States
restoration of vegetated coastal ecosystems,blue carbon,Coastal wetlands excel at storing carbon,http://humanitariannews.org/20170201/coastal-wetlands-excel-storing-carbon,humanitariannews.org,20170201T080000Z,English,United States
restoration of vegetated coastal ecosystems,blue carbon,Coastal wetlands excel at storing carbon,https://www.eurekalert.org/pub_releases/2017-02/uom-cwe012617.php,eurekalert.org,20170201T070000Z,English,United States
restoration of vegetated coastal ecosystems,blue carbon,"Why Is This McLaren 675LT Worth Almost $500 , 000 ?",http://www.carbuzz.com/news/2017/6/26/Why-Is-This-McLaren-675LT-Worth-Almost-500-000-7739837/,carbuzz.com,20170630T134500Z,English,United States
restoration of vegetated coastal ecosystems,blue carbon,"Huawei announces their new flagship , the Huawei Honor 9",http://techaeris.com/2017/06/27/huawei-new-flagship-huawei-honor-9/,techaeris.com,20170627T220000Z,English,United States
restoration of vegetated coastal ecosystems,blue carbon,"Honor 9 official with 20MP and 12MP rear cameras , now starting global rollout",https://www.phonedog.com/2017/06/27/honor-9-official-specs-launch-price,phonedog.com,20170627T184500Z,English,United States
restoration of vegetated coastal ecosystems,blue carbon,Honor 9 launches as the  Light Catcher  on the global market,http://www.androidguys.com/2017/06/27/honor-9-launches-as-the-light-catcher-on-the-global-market/,androidguys.com,20170627T170000Z,English,United States
restoration of vegetated coastal ecosystems,blue carbon,Honor 9 and Honor Band 3 global price and availability revealed,http://www.androidauthority.com/honor-9-global-availability-783094/,androidauthority.com,20170627T161500Z,English,United States
restoration of vegetated coastal ecosystems,blue carbon,Huawei announces global launch details of the Honor 9 and Honor Band 3,http://www.zdnet.com/article/huawei-announces-global-launch-details-of-the-honor-9-and-honor-band-3/,zdnet.com,20170627T143000Z,English,United States
restoration of vegetated coastal ecosystems,blue carbon,"Honor Unveils New Flagship , the Honor 9",http://www.prnewswire.com/news-releases/honor-unveils-new-flagship-the-honor-9-300480159.html,prnewswire.com,20170627T140000Z,English,United States
restoration of vegetated coastal ecosystems,blue carbon,"Huawei announces the Honor 9 for Europe , starts at €449 . 99",http://www.androidpolice.com/2017/06/27/huawei-announces-honor-9-europe-starts-e449-99/,androidpolice.com,20170627T133000Z,English,United States
restoration of vegetated coastal ecosystems,blue carbon,How much carbon can polar seafloor ecosystems store ?,https://phys.org/news/2017-06-carbon-polar-seafloor-ecosystems.html,phys.org,20170627T114500Z,English,United States
