domain,keyword,title,url,source_domain,seendate,language,country
restoration of vegetated coastal ecosystems,mangrove restoration,"MIT , Conservation International announce collaboration on climate adaptation and mitigation",http://news.mit.edu/2017/mit-conservation-international-collaboration-climate-adaptation-mitigation-0127,news.mit.edu,20170127T214500Z,English,United States
restoration of vegetated coastal ecosystems,mangrove restoration,MIT Massachusetts Institute of Technology,http://www.4-traders.com/news/MIT-Massachusetts-Institute-of-Technology-Conservation-International-announce-collaboration-on-c--23768517/,4-traders.com,20170127T194500Z,English,United States
restoration of vegetated coastal ecosystems,mangrove restoration,Communities come together to restore mangroves – SAT Press Releases,http://satprnews.com/2017/01/24/communities-come-together-to-restore-mangroves/,satprnews.com,20170124T170000Z,English,United States
restoration of vegetated coastal ecosystems,mangrove restoration,Communities come together to restore mangroves – Military Technologies,http://military-technologies.net/2017/01/24/communities-come-together-to-restore-mangroves/,military-technologies.net,20170124T170000Z,English,United States
restoration of vegetated coastal ecosystems,mangrove restoration,Communities come together to restore mangroves,http://www.worldwildlife.org/stories/communities-come-together-to-restore-mangroves,worldwildlife.org,20170124T163000Z,English,United States
restoration of vegetated coastal ecosystems,mangrove restoration,Communities come together to restore mangroves,https://www.worldwildlife.org/stories/communities-come-together-to-restore-mangroves,worldwildlife.org,20170124T163000Z,English,United States
restoration of vegetated coastal ecosystems,mangrove restoration,Martin Luther King Jr . Day Sparks A Day Of Service At FIU,http://wlrn.org/post/martin-luther-king-jr-day-sparks-day-service-fiu,wlrn.org,20170116T214500Z,English,United States
restoration of vegetated coastal ecosystems,mangrove restoration,India – Mangroves,http://coastalnewstoday.com/india-mangroves-protecting-coastlines-combating-climate-change-saving-corals/,coastalnewstoday.com,20170109T221500Z,English,United States
restoration of vegetated coastal ecosystems,mangrove restoration,Mass mangrove restoration : Driven by good intentions but offering limited results,https://garryrogers.com/2017/03/01/ecosystem-restoration/,garryrogers.com,20170301T224500Z,English,United States
restoration of vegetated coastal ecosystems,mangrove restoration,How Impact Investing Links Big Business And Small Farming,http://www.ecosystemmarketplace.com/articles/kenya3/,ecosystemmarketplace.com,20170224T130000Z,English,United States
restoration of vegetated coastal ecosystems,mangrove restoration,Mangroves mean life for coastal communities throughout the tropics,http://www.worldwildlife.org/stories/mangrove-photo-essay,worldwildlife.org,20170223T170000Z,English,United States
restoration of vegetated coastal ecosystems,mangrove restoration,Mangroves mean life for coastal communities throughout the tropics,https://www.worldwildlife.org/stories/mangrove-photo-essay,worldwildlife.org,20170223T164500Z,English,United States
restoration of vegetated coastal ecosystems,mangrove restoration,Cayman Islands Chamber of Commerce President report by Paul Pearson for 2016,http://www.ieyenews.com/wordpress/cayman-islands-chamber-of-commerce-presidents-report-by-paul-pearson-for-2016/,ieyenews.com,20170221T033000Z,English,United States
restoration of vegetated coastal ecosystems,mangrove restoration,ASBPA – Invest in our coastal infrastructure,http://coastalnewstoday.com/asbpa-invest-in-our-coastal-infrastructure/,coastalnewstoday.com,20170216T020000Z,English,United States
restoration of vegetated coastal ecosystems,mangrove restoration,Asia Regional Forestry Advisor,http://www.environmentguru.com/pages/elements/element.aspx?id=4504108,environmentguru.com,20170206T153000Z,English,United States
restoration of vegetated coastal ecosystems,mangrove restoration,wild shores of singapore : Celebrating World Wetlands Day at Pulau Ubin with RUM,http://wildshores.blogspot.com/2017/02/celebrating-world-wetlands-day-at-pulau.html,wildshores.blogspot.com,20170205T084500Z,English,United States
restoration of vegetated coastal ecosystems,mangrove restoration,How  jobless men managing the sea  restored a mangrove forest in Java,https://news.mongabay.com/2017/02/how-jobless-men-managing-the-sea-restored-a-mangrove-forest-in-java/,news.mongabay.com,20170203T151500Z,English,United States
restoration of vegetated coastal ecosystems,mangrove restoration,– Wetlands Protected Worldwide to Reduce Disaster Risks,http://ens-newswire.com/2017/02/02/wetlands-protected-worldwide-to-reduce-disaster-risks/,ens-newswire.com,20170202T224500Z,English,United States
restoration of vegetated coastal ecosystems,mangrove restoration,"wildsingapore news : As sea levels rise , Singapore prepares to stem the tide",http://wildsingaporenews.blogspot.com/2017/05/as-sea-levels-rise-singapore-prepares.html,wildsingaporenews.blogspot.com,20170528T121500Z,English,United States
restoration of vegetated coastal ecosystems,mangrove restoration,"As Senegal coast crumbles , residents ponder move to safer ground",http://reliefweb.int/report/senegal/senegals-coast-crumbles-residents-ponder-move-safer-ground,reliefweb.int,20170526T203000Z,English,United States
restoration of vegetated coastal ecosystems,mangrove restoration,"As Senegal coast crumbles , residents ponder move to safer ground",https://www.reuters.com/article/us-senegal-environment-coast-migration-idUSKBN18M0HO,reuters.com,20170526T151500Z,English,United States
restoration of vegetated coastal ecosystems,mangrove restoration,FEATURE,http://news.trust.org/item/20170526060059-ps8x6,news.trust.org,20170526T104500Z,English,United States
restoration of vegetated coastal ecosystems,mangrove restoration,"As Senegal coast crumbles , residents ponder move to safer ground",http://www.reuters.com/article/senegal-environment-coast-migration-idUSL8N1IK25E,reuters.com,20170526T104500Z,English,United States
restoration of vegetated coastal ecosystems,mangrove restoration,"As Senegal coast crumbles , residents ponder move to safer ground",http://www.reuters.com/article/us-senegal-environment-coast-migration-idUSKBN18M0HO,reuters.com,20170526T080000Z,English,United States
restoration of vegetated coastal ecosystems,mangrove restoration,FEATURE,http://in.reuters.com/article/senegal-environment-coast-migration-idINL8N1IK25E,in.reuters.com,20170526T063000Z,English,United States
restoration of vegetated coastal ecosystems,mangrove restoration,FEATURE,http://news.trust.org/item/20170526060059-ps8x6/,news.trust.org,20170526T063000Z,English,United States
restoration of vegetated coastal ecosystems,mangrove restoration,Alaska National Guard Hosts 24 Countries at Pacific Environmental Security Forum,http://alaska-native-news.com/alaska-national-guard-hosts-24-countries-at-pacific-environmental-security-forum-28551,alaska-native-news.com,20170525T203000Z,English,United States
restoration of vegetated coastal ecosystems,mangrove restoration,Communities band together to protect El Salvador last mangroves,https://news.mongabay.com/2017/05/communities-band-together-to-protect-el-salvadors-last-mangroves/,news.mongabay.com,20170524T024500Z,English,United States
restoration of vegetated coastal ecosystems,mangrove restoration,wild shores of singapore : Pesta Ubin 2017 report,http://wildshores.blogspot.com/2017/07/pesta-ubin-2017-report.html,wildshores.blogspot.com,20170731T113000Z,English,United States
