domain,keyword,title,url,source_domain,seendate,language,country
soil carbon requestration,soil carbon storage,Grazing = carbon sequestration,http://www.agriview.com/news/livestock/grazing-carbon-sequestration/article_74029d7c-0052-5ebd-bc84-a7f37f8f5ff4.html,agriview.com,20170201T103000Z,English,United States
soil carbon requestration,soil carbon storage,WVU researcher finds impact of microorganisms on soil carbon storage,http://www.thedaonline.com/news/article_c366c08c-e182-11e6-9942-976d3555bef3.html,thedaonline.com,20170123T181500Z,English,United States
soil carbon requestration,soil carbon storage,Grazing boosts carbon sequestration,http://www.enidnews.com/news/ag_energy/grazing-boosts-carbon-sequestration/article_87ed5a02-529b-5bd8-bfdf-e766d7370caa.html,enidnews.com,20170122T113000Z,English,United States
soil carbon requestration,soil carbon storage,Grazing boosts carbon sequestration,http://www.woodwardnews.net/news/grazing-boosts-carbon-sequestration/article_2d665ffc-968f-5306-bd78-121abd506a61.html,woodwardnews.net,20170122T113000Z,English,United States
soil carbon requestration,soil carbon storage,Researcher uncovers influence of microorganisms on soil carbon storage,https://www.sciencedaily.com/releases/2017/01/170117102154.htm,sciencedaily.com,20170117T184500Z,English,United States
soil carbon requestration,soil carbon storage,Carbon sequestration a positive aspect of beef cattle grazing grasslands,http://www.hpj.com/livestock/carbon-sequestration-a-positive-aspect-of-beef-cattle-grazing-grasslands/article_679483e5-3737-58e3-95f1-d68ac9d1d0fb.html,hpj.com,20170105T171500Z,English,United States
soil carbon requestration,soil carbon storage,Conservation Adviser,http://www.ecosystemmarketplace.com/jobs/conservation-adviser-ecosystem-services/,ecosystemmarketplace.com,20170308T074500Z,English,United States
soil carbon requestration,soil carbon storage,"No biochar benefit for temperate zone crops , says new report",https://www.sciencedaily.com/releases/2017/04/170425131407.htm,sciencedaily.com,20170425T194500Z,English,United States
soil carbon requestration,soil carbon storage,Wisconsin Ag Connection,http://www.wisconsinagconnection.com/story-national.php?Id=844&yr=2017,wisconsinagconnection.com,20170425T143000Z,English,United States
soil carbon requestration,soil carbon storage,Are the Paris soil carbon sequestration goals unrealistic ?,https://www.sciencedaily.com/releases/2017/04/170421091701.htm,sciencedaily.com,20170424T043000Z,English,United States
soil carbon requestration,soil carbon storage,Investment made in soil health program at Dal AC,http://www.trurodaily.com/news/local/2017/4/21/investment-made-in-soil-health-program-at-dal-ac.html,trurodaily.com,20170422T041500Z,English,United States
soil carbon requestration,soil carbon storage,Paris soil carbon sequestration goals called unrealistic,https://phys.org/news/2017-04-paris-soil-carbon-sequestration-goals.html,phys.org,20170421T131500Z,English,United States
soil carbon requestration,soil carbon storage,New York announces plan to reduce methane emissions,http://www.biomassmagazine.com/articles/14382/new-york-announces-plan-to-reduce-methane-emissions,biomassmagazine.com,20170518T234500Z,English,United States
soil carbon requestration,soil carbon storage,New York announces plan to reduce methane emissions,http://biomassmagazine.com/articles/14382/new-york-announces-plan-to-reduce-methane-emissions,biomassmagazine.com,20170518T234500Z,English,United States
soil carbon requestration,soil carbon storage,Carbon catch,http://theconversation.com/carbon-catch-22-the-pollution-in-our-soil-78718,theconversation.com,20170620T191500Z,English,United States
soil carbon requestration,soil carbon storage,Replacing trees with bamboos halves the carbon storage capacity of forests,https://phys.org/news/2017-06-trees-bamboos-halves-carbon-storage.html,phys.org,20170614T153000Z,English,United States
soil carbon requestration,soil carbon storage,UBC research supports on,http://www.tmcnet.com/usubmit/2017/06/06/8559187.htm,tmcnet.com,20170606T171500Z,English,United States
soil carbon requestration,soil carbon storage,Open soil science : technology is helping us discover the mysteries under our feet,http://theconversation.com/open-soil-science-technology-is-helping-us-discover-the-mysteries-under-our-feet-81727,theconversation.com,20170901T073000Z,English,United States
soil carbon requestration,soil carbon storage,"This is why when you talk about climate change , you can ’ t ignore agriculture",https://www.washingtonpost.com/news/energy-environment/wp/2017/08/23/this-is-why-when-you-talk-about-climate-change-you-cant-ignore-agriculture/,washingtonpost.com,20170823T150000Z,English,United States
soil carbon requestration,soil carbon storage,Soil Holds The Potential To Slow Global Warming,http://today.tamu.edu/2017/10/17/soil-holds-the-potential-to-slow-global-warming/,today.tamu.edu,20171031T001500Z,English,United States
soil carbon requestration,soil carbon storage,MyJournals . org,http://www.myjournals.org/index.php?nr=421390,myjournals.org,20171025T084500Z,English,United States
soil carbon requestration,soil carbon storage,Texas A & M University,http://www.4-traders.com/news/Texas-A-M-University-Soil-Holds-The-Potential-To-Slow-Global-Warming--25302861/,4-traders.com,20171017T164500Z,English,United States
soil carbon requestration,soil carbon storage,Slowing Global Warming,http://www.selectscience.net/industry-news/stanford-university/soil-holds-potential-to-slow-global-warming/?&artID=44932,selectscience.net,20171012T111500Z,English,United States
soil carbon requestration,soil carbon storage,Slowing Global Warming,http://www.selectscience.net/industry-news/soil-holds-potential-to-slow-global-warming?artID=44932,selectscience.net,20171012T103000Z,English,United States
soil carbon requestration,soil carbon storage,How treating dirt well could fight climate change,http://www.futurity.org/soil-carbon-climate-change-1567212/,futurity.org,20171009T200000Z,English,United States
soil carbon requestration,soil carbon storage,Soil holds potential to slow global warming – University of Hawaiʻi System News,http://www.hawaii.edu/news/2017/10/06/soil-holds-potential-to-slow-global-warming/,hawaii.edu,20171007T004500Z,English,United States
soil carbon requestration,soil carbon storage,"Soil holds potential to slow global warming , two studies show",http://ns.umich.edu/new/releases/25144-soil-holds-potential-to-slow-global-warming-two-studies-show,ns.umich.edu,20171007T001500Z,English,United States
soil carbon requestration,soil carbon storage,Dueling science : Yesterday –  Soil will accelerate global warming  Today –  Soil holds potential to slow global warming,https://wattsupwiththat.com/2017/10/06/dueling-science-yesterday-soil-will-accelerate-global-warming-today-soil-holds-potential-to-slow-global-warming/comment-page-1/,wattsupwiththat.com,20171006T190000Z,English,United States
soil carbon requestration,soil carbon storage,Dueling science : Yesterday –  Soil will accelerate global warming  Today –  Soil holds potential to slow global warming,https://wattsupwiththat.com/2017/10/06/dueling-science-yesterday-soil-will-accelerate-global-warming-today-soil-holds-potential-to-slow-global-warming/,wattsupwiththat.com,20171006T190000Z,English,United States
soil carbon requestration,soil carbon storage,Stanford Study Reveals Soil has Potential to Slow Global Warming,https://www.azocleantech.com/news.aspx?newsID=24288,azocleantech.com,20171006T151500Z,English,United States
soil carbon requestration,soil carbon storage,"Soil holds potential to slow global warming , two studies show",http://www.ns.umich.edu/new/releases/25144-soil-holds-potential-to-slow-global-warming-two-studies-show,ns.umich.edu,20171006T004500Z,English,United States
soil carbon requestration,soil carbon storage,Climate solution in soil ?,https://www.eurekalert.org/pub_releases/2017-10/su-csi100417.php,eurekalert.org,20171005T154500Z,English,United States
soil carbon requestration,soil carbon storage,"Soil holds potential to slow global warming , researchers find",https://phys.org/news/2017-10-soil-potential-global.html,phys.org,20171005T154500Z,English,United States
soil carbon requestration,soil carbon storage,"Soil holds potential to slow global warming , two studies show",http://www.pressreleasepoint.com/soil-holds-potential-slow-global-warming-two-studies-show,pressreleasepoint.com,20171005T144500Z,English,United States
soil carbon requestration,soil carbon storage,How Dirt Can Clean the Air,https://www.scientificamerican.com/article/how-dirt-can-clean-the-air/,scientificamerican.com,20171117T180000Z,English,United States
soil carbon requestration,soil carbon storage,Zasso CEO Dirk Vandenhirtz :  Reversion to Ploughing is Not an Alternative,https://www.prnewswire.com/news-releases/zasso-ceo-dirk-vandenhirtz-reversion-to-ploughing-is-not-an-alternative-300555922.html,prnewswire.com,20171114T224500Z,English,United States
soil carbon requestration,soil carbon storage,Zasso CEO Dirk Vandenhirtz :  Reversion to Ploughing is Not an Alternative,https://www.marketwatch.com/story/zasso-ceo-dirk-vandenhirtz-reversion-to-ploughing-is-not-an-alternative-2017-11-14,marketwatch.com,20171114T224500Z,English,United States
soil carbon requestration,soil carbon storage,Ecosystem carbon stocks of mangroves across broad environmental gradients in West,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0187749,journals.plos.org,20171113T211500Z,English,United States
soil carbon requestration,soil carbon storage,Good news : Soil could be a much larger carbon sink than we hoped,https://sciencealert.com/soil-minerals-could-be-huge-carbon-dioxide-sink,sciencealert.com,20171112T211500Z,English,United States
soil carbon requestration,soil carbon storage,Good news : Soil could be a much larger carbon sink than we hoped,https://www.sciencealert.com/soil-minerals-could-be-huge-carbon-dioxide-sink,sciencealert.com,20171112T030000Z,English,United States
soil carbon requestration,soil carbon storage,Good news : Soil could be a much larger carbon sink than we hoped,http://www.sciencealert.com/soil-minerals-could-be-huge-carbon-dioxide-sink,sciencealert.com,20171111T234500Z,English,United States
