domain,keyword,title,url,source_domain,seendate,language,country
biochar,biochar,Method for cleansing waste urine could see it used as a fertiliser,http://www.pressreleasepoint.com/node/1117574,pressreleasepoint.com,20170301T231500Z,English,United States
biochar,biochar,"ANL , Roeslein test wastewater sludge",http://www.biomassmagazine.com/articles/14229/anl-roeslein-test-wastewater-sludge-to-rng-technology,biomassmagazine.com,20170301T224500Z,English,United States
biochar,biochar,"ANL , Roeslein test wastewater sludge",http://biomassmagazine.com/articles/14229/anl-roeslein-test-wastewater-sludge-to-rng-technology,biomassmagazine.com,20170301T193000Z,English,United States
biochar,biochar,Advanced BioFuels united states » Technology Converts Wastewater Sludge to Renewable Natural Gas,http://advancedbiofuelsusa.info/technology-converts-wastewater-sludge-to-renewable-natural-gas/,advancedbiofuelsusa.info,20170301T044500Z,English,United States
biochar,biochar,Advanced BioFuels united states » CALL FOR ABSTRACTS : 2nd Global Soil Biodiversity Conference – Biochar for Soil Biota and Biodiversity,http://advancedbiofuelsusa.info/call-for-abstracts-2nd-global-soil-biodiversity-conference-biochar-for-soil-biota-and-biodiversity-october-15-19-2017-nanjing-china-deadline-april-1-2017/,advancedbiofuelsusa.info,20170228T023000Z,English,United States
biochar,biochar,A Non,http://dailycaller.com/2017/02/27/a-non-regulatory-approach-to-environmental-protection/,dailycaller.com,20170227T213000Z,English,United States
biochar,biochar,OurPet Company Reports Record Fourth Quarter 2016 Results – MilTech,http://www.military-technologies.net/2017/02/27/ourpets-company-reports-record-fourth-quarter-2016-results/,military-technologies.net,20170227T204500Z,English,United States
biochar,biochar,Carbon Gold shines in tomato root mat disease trial,http://www.fruitnet.com/fpj/article/171483/carbon-gold-shines-in-tomato-root-mat-disease-trial,fruitnet.com,20170227T184500Z,English,United States
biochar,biochar,Airex Energy unveils biomass torrefaction plant in Quebec,http://www.bioenergy-news.com/display_news/11933/airex_energy_unveils_biomass_torrefaction_plant_in_quebec/,bioenergy-news.com,20170227T103000Z,English,United States
biochar,biochar,Your Renewable News,http://www.yourrenewablenews.com/the+first+biomass+torrefaction+plant+in+canada+begins+the+commercialization+of+new+products_140386.html,yourrenewablenews.com,20170227T103000Z,English,United States
