domain,keyword,title,url,source_domain,seendate,language,country
Peatland restoration,rewetting,Contact Lens Safety Tips,http://www.qgazette.com/news/2017-01-25/Health_Care/Contact_Lens_Safety_Tips.html,qgazette.com,20170125T181500Z,English,United States
Peatland restoration,rewetting,Green groups want paper giant to stop using drained peat in Indonesia,https://news.mongabay.com/2017/01/green-groups-want-paper-giant-to-stop-using-drained-peat-in-indonesia/,news.mongabay.com,20170123T140000Z,English,United States
Peatland restoration,rewetting,3 secrets to saving money — and the environment — by making your clothes last forever,https://mic.com/articles/165841/3-secrets-to-saving-money-and-the-environment-by-making-your-clothes-last-forever,mic.com,20170120T010000Z,English,United States
Peatland restoration,rewetting,More than laundry : 10 ways to use washing soda around the house,http://www.theindependent.com/life/advice/more-than-laundry-ways-to-use-washing-soda-around-the/article_38eb6104-1118-11e7-81d8-9b3617e3191e.html,theindependent.com,20170325T153000Z,English,United States
Peatland restoration,rewetting,Ten ways to use washing soda around the house,http://www.ironmountaindailynews.com/lifestyles/life/2017/03/ten-ways-to-use-washing-soda-around-the-house/,ironmountaindailynews.com,20170322T190000Z,English,United States
Peatland restoration,rewetting,Everyday Cheapskate : Ten ways to use washing soda,http://herald-review.com/news/opinion/editorial/columnists/hunt/everyday-cheapskate-ten-ways-to-use-washing-soda/article_b4211bcb-b992-5042-8dec-779076ae5a28.html,herald-review.com,20170322T100000Z,English,United States
Peatland restoration,rewetting,Tips to help you weather winter with healthier eyes,http://www.philadelphiaweekly.com/online_features/health_and_wellness/tips-to-help-you-weather-winter-with-healthier-eyes/article_c0e8e7fb-b385-5d33-b078-4786a8b8afcf.html,philadelphiaweekly.com,20170320T133000Z,English,United States
Peatland restoration,rewetting,"Fires and floods and bears , oh my ! Dismal Swamp project aims to take some teeth out of the first 2 .",https://insurancenewsnet.com/oarticle/fires-and-floods-and-bears-oh-my-dismal-swamp-project-aims-to-take-some-teeth-out-of-the-first-2,insurancenewsnet.com,20170318T061500Z,English,United States
Peatland restoration,rewetting,"$3 . 1 million aims to take some teeth out of the fires , floods that plague the Dismal Swamp",http://pilotonline.com/news/local/environment/million-aims-to-take-some-teeth-out-of-the-fires/article_a70aded2-27e4-52ff-9e2e-6f7045974fc8.html,pilotonline.com,20170318T040000Z,English,United States
Peatland restoration,rewetting,"Fires and floods and bears , oh my ! Dismal Swamp project aims take some teeth out of the first two .",http://pilotonline.com/news/local/environment/fires-and-floods-and-bears-oh-my-dismal-swamp-project/article_a70aded2-27e4-52ff-9e2e-6f7045974fc8.html,pilotonline.com,20170316T173000Z,English,United States
Peatland restoration,rewetting,Hanford project to keep uranium out of Columbia River,http://www.spokesman.com/stories/2017/mar/01/hanford-project-to-keep-uranium-out-of-columbia-ri/,spokesman.com,20170301T171500Z,English,United States
Peatland restoration,rewetting,Keeping Hanford uranium from Columbia River,http://www.tri-cityherald.com/news/local/hanford/article135636383.html,tri-cityherald.com,20170301T060000Z,English,United States
Peatland restoration,rewetting,DEFRA united kingdom Department for Environment Food an,http://www.4-traders.com/news/DEFRA-UK-Department-for-Environment-Food-an-New-10-million-fund-to-restore-peatland--24210525/,4-traders.com,20170413T234500Z,English,United States
Peatland restoration,rewetting,Wood machining FAQs,http://www.woodworkingnetwork.com/best-practices-guide/solid-wood-machining/wood-machining-faqs,woodworkingnetwork.com,20170408T021500Z,English,United States
Peatland restoration,rewetting,"That ’ s one small step for a man , one giant leap for GSoC project . – Notes of a young GSOC student",https://tantsevov.wordpress.com/2017/06/25/thats-one-small-step-for-a-man-one-giant-leap-for-gsoc-project/,tantsevov.wordpress.com,20170625T194500Z,English,United States
Peatland restoration,rewetting,Groundwater may play key role in forest fires,https://news.mongabay.com/2017/06/groundwater-may-play-key-role-in-forest-fires/,news.mongabay.com,20170616T201500Z,English,United States
Peatland restoration,rewetting,Atkinson Academic Venture Fund awards $1 . 8M to 15 projects,http://news.cornell.edu/stories/2017/06/atkinsons-academic-venture-fund-awards-18m-15-projects,news.cornell.edu,20170609T160000Z,English,United States
Peatland restoration,rewetting,"Contact lens wearers , take a look at these dos and donts to keep your vision clear",http://www.msn.com/en-nz/health/medical/contact-lens-wearers-take-a-look-at-these-dos-and-donts-to-keep-your-vision-clear/ar-AAotvnU,msn.com,20170730T071500Z,English,United States
Peatland restoration,rewetting,Pore,https://phys.org/news/2017-11-pore-scale-patterns-antecedent-soil-moisture.html,phys.org,20171122T121500Z,English,United States
Peatland restoration,rewetting,Indonesian Supreme Court strikes down regulation on peat protection,https://news.mongabay.com/2017/11/indonesian-supreme-court-strikes-down-regulation-on-peat-protection/,news.mongabay.com,20171102T110000Z,English,United States
Peatland restoration,rewetting,Breakthrough In Bulk Production Of Indigo Spray Dyeing,http://www.textileworld.com/textile-world/2018/02/breakthrough-in-bulk-production-of-indigo-spray-dyeing/,textileworld.com,20180201T190000Z,English,United States
Peatland restoration,rewetting,Rewetting the Swamp : Indonesia Bold Plan,https://www.scientificamerican.com/article/rewetting-the-swamp-indonesia-rsquo-s-bold-plan/,scientificamerican.com,20180131T124500Z,English,United States
Peatland restoration,rewetting,Untitled,http://procurement-notices.undp.org/view_notice.cfm?notice_id=43475,procurement-notices.undp.org,20180109T151500Z,English,United States
Peatland restoration,rewetting,"Indonesia in 2017 : A fighting chance for peat protection , but an infrastructure beatdown for indigenous communities",https://news.mongabay.com/2018/01/indonesia-in-2017-a-fighting-chance-for-peat-protection-but-an-infrastructure-beatdown-for-indigenous-communities/,news.mongabay.com,20180104T144500Z,English,United States
Peatland restoration,rewetting,Canal Blocking Construction Manager ( Re - advertised ),https://reliefweb.int/job/2484124/canal-blocking-construction-manager-re-advertised,reliefweb.int,20180227T203000Z,English,United States
Peatland restoration,rewetting,Indonesia braces for return of fire season as hotspots flare up,https://news.mongabay.com/2018/02/indonesia-braces-for-return-of-fire-season-as-hotspots-flare-up/,news.mongabay.com,20180226T160000Z,English,United States
Peatland restoration,rewetting,wildsingapore news : Indonesia : Agency eyes restoration of 140 thousand hectares of Riau peatlands,http://wildsingaporenews.blogspot.com/2018/02/indonesia-agency-eyes-restoration-of.html,wildsingaporenews.blogspot.com,20180224T053000Z,English,United States
Peatland restoration,rewetting,Untitled,http://procurement-notices.undp.org/view_notice.cfm?notice_id=44353,procurement-notices.undp.org,20180222T113000Z,English,United States
Peatland restoration,rewetting,wildsingapore news : Indonesia s Bold Plan : Rewetting the Swamp,http://wildsingaporenews.blogspot.com/2018/02/indonesias-bold-plan-rewetting-swamp.html,wildsingaporenews.blogspot.com,20180202T021500Z,English,United States
Peatland restoration,rewetting,Breakthrough In Bulk Production Of Indigo Spray Dyeing,http://www.textileworld.com/textile-world/2018/02/breakthrough-in-bulk-production-of-indigo-spray-dyeing/,textileworld.com,20180201T190000Z,English,United States
Peatland restoration,rewetting,Study : Indonesia ambitious peat restoration initiative severely underfunded,https://news.mongabay.com/2018/03/study-indonesias-ambitious-peat-restoration-initiative-severely-underfunded/,news.mongabay.com,20180330T164500Z,English,United States
Peatland restoration,rewetting,Wonderful Things : A Transparent Plant,https://blogs.scientificamerican.com/artful-amoeba/wonderful-things-a-transparent-plant/,blogs.scientificamerican.com,20180321T164500Z,English,United States
Peatland restoration,rewetting,wildsingapore news : The return of Indonesia s forest fires,http://wildsingaporenews.blogspot.com/2018/03/the-return-of-indonesias-forest-fires.html,wildsingaporenews.blogspot.com,20180308T044500Z,English,United States
Peatland restoration,rewetting,2018 March 02,http://www.cityfarmer.info/2018/03/02/,cityfarmer.info,20180302T151500Z,English,United States
Peatland restoration,rewetting,Canada : Verifying Safety of Compost Used for Vegetable Production,http://www.cityfarmer.info/2018/03/02/canada-verifying-safety-of-compost-used-for-vegetable-production/,cityfarmer.info,20180302T151500Z,English,United States
Peatland restoration,rewetting,"Bregman powers Astros to 6th straight win , 11 - 4 over A",http://www.swxrightnow.com/story/38973012/bregman-powers-astros-to-6th-straight-win-11-4-over-as,swxrightnow.com,20180828T071500Z,English,United States
Peatland restoration,rewetting,"Bregman powers Astros to 6th straight win , 11 - 4 over A",http://www.standard-journal.com/news/news_ap/article_bcd13ecd-bb6b-568f-89c7-a7f985ba21ad.html,standard-journal.com,20180828T060000Z,English,United States
Peatland restoration,rewetting,"Bregman powers Astros to 6th straight win , 11 - 4 over A",https://www.wjtv.com/news/bregman-powers-astros-to-6th-straight-win-114-over-as/1400938063,wjtv.com,20180828T060000Z,English,United States
