domain,keyword,title,url,source_domain,seendate,language,country
biochar,bio-char,The Billion,https://www.pastemagazine.com/articles/2017/02/the-billion-dollar-california-almond-industrys-blo.html,pastemagazine.com,20170201T193000Z,English,United States
biochar,bio-char,Activated Carbon Market by Manufacturers Regions Type and Application Forecast to 2022 2017,http://reports.pr-inside.com/activated-carbon-market-by-manufacturers-regions-t-r4566289.htm,reports.pr-inside.com,20170125T100000Z,English,United States
biochar,bio-char,"No more dumping of trash in QC , Cebu City — DENR",http://www.msn.com/en-ph/news/national/no-more-dumping-of-trash-in-qc-cebu-city-%E2%80%94denr/ar-AAlYTxw,msn.com,20170121T113000Z,English,United States
biochar,bio-char,"Activated Carbon Sales 2017 Global Market Share , Growth , Trends & Forecast to 2022",http://www.einnews.com/pr_news/362821712/activated-carbon-sales-2017-global-market-share-growth-trends-forecast-to-2022,einnews.com,20170120T103000Z,English,United States
biochar,bio-char,"The Etp Model , Q & A : Peak oil studies , reports & models",http://peakoil.com/forums/viewtopic.php?p=1344316,peakoil.com,20170109T210000Z,English,United States
biochar,bio-char,"The Etp Model , Q & A : Peak oil studies , reports & models",http://peakoil.com/forums/viewtopic.php?p=1344271,peakoil.com,20170109T170000Z,English,United States
biochar,bio-char,"The Etp Model , Q & A : Peak oil studies , reports & models",http://peakoil.com/forums/viewtopic.php?p=1344219,peakoil.com,20170108T223000Z,English,United States
biochar,bio-char,Albert Bates : Concrete Solutions,http://peakoil.com/enviroment/albert-bates-concrete-solutions/comment-page-1,peakoil.com,20170626T000000Z,English,United States
biochar,bio-char,Albert Bates : Concrete Solutions,http://peakoil.com/enviroment/albert-bates-concrete-solutions,peakoil.com,20170625T223000Z,English,United States
biochar,bio-char,Evening in the Garden Wednesday,http://www.observertoday.com/news/local-region/2017/06/evening-in-the-garden-wednesday-2/,observertoday.com,20170619T054500Z,English,United States
biochar,bio-char,Greenie Techno,http://econintersect.com/pages/opinion/opinion.php?post=201706152143,econintersect.com,20170616T034500Z,English,United States
biochar,bio-char,Greenie Techno,http://peakoil.com/alternative-energy/greenie-techno-cornucopianism/comment-page-1,peakoil.com,20170615T054500Z,English,United States
biochar,bio-char,Greenie Techno,http://peakoil.com/alternative-energy/greenie-techno-cornucopianism,peakoil.com,20170615T003000Z,English,United States
biochar,bio-char,County planning office discusses noise limits,https://the-journal.com/articles/52659-county-planning-office-discusses-noise-limits,the-journal.com,20170610T024500Z,English,United States
