domain,keyword,title,url,source_domain,seendate,language,country
OAE,ocean alkalinity enhancement,Far,http://livenewscentral.com/2017/11/30/far-fetched-fixes-for-climate-change/,livenewscentral.com,20171130T154500Z,English,United States
OAE,ocean alkalinity enhancement,The far,http://www.cnn.com/2017/11/29/world/climate-change-geoengineering/,cnn.com,20171129T184500Z,English,United States
OAE,ocean alkalinity enhancement,COLUMN : The US should stop derailing global climate change mitigation efforts,https://www.idsnews.com/article/2018/09/columnclimate091618,idsnews.com,20180917T181500Z,English,United States
OAE,ocean alkalinity enhancement,COLUMN : The US should stop derailing global climate change mitigation efforts,http://www.idsnews.com/article/2018/09/columnclimate091618,idsnews.com,20180916T220000Z,English,United States
OAE,ocean alkalinity enhancement,"Climate engineering needs to look at the big picture , says researcher",https://phys.org/news/2019-04-climate-big-picture.html,phys.org,20190416T220000Z,English,United States
OAE,ocean alkalinity enhancement,Potential effects of large - scale projects designed to offset Earth changing climate,https://www.sciencedaily.com/releases/2019/04/190416145219.htm,sciencedaily.com,20190416T203000Z,English,United States
OAE,ocean alkalinity enhancement,"Climate engineering needs to look at the big picture , says researcher",https://www.eurekalert.org/pub_releases/2019-04/cu-cen041619.php,eurekalert.org,20190416T191500Z,English,United States
OAE,ocean alkalinity enhancement,Benefits and risks for marine life from carbon dioxide removal approaches,https://phys.org/news/2019-12-benefits-marine-life-carbon-dioxide.html,phys.org,20191210T154500Z,English,United States
OAE,ocean alkalinity enhancement,Silicon Valley billionaires want to geoengineer the world oceans,https://www.newscientist.com/article/mg24732980-500-silicon-valley-billionaires-want-to-geoengineer-the-worlds-oceans/,newscientist.com,20200901T161500Z,English,United States
OAE,ocean alkalinity enhancement,We Have Just One Decade to Turn Back the Worst of Climate Change : Here How Philanthropy Can Lead ( Opinion ),https://www.philanthropy.com/article/We-Have-Just-One-Decade-to/249258,philanthropy.com,20200806T144500Z,English,United States
OAE,ocean alkalinity enhancement,Silicon Valley billionaires want to geoengineer the world oceans,https://www.newscientist.com/article/mg24732980-500-silicon-valley-billionaires-want-to-geoengineer-the-worlds-oceans/,newscientist.com,20200901T161500Z,English,United States
OAE,ocean alkalinity enhancement,"Monthly Review | Notes from the Editors , October 2021",https://monthlyreview.org/2021/10/01/mr-073-05-2021-09_0/,monthlyreview.org,20211001T044500Z,English,United States
OAE,ocean alkalinity enhancement,2 : 00PM Water Cooler 12 / 23 / 2021 | naked capitalism,https://www.nakedcapitalism.com/2021/12/200pm-water-cooler-12-23-2021.html,nakedcapitalism.com,20211223T194500Z,English,United States
OAE,ocean alkalinity enhancement,Could crushed rocks absorb enough carbon to curb global warming ?,https://www.nationalgeographic.com/environment/article/could-crushed-rocks-absorb-enough-carbon-to-curb-global-warming,nationalgeographic.com,20211221T173000Z,English,United States
OAE,ocean alkalinity enhancement,"Skeptical Science New Research for Week # 50 , 2021",https://skepticalscience.com/new_research_2021_50.html,skepticalscience.com,20211216T083000Z,English,United States
OAE,ocean alkalinity enhancement,Geoengineering First It Was About Messing With The Atmosphere . Now It About Hacking The Ocean .,https://cleantechnica.com/2021/12/12/geoengineering-first-it-was-about-messing-with-the-atmosphere-now-its-about-hacking-the-ocean/,cleantechnica.com,20211213T044500Z,English,United States
OAE,ocean alkalinity enhancement,"Coastal News Today | World - Oceans Could Be Harnessed to Remove Carbon From Air , Say US Science Leaders",https://www.coastalnewstoday.com/post/world-oceans-could-be-harnessed-to-remove-carbon-from-air-say-us-science-leaders,coastalnewstoday.com,20211213T031500Z,English,United States
OAE,ocean alkalinity enhancement,"Oceans could be harnessed to remove carbon from air , say US science leaders",https://phys.org/news/2021-12-oceans-harnessed-carbon-air-science.html,phys.org,20211210T134500Z,English,United States
OAE,ocean alkalinity enhancement,Natural climate solutions cut a steady course through a sea of proposals for ocean carbon dioxide reduction,http://blogs.edf.org/edfish/2021/12/08/natural-climate-solutions-cut-a-steady-course-through-a-sea-of-proposals-for-ocean-carbon-dioxide-reduction/,blogs.edf.org,20211209T000000Z,English,United States
